"date","tcc.continent","n.contributors","troops","police","observers","total"
1990-11-30,"Africa",7,924,0,0,924
1990-11-30,"Asia",8,929,0,0,929
1990-11-30,"Europe",19,6502,18,0,6520
1990-11-30,"North America",2,1035,0,0,1035
1990-11-30,"Oceania",3,756,26,0,782
1990-11-30,"South America",7,139,0,0,139
1990-12-31,"Africa",7,924,0,0,924
1990-12-31,"Asia",8,929,0,0,929
1990-12-31,"Europe",19,6502,18,0,6520
1990-12-31,"North America",2,1035,0,0,1035
1990-12-31,"Oceania",3,756,26,0,782
1990-12-31,"South America",7,139,0,0,139
1991-01-31,"Africa",7,924,0,0,924
1991-01-31,"Asia",8,929,0,0,929
1991-01-31,"Europe",19,6502,18,0,6520
1991-01-31,"North America",2,1035,0,0,1035
1991-01-31,"Oceania",3,756,26,0,782
1991-01-31,"South America",7,139,0,0,139
1991-02-28,"Africa",7,924,0,0,924
1991-02-28,"Asia",8,929,0,0,929
1991-02-28,"Europe",19,6502,18,0,6520
1991-02-28,"North America",2,1035,0,0,1035
1991-02-28,"Oceania",3,756,26,0,782
1991-02-28,"South America",7,139,0,0,139
1991-03-31,"Africa",3,907,0,0,907
1991-03-31,"Asia",4,878,0,0,878
1991-03-31,"Europe",18,6228,18,0,6246
1991-03-31,"North America",2,884,0,0,884
1991-03-31,"Oceania",3,743,19,0,762
1991-03-31,"South America",7,104,0,0,104
1991-04-30,"Africa",5,930,0,0,930
1991-04-30,"Asia",10,949,0,0,949
1991-04-30,"Europe",20,6682,18,0,6700
1991-04-30,"North America",2,1196,0,0,1196
1991-04-30,"Oceania",2,741,20,0,761
1991-04-30,"South America",7,177,0,0,177
1991-05-31,"Africa",6,936,0,0,936
1991-05-31,"Asia",10,952,0,0,952
1991-05-31,"Europe",21,6665,18,0,6683
1991-05-31,"North America",2,1197,0,0,1197
1991-05-31,"Oceania",3,743,20,0,763
1991-05-31,"South America",7,169,0,0,169
1991-06-30,"Africa",6,936,0,0,936
1991-06-30,"Asia",11,958,0,0,958
1991-06-30,"Europe",21,6650,18,0,6668
1991-06-30,"North America",2,1200,0,0,1200
1991-06-30,"Oceania",3,745,20,0,765
1991-06-30,"South America",7,168,0,0,168
1991-07-31,"Africa",10,989,0,0,989
1991-07-31,"Asia",11,985,0,0,985
1991-07-31,"Europe",21,6712,17,0,6729
1991-07-31,"North America",2,1206,0,0,1206
1991-07-31,"Oceania",3,749,20,0,769
1991-07-31,"South America",7,183,0,0,183
1991-08-31,"Africa",10,983,0,0,983
1991-08-31,"Asia",11,985,0,0,985
1991-08-31,"Europe",21,6696,17,0,6713
1991-08-31,"North America",2,1202,0,0,1202
1991-08-31,"Oceania",3,749,20,0,769
1991-08-31,"South America",7,183,0,0,183
1991-09-30,"Africa",12,1039,10,0,1049
1991-09-30,"Asia",11,1017,5,0,1022
1991-09-30,"Europe",21,6813,75,0,6888
1991-09-30,"North America",2,1259,0,0,1259
1991-09-30,"Oceania",3,798,19,0,817
1991-09-30,"South America",8,212,20,0,232
1991-10-31,"Africa",12,1057,0,0,1057
