"date","mission","mission.country","mission.iso3.alpha","mission.hq","mission.hq.long","mission.hq.lat","mission.continent","mission.un.region","mission.nam","mission.g77","mission.au","mission.arab.league","mission.oic","mission.cis","mission.g20","mission.eu","n.contributors","troops","police","observers","total"
1990-11-30,"UNAVEM","Angola","AGO","Luanda",13.2344,-8.8383,"Africa","Middle Africa","1","1","1",NA,NA,NA,NA,NA,11,67,NA,NA,67
1990-11-30,"ONUCA","Honduras","HND","Tegucigalpa",-87.2167,14.1,"South America","Central America","1","1",NA,NA,NA,NA,NA,NA,11,423,NA,NA,423
1990-11-30,"UNTSO","Israel","ISR","Jerusalem",35.2167,31.7833,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,19,290,NA,NA,290
1990-11-30,"UNFICYP","Cyprus","CYP","Nicosia",33.3667,35.1667,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,"1",8,2126,44,NA,2170
1990-11-30,"UNIIMOG","Iran","IRN","Tehran",47.9282,34.5147,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,24,178,NA,NA,178
1990-11-30,"UNDOF","Syrian Arab Republic","SYR","Camp Faouar",35.9211,33.2367,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,4,1328,NA,NA,1328
1990-11-30,"UNMOGIP","Pakistan","PAK","Islamabad",73.0667,33.7167,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,8,38,NA,NA,38
1990-11-30,"UNIFIL","Lebanon","LBN","Naquora",35.1342,33.12,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,9,5835,NA,NA,5835
1990-12-31,"UNAVEM","Angola","AGO","Luanda",13.2344,-8.8383,"Africa","Middle Africa","1","1","1",NA,NA,NA,NA,NA,11,67,NA,NA,67
1990-12-31,"ONUCA","Honduras","HND","Tegucigalpa",-87.2167,14.1,"South America","Central America","1","1",NA,NA,NA,NA,NA,NA,11,423,NA,NA,423
1990-12-31,"UNTSO","Israel","ISR","Jerusalem",35.2167,31.7833,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,19,290,NA,NA,290
1990-12-31,"UNFICYP","Cyprus","CYP","Nicosia",33.3667,35.1667,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,"1",8,2126,44,NA,2170
1990-12-31,"UNIIMOG","Iran","IRN","Tehran",47.9282,34.5147,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,24,178,NA,NA,178
1990-12-31,"UNDOF","Syrian Arab Republic","SYR","Camp Faouar",35.9211,33.2367,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,4,1328,NA,NA,1328
1990-12-31,"UNMOGIP","Pakistan","PAK","Islamabad",73.0667,33.7167,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,8,38,NA,NA,38
1990-12-31,"UNIFIL","Lebanon","LBN","Naquora",35.1342,33.12,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,9,5835,NA,NA,5835
1991-01-31,"UNAVEM","Angola","AGO","Luanda",13.2344,-8.8383,"Africa","Middle Africa","1","1","1",NA,NA,NA,NA,NA,11,67,NA,NA,67
1991-01-31,"ONUCA","Honduras","HND","Tegucigalpa",-87.2167,14.1,"South America","Central America","1","1",NA,NA,NA,NA,NA,NA,11,423,NA,NA,423
1991-01-31,"UNTSO","Israel","ISR","Jerusalem",35.2167,31.7833,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,19,290,NA,NA,290
1991-01-31,"UNFICYP","Cyprus","CYP","Nicosia",33.3667,35.1667,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,"1",8,2126,44,NA,2170
1991-01-31,"UNIIMOG","Iran","IRN","Tehran",47.9282,34.5147,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,24,178,NA,NA,178
1991-01-31,"UNDOF","Syrian Arab Republic","SYR","Camp Faouar",35.9211,33.2367,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,4,1328,NA,NA,1328
1991-01-31,"UNMOGIP","Pakistan","PAK","Islamabad",73.0667,33.7167,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,8,38,NA,NA,38
1991-01-31,"UNIFIL","Lebanon","LBN","Naquora",35.1342,33.12,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,9,5835,NA,NA,5835
1991-02-28,"UNAVEM","Angola","AGO","Luanda",13.2344,-8.8383,"Africa","Middle Africa","1","1","1",NA,NA,NA,NA,NA,11,67,NA,NA,67
1991-02-28,"ONUCA","Honduras","HND","Tegucigalpa",-87.2167,14.1,"South America","Central America","1","1",NA,NA,NA,NA,NA,NA,11,423,NA,NA,423
1991-02-28,"UNTSO","Israel","ISR","Jerusalem",35.2167,31.7833,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,19,290,NA,NA,290
1991-02-28,"UNFICYP","Cyprus","CYP","Nicosia",33.3667,35.1667,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,"1",8,2126,44,NA,2170
1991-02-28,"UNIIMOG","Iran","IRN","Tehran",47.9282,34.5147,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,24,178,NA,NA,178
1991-02-28,"UNDOF","Syrian Arab Republic","SYR","Camp Faouar",35.9211,33.2367,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,4,1328,NA,NA,1328
1991-02-28,"UNMOGIP","Pakistan","PAK","Islamabad",73.0667,33.7167,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,8,38,NA,NA,38
1991-02-28,"UNIFIL","Lebanon","LBN","Naquora",35.1342,33.12,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,9,5835,NA,NA,5835
1991-03-31,"UNAVEM","Angola","AGO","Luanda",13.2344,-8.8383,"Africa","Middle Africa","1","1","1",NA,NA,NA,NA,NA,10,61,NA,NA,61
1991-03-31,"ONUCA","Honduras","HND","Tegucigalpa",-87.2167,14.1,"South America","Central America","1","1",NA,NA,NA,NA,NA,NA,11,201,NA,NA,201
1991-03-31,"UNTSO","Israel","ISR","Jerusalem",35.2167,31.7833,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,19,294,NA,NA,294
1991-03-31,"UNFICYP","Cyprus","CYP","Nicosia",33.3667,35.1667,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,"1",8,2130,37,NA,2167
1991-03-31,"UNDOF","Syrian Arab Republic","SYR","Camp Faouar",35.9211,33.2367,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,4,1134,NA,NA,1134
1991-03-31,"UNMOGIP","Pakistan","PAK","Islamabad",73.0667,33.7167,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,8,39,NA,NA,39
1991-03-31,"UNIFIL","Lebanon","LBN","Naquora",35.1342,33.12,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,9,5885,NA,NA,5885
1991-04-30,"UNAVEM","Angola","AGO","Luanda",13.2344,-8.8383,"Africa","Middle Africa","1","1","1",NA,NA,NA,NA,NA,10,61,NA,NA,61
1991-04-30,"ONUCA","Honduras","HND","Tegucigalpa",-87.2167,14.1,"South America","Central America","1","1",NA,NA,NA,NA,NA,NA,11,199,NA,NA,199
1991-04-30,"UNIKOM","Iraq","IRQ","Umm Qasr",47.9294,30.0342,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,32,713,NA,NA,713
1991-04-30,"UNTSO","Israel","ISR","Jerusalem",35.2167,31.7833,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,17,277,NA,NA,277
1991-04-30,"UNFICYP","Cyprus","CYP","Nicosia",33.3667,35.1667,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,"1",8,2172,38,NA,2210
1991-04-30,"UNDOF","Syrian Arab Republic","SYR","Camp Faouar",35.9211,33.2367,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,4,1343,NA,NA,1343
1991-04-30,"UNMOGIP","Pakistan","PAK","Islamabad",73.0667,33.7167,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,8,39,NA,NA,39
1991-04-30,"UNIFIL","Lebanon","LBN","Naquora",35.1342,33.12,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,9,5871,NA,NA,5871
1991-05-31,"UNAVEM","Angola","AGO","Luanda",13.2344,-8.8383,"Africa","Middle Africa","1","1","1",NA,NA,NA,NA,NA,10,61,NA,NA,61
1991-05-31,"ONUCA","Honduras","HND","Tegucigalpa",-87.2167,14.1,"South America","Central America","1","1",NA,NA,NA,NA,NA,NA,11,176,NA,NA,176
1991-05-31,"UNIKOM","Iraq","IRQ","Umm Qasr",47.9294,30.0342,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,34,741,NA,NA,741
1991-05-31,"UNTSO","Israel","ISR","Jerusalem",35.2167,31.7833,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,19,285,NA,NA,285
1991-05-31,"UNFICYP","Cyprus","CYP","Nicosia",33.3667,35.1667,"Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,"1",8,2134,38,NA,2172
1991-05-31,"UNDOF","Syrian Arab Republic","SYR","Camp Faouar",35.9211,33.2367,"Asia","Western Asia","1","1",NA,"1","1",NA,NA,NA,4,1321,NA,NA,1321
1991-05-31,"UNMOGIP","Pakistan","PAK","Islamabad",73.0667,33.7167,"Asia","Southern Asia","1","1",NA,NA,"1",NA,NA,NA,8,68,NA,NA,68
