"Date","Troops","Police","Experts"
1990-11-30,39,NA,NA
1990-12-31,39,NA,NA
1991-01-31,39,NA,NA
1991-02-28,39,NA,NA
1991-03-31,42,NA,NA
1991-04-30,49,NA,NA
1991-05-31,49,NA,NA
1991-06-30,49,NA,NA
1991-07-31,56,NA,NA
1991-08-31,56,NA,NA
1991-09-30,55,10,NA
1991-10-31,67,NA,NA
1991-11-30,79,10,NA
1991-12-31,70,10,NA
1992-01-31,69,10,NA
1992-02-29,37,10,NA
1992-03-31,36,10,NA
1992-04-30,921,40,NA
1992-05-31,921,40,NA
1992-06-30,921,40,NA
1992-07-31,921,40,NA
1992-08-31,888,36,41
1992-09-30,887,39,44
1992-10-31,887,40,33
1992-11-30,902,40,33
1992-12-31,902,40,32
1993-01-31,909,37,22
1993-02-28,909,37,22
1993-03-31,913,37,22
1993-04-30,928,37,29
1993-05-31,940,36,29
1993-06-30,959,33,29
1993-07-31,952,33,29
1993-08-31,965,32,30
1993-09-30,1086,30,32
1993-10-31,1382,30,32
1993-11-30,1374,33,30
1993-12-31,1373,33,30
1994-01-31,1372,33,30
1994-02-28,1406,33,32
1994-03-31,1381,33,32
1994-04-30,1328,26,32
1994-05-31,1330,26,42
1994-06-30,1327,26,32
1994-07-31,1327,26,32
1994-08-31,1330,26,32
1994-09-30,1345,26,34
1994-10-31,1346,26,34
1994-11-30,1337,29,35
1994-12-31,1342,29,37
1995-01-31,1300,26,30
1995-02-28,1304,26,30
1995-03-31,1319,104,27
1995-04-30,1305,104,23
1995-05-31,1316,101,23
1995-06-30,1319,99,23
1995-07-31,936,99,22
1995-08-31,939,98,22
1995-09-30,610,46,17
1995-10-31,451,46,20
1995-11-30,444,44,20
1995-12-31,443,45,18
1996-01-31,443,NA,18
1996-02-29,440,NA,15
1996-03-31,440,22,15
1996-04-30,443,16,13
1996-05-31,513,90,12
1996-06-30,513,70,12
1996-07-31,542,70,12
1996-08-31,539,70,12
1996-09-30,540,70,12
1996-10-31,512,69,12
1996-11-30,514,69,12
1996-12-31,514,69,12
1997-01-31,514,69,10
1997-02-28,514,75,13
1997-03-31,514,75,16
1997-04-30,514,73,16
1997-05-31,505,80,11
1997-06-30,498,64,11
1997-07-31,492,81,11
1997-08-31,454,69,11
1997-09-30,454,68,11
1997-10-31,451,68,9
1997-11-30,454,72,9
1997-12-31,453,205,9
1998-01-31,453,205,9
1998-02-28,453,195,13
1998-03-31,452,190,10
1998-04-30,452,197,10
1998-05-31,458,195,10
1998-06-30,462,215,10
1998-07-31,462,205,10
1998-08-31,463,193,10
1998-09-30,461,189,10
1998-10-31,461,196,10
1998-11-30,459,195,10
1998-12-31,459,195,10
1999-01-31,473,145,8
1999-02-28,497,181,10
1999-03-31,513,179,9
1999-04-30,497,172,9
1999-05-31,496,172,9
1999-06-30,496,184,5
1999-07-31,505,172,10
1999-08-31,496,185,10
1999-09-30,496,202,9
1999-10-31,496,234,9
1999-11-30,496,234,9
1999-12-31,496,192,9
2000-01-31,490,203,10
2000-02-28,495,203,10
2000-03-31,493,93,10
2000-04-30,493,93,11
2000-05-31,495,66,11
2000-06-30,495,81,10
2000-07-31,496,68,10
2000-08-31,494,64,10
2000-09-30,490,64,10
2000-10-31,492,31,10
2000-11-30,495,26,10
2000-12-31,491,21,10
2001-01-31,491,43,8
2001-02-28,491,43,8
2001-03-31,490,43,10
2001-04-30,490,158,10
2001-05-31,490,158,10
2001-06-30,489,159,10
2001-07-31,489,163,10
2001-08-31,490,163,10
2001-09-30,489,81,11
2001-10-31,484,163,11
2001-11-30,462,164,11
2001-12-31,462,160,12
2002-01-31,462,160,11
2002-02-28,461,161,11
2002-03-31,461,140,11
2002-04-30,461,163,11
2002-05-31,461,163,12
2002-06-30,461,176,12
2002-07-31,461,179,12
2002-08-30,463,179,12
2002-09-30,463,178,12
2002-10-31,463,171,12
2002-11-30,464,171,12
2002-12-31,463,158,10
2003-01-31,463,154,11
2003-02-28,463,155,9
2003-03-30,510,155,6
2003-04-30,405,155,5
2003-05-31,404,155,6
2003-06-30,403,153,6
2003-07-31,402,150,7
2003-08-31,401,149,7
2003-09-30,526,110,6
2003-10-31,403,145,6
2003-11-30,403,145,5
2003-12-31,403,146,5
2004-01-31,415,146,5
2004-02-28,400,146,5
2004-03-31,524,145,5
2004-04-30,403,145,5
2004-05-31,407,145,2
2004-06-30,409,131,5
2004-07-31,606,131,5
2004-08-31,890,131,5
2004-09-30,967,131,5
2004-10-31,967,140,5
2004-11-30,963,146,5
2004-12-31,963,135,5
2005-01-31,866,135,5
2005-02-28,866,135,5
2005-03-31,997,135,5
2005-04-30,850,134,5
2005-05-31,860,143,5
2005-06-30,854,143,5
2005-07-31,856,152,5
2005-08-31,854,152,5
2005-09-30,966,38,5
2005-10-31,866,30,7
2005-11-30,866,29,2
2005-12-31,864,26,7
2006-01-31,863,26,7
2006-02-28,865,33,7
2006-03-31,866,33,7
2006-04-30,855,27,7
2006-05-31,852,27,7
2006-06-30,852,21,7
2006-07-31,852,34,7
2006-08-31,854,36,7
2006-09-30,858,43,7
2006-10-31,852,43,7
2006-11-30,853,40,7
2006-12-31,852,40,7
2007-01-31,852,43,6
2007-02-28,856,44,7
2007-03-31,840,44,7
2007-04-30,854,43,7
2007-05-31,855,43,7
2007-06-30,855,42,7
2007-07-31,854,34,7
2007-08-31,853,43,7
2007-09-30,849,41,7
2007-10-31,856,41,7
2007-11-30,854,41,7
2007-12-31,852,38,7
2008-01-31,855,38,9
2008-02-28,853,40,8
2008-03-31,884,41,10
