"Date","Troops","Police","Experts"
2012-02-28,1,NA,NA
2012-03-31,1,NA,NA
2012-04-30,1,NA,NA
2012-05-31,1,NA,1
2012-06-30,1,NA,1
2012-07-31,1,NA,1
2012-08-31,1,NA,NA
2012-09-30,1,NA,NA
2012-10-31,1,NA,NA
2012-11-30,1,NA,NA
2012-12-31,1,NA,NA
2013-01-31,1,NA,NA
2013-02-28,1,NA,NA
2013-03-31,1,NA,NA
2013-04-30,1,NA,NA
2013-05-31,1,NA,NA
2013-06-30,1,NA,NA
2013-07-31,1,NA,NA
2013-08-31,1,NA,NA
2013-09-30,1,NA,NA
2013-10-31,1,NA,NA
2013-11-30,1,NA,NA
2013-12-31,1,NA,NA
2014-01-31,1,NA,NA
2014-02-28,1,NA,NA
