"Date","Troops","Police","Experts"
1990-11-30,15,26,NA
1990-12-31,15,26,NA
1991-01-31,15,26,NA
1991-02-28,15,26,NA
1991-03-31,13,19,NA
1991-04-30,13,20,NA
1991-05-31,13,20,NA
1991-06-30,13,20,NA
1991-07-31,13,20,NA
1991-08-31,13,20,NA
1991-09-30,58,19,NA
1991-10-31,58,NA,NA
1991-11-30,98,20,NA
1991-12-31,99,20,NA
1992-01-31,97,20,NA
1992-02-29,126,19,NA
1992-03-31,250,19,NA
1992-04-30,249,20,NA
1992-05-31,249,20,NA
1992-06-30,249,20,NA
1992-07-31,249,20,NA
1992-08-31,552,30,16
1992-09-30,521,30,16
1992-10-31,590,30,16
1992-11-30,553,30,16
1992-12-31,535,30,15
1993-01-31,576,31,16
1993-02-28,575,31,18
1993-03-31,445,32,17
1993-04-30,645,30,16
1993-05-31,684,31,16
1993-06-30,557,31,15
1993-07-31,796,31,15
1993-08-31,552,29,15
1993-09-30,551,22,15
1993-10-31,248,20,15
1993-11-30,84,21,15
1993-12-31,92,20,16
1994-01-31,83,20,16
1994-02-28,88,20,16
1994-03-31,88,36,16
1994-04-30,110,36,15
1994-05-31,109,36,15
1994-06-30,67,37,15
1994-07-31,67,37,15
1994-08-31,385,37,15
1994-09-30,384,37,15
1994-10-31,367,36,13
1994-11-30,312,36,13
1994-12-31,312,35,13
1995-01-31,306,19,13
1995-02-28,306,19,13
1995-03-31,302,19,13
1995-04-30,302,20,13
1995-05-31,301,20,13
1995-06-30,309,20,13
1995-07-31,315,20,13
1995-08-31,9,20,13
1995-09-30,NA,20,13
1995-10-31,NA,20,13
1995-11-30,NA,20,13
1995-12-31,NA,20,13
1996-01-31,NA,20,13
1996-02-29,NA,20,13
1996-03-31,NA,28,12
1996-04-30,NA,20,13
1996-05-31,NA,20,12
1996-06-30,NA,20,12
1996-07-31,NA,18,12
1996-08-31,NA,18,12
1996-09-30,NA,18,12
1996-10-31,NA,20,12
1996-11-30,NA,20,12
1996-12-31,NA,20,12
1997-01-31,NA,20,12
1997-02-28,NA,20,13
1997-03-31,NA,20,14
1997-04-30,NA,20,13
1997-05-31,NA,20,12
1997-06-30,20,20,12
1997-07-31,20,20,12
1997-08-31,20,20,12
