"Date","Troops","Police","Experts"
1990-11-30,967,NA,NA
1990-12-31,967,NA,NA
1991-01-31,967,NA,NA
1991-02-28,967,NA,NA
1991-03-31,773,NA,NA
1991-04-30,962,NA,NA
1991-05-31,959,NA,NA
1991-06-30,964,NA,NA
1991-07-31,960,NA,NA
1991-08-31,958,NA,NA
1991-09-30,968,NA,NA
1991-10-31,967,NA,NA
1991-11-30,970,NA,NA
1991-12-31,967,NA,NA
1992-01-31,978,NA,NA
1992-02-29,964,3,NA
1992-03-31,964,3,NA
1992-04-30,965,33,NA
1992-05-31,965,33,NA
1992-06-30,965,33,NA
1992-07-31,965,33,NA
1992-08-31,908,23,44
1992-09-30,871,22,43
1992-10-31,870,22,43
1992-11-30,862,22,42
1992-12-31,798,22,42
1993-01-31,798,23,42
1993-02-28,800,22,42
1993-03-31,801,23,37
1993-04-30,799,23,37
1993-05-31,799,22,37
1993-06-30,799,28,31
1993-07-31,801,28,37
1993-08-31,804,19,25
1993-09-30,810,9,30
1993-10-31,808,9,27
1993-11-30,818,9,36
1993-12-31,816,9,40
1994-01-31,825,9,50
1994-02-28,825,29,50
1994-03-31,823,29,50
1994-04-30,823,9,50
1994-05-31,819,8,50
1994-06-30,827,8,56
1994-07-31,827,32,55
1994-08-31,817,31,59
1994-09-30,817,32,59
1994-10-31,826,32,47
1994-11-30,826,30,46
1994-12-31,826,30,45
1995-01-31,826,10,49
1995-02-28,826,9,49
1995-03-31,828,30,45
1995-04-30,831,30,48
1995-05-31,821,30,48
1995-06-30,821,30,48
1995-07-31,819,30,47
1995-08-31,819,30,47
1995-09-30,819,27,47
1995-10-31,819,27,48
1995-11-30,819,27,48
1995-12-31,782,27,46
1996-01-31,782,28,35
1996-02-29,813,10,36
1996-03-31,811,27,36
1996-04-30,811,25,34
1996-05-31,815,25,34
1996-06-30,810,24,34
1996-07-31,807,24,33
1996-08-31,809,23,32
1996-09-30,809,23,31
1996-10-31,808,23,31
1996-11-30,812,25,32
1996-12-31,812,24,31
1997-01-31,836,24,30
1997-02-28,837,23,33
1997-03-31,809,24,32
1997-04-30,808,24,31
1997-05-31,820,36,28
1997-06-30,812,36,28
1997-07-31,819,50,31
1997-08-31,830,50,34
1997-09-30,830,50,35
1997-10-31,756,50,31
1997-11-30,751,51,31
1997-12-31,752,49,30
1998-01-31,775,48,29
1998-02-28,780,47,31
1998-03-31,775,47,30
1998-04-30,753,47,31
1998-05-31,756,47,31
1998-06-30,718,48,31
1998-07-31,718,48,30
1998-08-31,718,47,30
1998-09-30,702,47,26
1998-10-31,706,39,26
1998-11-30,706,39,27
1998-12-31,706,39,27
1999-01-31,703,38,22
1999-02-28,670,39,24
1999-03-31,666,37,25
1999-04-30,666,40,25
1999-05-31,667,39,24
1999-06-30,612,31,24
1999-07-31,611,39,25
1999-08-31,614,78,26
1999-09-30,604,91,30
1999-10-31,603,88,29
1999-11-30,603,88,29
1999-12-31,607,87,26
2000-01-31,606,91,26
2000-02-28,607,95,25
2000-03-31,605,95,25
2000-04-30,606,98,25
2000-05-31,607,102,24
2000-06-30,605,94,24
2000-07-31,605,119,22
2000-08-31,606,119,23
2000-09-30,604,119,25
2000-10-31,602,119,25
2000-11-30,613,117,20
2000-12-31,609,103,18
2001-01-31,613,119,19
2001-02-28,613,119,19
2001-03-31,643,117,18
2001-04-30,623,117,18
2001-05-31,646,117,18
2001-06-30,439,123,16
2001-07-31,409,118,15
2001-08-31,382,118,16
2001-09-30,380,115,16
2001-10-31,378,112,16
2001-11-30,383,112,15
2001-12-31,377,110,16
2002-01-31,375,86,15
2002-02-28,374,84,16
2002-03-31,374,64,14
2002-04-30,372,62,14
2002-05-31,367,62,13
2002-06-30,348,54,13
2002-07-31,369,55,12
2002-08-30,467,55,10
2002-09-30,374,54,9
2002-10-31,370,49,10
2002-11-30,382,49,11
2002-12-31,382,44,9
2003-01-31,382,44,9
2003-02-28,381,44,11
2003-03-30,381,44,9
2003-04-30,382,44,9
2003-05-31,382,44,9
2003-06-30,382,44,10
2003-07-31,381,45,10
2003-08-31,381,45,10
2003-09-30,382,39,11
2003-10-31,382,39,11
2003-11-30,468,38,12
2003-12-31,387,39,12
2004-01-31,380,60,12
2004-02-28,378,39,12
2004-03-31,378,39,12
2004-04-30,377,35,12
2004-05-31,376,35,6
2004-06-30,376,34,12
2004-07-31,378,24,12
2004-08-31,380,24,11
2004-09-30,379,29,12
2004-10-31,376,29,13
2004-11-30,379,29,12
2004-12-31,377,29,12
2005-01-31,376,29,12
2005-02-28,378,29,12
2005-03-31,378,29,12
2005-04-30,376,29,13
2005-05-31,380,29,14
2005-06-30,386,29,13
2005-07-31,386,24,8
2005-08-31,386,24,13
2005-09-30,387,24,9
2005-10-31,382,24,15
2005-11-30,383,24,8
2005-12-31,385,24,15
2006-01-31,384,24,15
2006-02-28,384,24,15
2006-03-31,380,24,14
2006-04-30,376,24,14
2006-05-31,382,24,15
2006-06-30,382,24,16
2006-07-31,385,22,15
2006-08-31,385,22,14
2006-09-30,381,22,15
2006-10-31,371,37,14
2006-11-30,381,22,14
2006-12-31,380,28,14
2007-01-31,377,28,15
2007-02-28,376,27,14
2007-03-31,374,22,14
2007-04-30,375,22,15
2007-05-31,382,22,15
2007-06-30,382,22,15
2007-07-31,378,22,15
2007-08-31,377,22,14
2007-09-30,377,22,14
2007-10-31,377,22,14
2007-11-30,397,22,14
2007-12-31,384,22,15
2008-01-31,382,22,15
2008-02-28,389,22,15
2008-03-31,388,22,15
2008-04-30,390,22,16
2008-05-31,387,22,16
2008-06-30,387,22,15
2008-07-31,387,22,13
2008-08-31,382,22,10
2008-09-30,388,19,10
2008-10-31,384,19,13
2008-11-30,386,4,10
2008-12-31,388,3,10
2009-01-31,391,1,10
2009-02-28,388,NA,10
2009-03-31,498,NA,10
2009-04-30,487,NA,12
2009-05-31,514,NA,12
2009-06-30,511,NA,11
2009-07-31,513,NA,11
2009-08-31,510,NA,11
2009-09-30,513,NA,11
2009-10-31,526,NA,11
2009-11-30,543,NA,11
2009-12-31,391,49,11
2010-01-31,388,49,12
2010-02-28,388,NA,12
2010-03-31,383,NA,12
2010-04-30,383,NA,12
2010-05-31,383,NA,12
2010-06-30,379,NA,12
2010-07-31,379,NA,11
2010-08-31,379,NA,11
2010-09-30,382,NA,11
2010-10-31,381,NA,11
2010-11-30,413,NA,11
2010-12-31,382,NA,11
2011-01-31,386,NA,8
2011-02-28,382,NA,8
2011-03-31,385,NA,8
2011-04-30,381,NA,8
2011-05-31,381,NA,8
2011-06-30,383,NA,8
2011-07-31,378,NA,8
2011-08-31,379,NA,9
2011-09-30,378,NA,9
2011-10-31,383,NA,9
2011-11-30,540,NA,9
2011-12-31,536,NA,9
2012-01-31,542,NA,9
2012-02-28,539,NA,9
2012-03-31,541,NA,9
2012-04-30,531,NA,9
2012-05-31,550,NA,9
2012-06-30,531,NA,9
2012-07-31,531,NA,8
2012-08-31,530,NA,9
2012-09-30,529,NA,8
2012-10-31,536,NA,8
2012-11-30,534,NA,8
2012-12-31,537,NA,8
2013-01-31,534,NA,8
2013-02-28,536,NA,8
2013-03-31,543,NA,7
2013-04-30,543,NA,7
2013-05-31,557,NA,7
2013-06-30,288,NA,7
2013-07-31,170,NA,7
2013-08-31,170,NA,7
2013-09-30,172,NA,8
2013-10-31,172,NA,7
2013-11-30,208,NA,7
2013-12-31,175,NA,7
2014-01-31,175,1,7
2014-02-28,176,1,6
