"Date","Troops","Police","Experts"
1990-11-30,5,NA,NA
1990-12-31,5,NA,NA
1991-01-31,5,NA,NA
1991-02-28,5,NA,NA
1991-04-30,7,NA,NA
1991-05-31,7,NA,NA
1991-06-30,7,NA,NA
1991-07-31,7,NA,NA
1991-08-31,7,NA,NA
1991-09-30,7,NA,NA
1991-10-31,8,NA,NA
1991-11-30,7,NA,NA
1991-12-31,6,NA,NA
1992-01-31,5,NA,NA
1992-02-29,12,NA,NA
1992-03-31,22,NA,NA
1992-04-30,80,14,NA
1992-05-31,80,14,NA
1992-06-30,80,14,NA
1992-07-31,80,14,NA
1992-08-31,910,194,47
1992-09-30,911,194,47
1992-10-31,911,270,47
1992-11-30,911,270,57
1992-12-31,911,270,47
1993-01-31,911,268,57
1993-02-28,926,268,57
1993-03-31,1000,268,72
1993-04-30,1184,264,72
1993-05-31,2293,264,72
1993-06-30,2359,262,72
1993-07-31,2337,261,73
1993-08-31,2437,146,71
1993-09-30,2436,44,97
1993-10-31,2480,43,98
1993-11-30,2583,50,113
1993-12-31,3217,50,184
1994-01-31,4115,75,187
1994-02-28,4119,77,187
1994-03-31,4137,80,195
1994-04-30,3007,72,185
1994-05-31,3042,60,184
1994-06-30,2935,135,195
1994-07-31,2886,145,196
1994-08-31,2881,134,205
1994-09-30,3679,134,188
1994-10-31,3977,138,168
1994-11-30,3999,137,137
1994-12-31,3994,134,143
1995-01-31,2960,38,112
1995-02-28,2040,37,131
1995-03-31,2908,125,131
1995-04-30,3096,113,130
1995-05-31,3095,130,127
1995-06-30,3116,117,126
1995-07-31,3093,117,125
1995-08-31,3095,117,118
1995-09-30,2921,126,125
1995-10-31,3144,122,128
1995-11-30,1910,37,115
1995-12-31,1904,38,87
1996-01-31,1899,43,67
1996-02-29,1898,57,66
1996-03-31,1917,123,64
1996-04-30,1573,54,55
1996-05-31,1569,92,60
1996-06-30,1567,101,54
1996-07-31,1013,101,51
1996-08-31,1033,100,51
1996-09-30,1043,89,50
1996-10-31,1039,88,51
1996-11-30,1033,93,52
1996-12-31,1037,92,55
1997-01-31,1015,88,49
1997-02-28,1013,83,49
1997-03-31,1014,83,58
1997-04-30,1003,83,49
1997-05-31,1014,96,49
1997-06-30,1012,94,49
1997-07-31,900,90,52
1997-08-31,894,90,48
1997-09-30,891,90,41
1997-10-31,891,83,48
1997-11-30,855,90,49
1997-12-31,890,88,47
1998-01-31,817,88,37
1998-02-28,802,88,34
1998-03-31,805,52,34
1998-04-30,805,52,33
1998-05-31,811,51,33
1998-06-30,811,27,34
1998-07-31,810,39,32
1998-08-31,811,50,23
1998-09-30,808,52,27
1998-10-31,808,52,28
1998-11-30,808,53,28
1998-12-31,808,53,28
1999-01-31,808,44,28
1999-02-28,810,83,27
1999-03-31,808,34,23
1999-04-30,810,34,23
1999-05-31,810,34,22
1999-06-30,810,33,17
1999-07-31,810,70,31
1999-08-31,816,73,24
1999-09-30,802,78,31
1999-10-31,802,60,40
1999-11-30,802,60,40
1999-12-31,802,NA,69
2000-01-31,806,69,69
2000-02-28,892,103,67
2000-03-31,1356,102,67
2000-04-30,1356,95,68
2000-05-31,1509,95,77
2000-06-30,2135,93,74
2000-07-31,2135,71,73
2000-08-31,2134,156,73
2000-09-30,2134,156,72
2000-10-31,2134,186,74
2000-11-30,2137,186,76
2000-12-31,3005,196,57
2001-01-31,3087,188,49
2001-02-28,3087,188,49
2001-03-31,5739,170,54
2001-04-30,5739,170,55
2001-05-31,5738,177,50
2001-06-30,5789,196,55
2001-07-31,5789,199,56
2001-08-31,5874,198,59
2001-09-30,5789,199,60
2001-10-31,5788,196,61
2001-11-30,5786,186,57
2001-12-31,5782,178,50
2002-01-31,5781,178,65
2002-02-28,5772,169,64
2002-03-31,5771,169,66
2002-04-30,5787,155,66
2002-05-31,5267,147,65
2002-06-30,5254,131,65
2002-07-31,5252,137,63
2002-08-30,5227,129,66
2002-09-30,5245,127,65
2002-10-31,5245,116,63
2002-11-30,4844,116,65
2002-12-31,4043,103,65
2003-01-31,4051,114,64
