"Date","Troops","Police","Experts"
2011-04-30,1,NA,NA
2011-05-31,2,NA,NA
2011-06-30,3,NA,NA
2011-07-31,3,NA,NA
2011-08-31,3,NA,NA
2011-09-30,3,NA,NA
2011-10-31,3,NA,NA
2011-11-30,3,NA,NA
2011-12-31,3,NA,NA
2012-01-31,3,NA,NA
2012-02-28,3,NA,NA
2012-03-31,3,NA,NA
2012-04-30,3,NA,NA
2012-05-31,3,NA,NA
2012-06-30,3,NA,NA
2012-07-31,3,NA,NA
2012-08-31,3,NA,NA
2012-09-30,5,NA,NA
2012-10-31,5,NA,NA
2012-11-30,5,NA,NA
2012-12-31,5,NA,NA
2013-01-31,5,NA,NA
2013-02-28,5,NA,NA
2013-03-31,5,NA,NA
2013-04-30,5,NA,NA
2013-05-31,5,NA,NA
2013-06-30,5,NA,NA
2013-07-31,5,NA,NA
2013-08-31,5,NA,4
2013-09-30,5,NA,4
2013-10-31,5,NA,NA
2013-11-30,5,NA,NA
2013-12-31,5,NA,NA
2014-01-31,5,NA,NA
2014-02-28,5,NA,NA
