"Date","Troops","Police","Experts"
1990-11-30,4,NA,NA
1990-12-31,4,NA,NA
1991-01-31,4,NA,NA
1991-02-28,4,NA,NA
1991-03-31,4,NA,NA
1991-04-30,4,NA,NA
1991-05-31,4,NA,NA
1991-06-30,4,NA,NA
1991-07-31,4,NA,NA
1991-08-31,4,NA,NA
1991-09-30,5,NA,NA
1991-10-31,4,NA,NA
1991-11-30,7,NA,NA
1991-12-31,7,NA,NA
1992-01-31,8,NA,NA
1992-02-29,8,NA,NA
1992-03-31,9,NA,NA
1992-04-30,521,NA,NA
1992-05-31,521,NA,NA
1992-06-30,521,NA,NA
1992-07-31,521,NA,NA
1992-08-31,636,NA,14
1992-09-30,680,NA,15
1992-10-31,680,NA,17
1992-11-30,775,NA,18
1992-12-31,821,NA,18
1993-01-31,693,NA,19
1993-02-28,655,NA,18
1993-03-31,655,NA,17
1993-04-30,851,3,17
1993-05-31,1742,2,15
1993-06-30,1775,5,17
1993-07-31,1770,5,17
1993-08-31,1765,5,17
1993-09-30,1798,5,18
1993-10-31,1989,5,19
1993-11-30,2300,5,16
1993-12-31,1445,NA,16
1994-01-31,1443,NA,15
1994-02-28,1469,5,17
1994-03-31,1850,5,15
1994-04-30,1042,NA,15
1994-05-31,1005,NA,15
1994-06-30,1040,NA,15
1994-07-31,1041,NA,15
1994-08-31,1019,NA,15
1994-09-30,1019,NA,15
1994-10-31,1082,NA,15
1994-11-30,1038,NA,15
1994-12-31,1039,NA,15
1995-01-31,870,NA,15
1995-02-28,883,NA,15
1995-03-31,917,NA,15
1995-04-30,886,NA,15
1995-05-31,883,NA,23
1995-06-30,872,NA,23
1995-07-31,887,NA,24
1995-08-31,827,NA,23
1995-09-30,819,NA,24
1995-10-31,703,NA,24
1995-11-30,779,NA,24
1995-12-31,667,NA,24
1996-01-31,666,NA,16
1996-02-29,698,NA,15
1996-03-31,756,NA,14
1996-04-30,836,NA,14
1996-05-31,810,NA,14
1996-06-30,809,NA,14
1996-07-31,913,NA,14
1996-08-31,833,NA,14
1996-09-30,830,NA,14
1996-10-31,830,NA,14
1996-11-30,866,NA,14
1996-12-31,822,NA,14
1997-01-31,826,NA,14
1997-02-28,835,NA,14
1997-03-31,851,NA,13
1997-04-30,832,NA,14
1997-05-31,830,NA,14
1997-06-30,827,NA,14
1997-07-31,815,NA,14
1997-08-31,818,NA,16
1997-09-30,805,NA,16
1997-10-31,418,NA,14
1997-11-30,131,NA,15
1997-12-31,125,NA,14
1998-01-31,7,NA,10
1998-02-28,7,NA,10
1998-03-31,NA,NA,10
1998-04-30,NA,NA,10
1998-05-31,NA,NA,11
1998-06-30,NA,NA,10
1998-07-31,NA,NA,10
1998-08-31,NA,NA,10
1998-09-30,NA,NA,10
1998-10-31,NA,NA,10
1998-11-30,NA,NA,11
1998-12-31,NA,NA,11
1999-01-31,NA,NA,10
1999-02-28,NA,NA,11
1999-03-31,NA,NA,9
1999-04-30,NA,NA,9
1999-05-31,NA,NA,9
1999-06-30,NA,NA,9
