"Date","Troops","Police","Experts"
1995-05-31,3,35,NA
1995-06-30,3,35,NA
1995-07-31,3,35,NA
1995-08-31,3,35,NA
1995-09-30,44,35,NA
1995-10-31,35,35,NA
1995-11-30,25,35,NA
1995-12-31,35,35,NA
1996-01-31,NA,35,NA
1996-02-29,NA,35,NA
1997-06-30,NA,10,NA
1997-07-31,NA,10,NA
1997-08-31,NA,10,NA
1997-09-30,NA,10,NA
1997-10-31,NA,10,NA
1997-11-30,NA,6,NA
1997-12-31,NA,6,NA
1998-01-31,NA,6,NA
1998-02-28,NA,6,NA
1998-03-31,NA,6,NA
1998-04-30,NA,6,NA
1998-05-31,NA,8,NA
1998-06-30,NA,8,NA
1998-07-31,NA,8,NA
1998-08-31,NA,8,NA
1998-09-30,NA,8,NA
1998-10-31,NA,8,NA
1998-11-30,NA,8,NA
1998-12-31,NA,8,NA
1999-01-31,NA,8,NA
1999-02-28,NA,8,NA
1999-03-31,NA,11,NA
1999-04-30,NA,13,NA
1999-05-31,NA,13,NA
1999-06-30,NA,13,NA
1999-07-31,NA,13,NA
1999-08-31,NA,13,NA
1999-09-30,NA,13,4
1999-10-31,NA,13,4
1999-11-30,NA,13,4
1999-12-31,NA,13,4
2000-01-31,NA,12,4
2000-02-28,NA,8,4
2000-03-31,NA,5,4
2000-04-30,NA,5,4
2000-05-31,NA,5,8
2000-06-30,NA,5,8
2000-07-31,NA,5,8
2000-08-31,NA,5,9
2000-09-30,NA,5,8
2000-10-31,NA,5,8
2000-11-30,NA,5,8
2000-12-31,2,31,8
2001-01-31,5,31,10
2001-02-28,5,31,10
2001-03-31,4,31,17
2001-04-30,4,28,23
2001-05-31,5,28,23
2001-06-30,5,28,23
2001-07-31,5,28,23
2001-08-31,5,27,23
2001-09-30,5,27,23
2001-10-31,5,27,23
2001-11-30,5,27,23
2001-12-31,3,28,23
2002-01-31,3,2,23
2002-02-28,3,1,20
2002-03-31,5,1,23
2002-04-30,5,1,23
2002-05-31,4,1,24
2002-06-30,4,1,24
2002-07-31,5,3,18
2002-08-30,5,6,19
2002-09-30,6,6,19
2002-10-31,4,5,18
2002-11-30,4,5,18
2002-12-31,4,6,18
2003-01-31,4,6,18
2003-02-28,4,6,17
2003-03-30,2,6,24
2003-04-30,2,6,22
2003-05-31,2,6,20
2003-06-30,2,6,21
2003-07-31,3,8,21
2003-08-31,4,11,24
2003-09-30,3,12,22
2003-10-31,253,12,19
2003-11-30,255,12,22
2003-12-31,254,12,30
2004-01-31,267,12,33
2004-02-28,266,12,33
2004-03-31,269,12,30
2004-04-30,527,12,37
2004-05-31,571,12,35
2004-06-30,308,12,36
2004-07-31,306,12,38
2004-08-31,313,12,40
2004-09-30,313,61,41
2004-10-31,312,63,41
2004-11-30,312,63,31
2004-12-31,313,63,32
2005-01-31,313,63,35
2005-02-28,311,63,35
2005-03-31,311,63,36
2005-04-30,311,62,35
2005-05-31,311,66,37
2005-06-30,310,66,36
2005-07-31,310,66,34
2005-08-31,310,66,32
2005-09-30,309,72,34
2005-10-31,313,72,38
2005-11-30,313,69,38
2005-12-31,312,77,32
2006-01-31,312,77,33
2006-02-28,312,77,31
2006-03-31,310,71,31
2006-04-30,1060,71,27
2006-05-31,1060,67,35
2006-06-30,1162,67,32
2006-07-31,1176,71,41
2006-08-31,1180,49,39
2006-09-30,1180,43,37
2006-10-31,1182,67,35
2006-11-30,1179,71,36
