"Date","Troops","Police","Experts"
1999-07-31,71,NA,NA
1999-08-31,71,NA,4
1999-09-30,70,NA,7
1999-10-31,70,NA,7
1999-11-30,70,NA,7
1999-12-31,NA,NA,10
2000-01-31,NA,NA,10
2000-02-28,NA,NA,10
2000-03-31,NA,NA,11
2000-04-30,NA,NA,9
2000-05-31,NA,NA,8
2000-06-30,NA,NA,8
2000-07-31,NA,NA,9
2000-08-31,NA,NA,9
2000-09-30,NA,NA,9
2000-10-31,NA,NA,9
2000-11-30,NA,NA,8
2000-12-31,NA,NA,7
2001-01-31,NA,NA,9
2001-02-28,NA,NA,9
2001-03-31,1,NA,8
2001-04-30,1,NA,8
2001-05-31,1,NA,6
2001-06-30,1,NA,10
2001-07-31,1,NA,10
2001-08-31,1,NA,8
2001-09-30,1,NA,10
2001-10-31,205,NA,10
2001-11-30,203,NA,8
2001-12-31,203,NA,10
2002-01-31,203,NA,10
2002-02-28,200,NA,10
2002-03-31,201,NA,10
2002-04-30,200,NA,10
2002-05-31,204,NA,10
2002-06-30,204,NA,10
2002-07-31,204,NA,10
2002-08-30,204,NA,13
2002-09-30,204,NA,11
2002-10-31,204,NA,12
2002-11-30,204,NA,14
2002-12-31,204,NA,12
2003-01-31,204,NA,12
2003-02-28,204,NA,12
2003-03-30,204,NA,12
2003-04-30,205,NA,11
2003-05-31,203,NA,13
2003-06-30,203,NA,13
2003-07-31,203,NA,13
2003-08-31,206,NA,10
2003-09-30,203,NA,13
2003-10-31,202,NA,13
2003-11-30,203,NA,15
2003-12-31,204,NA,15
2004-01-31,206,NA,15
2004-02-28,206,NA,15
2004-03-31,206,NA,16
2004-04-30,206,NA,19
2004-05-31,210,NA,19
2004-06-30,210,NA,20
2004-07-31,212,NA,20
2004-08-31,206,NA,20
2004-09-30,212,NA,19
2004-10-31,212,NA,19
2004-11-30,212,NA,19
2004-12-31,212,NA,19
2005-01-31,212,NA,19
2005-02-28,228,NA,19
2005-03-31,230,NA,19
2005-04-30,230,NA,19
2005-05-31,228,NA,17
2005-06-30,226,NA,15
2005-07-31,226,NA,17
2005-08-31,226,NA,17
2005-09-30,226,NA,16
2005-10-31,223,NA,21
2005-11-30,223,NA,23
2005-12-31,223,NA,21
2006-01-31,205,NA,32
2006-02-28,205,NA,32
2006-03-31,205,NA,30
2006-04-30,205,NA,30
2006-05-31,204,NA,32
2006-06-30,202,NA,29
2006-07-31,202,NA,32
2006-08-31,203,NA,32
2006-09-30,419,NA,29
2006-10-31,419,NA,28
2006-11-30,417,NA,35
2006-12-31,419,NA,31
2007-01-31,420,NA,24
2007-02-28,420,NA,34
2007-03-31,420,NA,33
2007-04-30,420,NA,35
2007-05-31,422,NA,29
2007-06-30,420,NA,34
2007-07-31,420,NA,36
2007-08-31,419,NA,37
2007-09-30,419,NA,38
2007-10-31,418,NA,40
2007-11-30,418,NA,38
2007-12-31,415,NA,37
2008-01-31,418,NA,41
2008-02-28,418,NA,29
2008-03-31,417,NA,24
2008-04-30,417,NA,27
2008-05-31,421,NA,44
2008-06-30,417,NA,38
2008-07-31,417,NA,37
2008-08-31,418,NA,35
2008-09-30,418,NA,37
2008-10-31,419,NA,42
2008-11-30,410,NA,39
2008-12-31,410,NA,39
2009-01-31,411,NA,39
2009-02-28,410,NA,38
2009-03-31,410,NA,37
2009-04-30,410,NA,37
2009-05-31,410,NA,35
2009-06-30,410,NA,31
2009-07-31,410,NA,30
2009-08-31,409,NA,30
2009-09-30,410,NA,23
2009-10-31,410,NA,24
2009-11-30,410,NA,31
2009-12-31,410,NA,31
2010-01-31,409,NA,30
2010-02-28,409,NA,29
2010-03-31,410,NA,30
2010-04-30,409,NA,27
2010-05-31,410,NA,30
2010-06-30,410,NA,28
2010-07-31,229,NA,30
2010-08-31,229,NA,31
2010-09-30,228,NA,31
2010-10-31,209,NA,26
2010-11-30,209,NA,20
2010-12-31,208,NA,30
2011-01-31,208,NA,35
2011-02-28,208,NA,32
2011-03-31,208,NA,31
2011-04-30,208,NA,31
2011-05-31,209,NA,30
2011-06-30,209,NA,28
2011-07-31,209,NA,15
2011-08-31,209,NA,16
2011-09-30,208,NA,15
2011-10-31,209,NA,15
2011-11-30,209,NA,15
2011-12-31,209,NA,13
2012-01-31,209,NA,18
2012-02-28,209,NA,17
2012-03-31,209,NA,17
2012-04-30,211,NA,18
2012-05-31,211,NA,20
2012-06-30,211,NA,21
2012-07-31,210,NA,17
2012-08-31,211,NA,21
2012-09-30,211,NA,20
2012-10-31,211,NA,21
2012-11-30,210,NA,20
2012-12-31,209,NA,15
2013-01-31,210,NA,21
2013-02-28,210,NA,21
2013-03-31,210,NA,21
2013-04-30,208,NA,21
2013-05-31,210,NA,21
2013-06-30,209,NA,21
2013-07-31,209,NA,20
2013-08-31,209,NA,19
2013-09-30,210,NA,23
2013-10-31,209,NA,23
2013-11-30,210,NA,23
2013-12-31,210,NA,23
2014-01-31,212,NA,23
2014-02-28,209,NA,22
