"Date","Troops","Police","Experts"
2000-04-30,NA,12,2
2000-05-31,NA,12,2
2000-06-30,NA,12,2
2000-07-31,NA,12,2
2000-08-31,NA,12,2
2000-09-30,NA,12,2
2000-10-31,NA,12,2
2000-11-30,NA,12,2
2000-12-31,NA,12,2
2001-01-31,NA,12,1
2001-02-28,NA,12,1
2001-03-31,NA,12,8
2001-04-30,NA,13,8
2001-05-31,NA,13,8
2001-06-30,NA,13,8
2001-07-31,NA,13,8
2001-08-31,NA,13,8
2001-09-30,NA,13,9
2001-10-31,NA,12,9
2001-11-30,NA,12,9
2001-12-31,NA,10,9
2002-01-31,NA,10,9
2002-02-28,NA,10,9
2002-03-31,NA,20,9
2002-04-30,NA,19,9
2002-05-31,NA,19,9
2002-06-30,NA,16,9
2002-07-31,NA,11,9
2002-08-30,NA,10,9
2002-09-30,NA,10,9
2002-10-31,NA,10,9
2002-11-30,NA,10,14
2002-12-31,NA,10,14
2003-01-31,NA,9,14
2003-02-28,NA,9,13
2003-03-30,NA,9,16
2003-04-30,NA,9,14
2003-05-31,NA,8,14
2003-06-30,NA,8,14
2003-07-31,NA,8,14
2003-08-31,NA,7,15
2003-09-30,NA,6,14
2003-10-31,NA,6,14
2003-11-30,NA,6,14
2003-12-31,NA,5,14
2004-01-31,NA,20,14
2004-02-28,NA,20,14
2004-03-31,NA,20,14
2004-04-30,NA,22,14
2004-05-31,NA,19,14
2004-06-30,NA,19,14
2004-07-31,NA,22,14
2004-08-31,NA,22,14
2004-09-30,NA,22,13
2004-10-31,NA,22,14
2004-11-30,NA,31,14
2004-12-31,NA,31,14
2005-01-31,NA,31,14
2005-02-28,NA,31,14
2005-03-31,NA,31,14
2005-04-30,NA,31,14
2005-05-31,NA,30,14
2005-06-30,NA,30,14
2005-07-31,NA,24,14
2005-08-31,NA,24,14
2005-09-30,NA,24,14
2005-10-31,NA,26,14
2005-11-30,NA,23,14
2005-12-31,NA,23,14
2006-01-31,NA,14,14
2006-02-28,NA,13,15
2006-03-31,NA,13,15
2006-04-30,NA,15,14
2006-05-31,NA,21,14
2006-06-30,NA,21,14
2006-07-31,NA,17,14
2006-08-31,NA,16,14
2006-09-30,NA,18,14
2006-10-31,NA,18,14
2006-11-30,NA,13,13
2006-12-31,NA,13,12
2007-01-31,NA,16,13
2007-02-28,NA,16,5
2007-03-31,NA,16,10
2007-04-30,NA,15,9
2007-05-31,NA,15,10
2007-06-30,NA,16,10
2007-07-31,NA,16,10
2007-08-31,NA,15,10
2007-09-30,NA,17,10
2007-10-31,NA,17,10
2007-11-30,NA,17,10
2007-12-31,NA,19,6
2008-01-31,NA,19,10
2008-02-28,NA,19,10
2008-03-31,NA,19,7
2008-04-30,NA,18,7
2008-05-31,NA,15,5
2008-06-30,NA,14,5
2008-07-31,NA,15,5
2008-08-31,NA,15,5
2008-09-30,NA,19,5
2008-10-31,NA,16,5
2008-11-30,NA,20,5
2008-12-31,NA,18,5
2009-01-31,NA,18,NA
2009-02-28,NA,18,NA
2009-03-31,NA,17,5
2009-04-30,NA,15,5
2009-05-31,NA,18,5
2009-06-30,NA,18,5
2009-07-31,NA,14,5
2009-08-31,NA,21,5
2009-09-30,NA,21,5
2009-10-31,NA,21,5
2009-11-30,NA,20,5
2009-12-31,NA,23,5
2010-01-31,NA,23,5
2010-02-28,NA,23,5
2010-03-31,NA,22,NA
2010-04-30,NA,21,5
2010-05-31,NA,19,5
2010-06-30,NA,21,5
2010-07-31,NA,20,5
2010-08-31,NA,25,5
2010-09-30,NA,24,5
2010-10-31,NA,23,5
2010-11-30,NA,23,5
2010-12-31,NA,20,5
2011-01-31,NA,20,5
2011-02-28,NA,26,5
2011-03-31,NA,25,5
2011-04-30,NA,27,NA
2011-05-31,NA,27,5
2011-06-30,NA,27,5
2011-07-31,NA,17,5
2011-08-31,NA,24,5
2011-09-30,NA,27,5
2011-10-31,NA,26,5
2011-11-30,NA,26,5
2011-12-31,NA,25,5
2012-01-31,NA,23,5
2012-02-28,NA,40,5
2012-03-31,NA,41,5
2012-04-30,NA,40,NA
2012-05-31,NA,41,5
2012-06-30,NA,43,5
2012-07-31,NA,42,5
2012-08-31,NA,41,5
2012-09-30,NA,40,5
2012-10-31,NA,40,5
2012-11-30,NA,40,5
2012-12-31,NA,42,5
2013-01-31,NA,41,5
2013-02-28,NA,38,5
2013-03-31,NA,47,5
2013-04-30,NA,53,5
2013-05-31,NA,53,NA
2013-06-30,NA,51,5
2013-07-31,NA,53,5
2013-08-31,NA,56,5
2013-09-30,NA,56,5
2013-10-31,NA,57,5
2013-11-30,NA,52,5
2013-12-31,NA,53,5
2014-01-31,NA,57,5
2014-02-28,NA,49,5
