"Date","Troops","Police","Experts"
1993-02-28,7,NA,NA
1993-03-31,25,NA,NA
1993-04-30,746,NA,NA
1993-05-31,949,NA,NA
1993-06-30,953,NA,14
1993-07-31,950,NA,8
1993-08-31,998,NA,14
1993-09-30,992,NA,24
1993-10-31,1074,NA,23
1993-11-30,1067,NA,22
1993-12-31,1075,NA,22
1994-01-31,1073,NA,22
1994-02-28,1073,NA,22
1994-03-31,1099,NA,22
1994-04-30,1178,NA,22
1994-05-31,1180,15,22
1994-06-30,1190,15,22
1994-07-31,1177,25,11
1994-08-31,1175,25,11
1994-09-30,1173,25,2
2006-03-31,NA,NA,5
2006-04-30,NA,NA,5
2006-05-31,NA,NA,5
2006-06-30,NA,NA,5
2006-07-31,NA,NA,5
2006-08-31,NA,NA,5
2006-09-30,NA,NA,5
2006-10-31,NA,NA,5
2006-11-30,NA,NA,5
2006-12-31,NA,NA,5
2007-01-31,NA,NA,5
2007-03-31,NA,NA,5
2007-04-30,NA,NA,5
2007-05-31,NA,NA,5
2007-06-30,NA,NA,5
2007-07-31,NA,NA,5
2007-08-31,NA,NA,5
2007-09-30,NA,NA,5
2007-10-31,NA,NA,5
2007-11-30,NA,NA,5
2007-12-31,NA,7,5
2008-01-31,2,7,10
2008-02-28,2,7,7
2008-03-31,4,8,5
2008-04-30,4,8,10
2008-05-31,4,8,10
2008-06-30,4,8,10
2008-07-31,4,8,10
2008-08-31,NA,8,5
2008-09-30,NA,8,5
2008-10-31,NA,8,5
2008-11-30,NA,8,5
2008-12-31,NA,3,5
2009-01-31,NA,3,5
2009-02-28,NA,3,5
