"Date","Troops","Police","Experts"
1993-01-31,2,12,3
1993-02-28,NA,12,3
1993-03-31,NA,12,3
1993-04-30,NA,12,3
1993-05-31,NA,12,3
1993-06-30,NA,NA,3
1993-07-31,NA,12,3
1993-08-31,NA,NA,3
1993-09-30,NA,NA,3
2008-10-31,5,NA,NA
2008-11-30,5,NA,NA
2008-12-31,5,NA,NA
2009-01-31,5,NA,NA
2009-02-28,5,NA,NA
2009-03-31,5,NA,NA
2009-04-30,5,NA,NA
2009-05-31,5,NA,NA
2009-06-30,5,NA,NA
2009-07-31,5,NA,NA
2009-08-31,7,NA,NA
2009-09-30,7,NA,NA
2009-10-31,7,NA,NA
2009-11-30,7,NA,NA
2009-12-31,7,NA,NA
2010-01-31,7,NA,NA
2010-02-28,7,NA,NA
2010-03-31,7,NA,NA
2010-04-30,9,NA,NA
2010-05-31,9,NA,NA
2010-06-30,9,NA,NA
2010-07-31,9,NA,NA
2010-08-31,9,NA,NA
2010-09-30,9,NA,NA
2010-10-31,19,NA,NA
2010-11-30,19,NA,NA
2010-12-31,19,NA,NA
2011-01-31,19,NA,NA
2011-02-28,20,NA,NA
2011-03-31,20,NA,NA
2011-04-30,20,NA,NA
2011-05-31,30,NA,NA
2011-06-30,29,NA,NA
2011-07-31,30,NA,NA
2011-08-31,30,NA,NA
2011-09-30,30,NA,NA
2011-10-31,30,NA,NA
2011-11-30,30,NA,NA
2011-12-31,30,NA,NA
2012-01-31,30,NA,NA
2012-02-28,30,NA,NA
2012-03-31,30,NA,NA
2012-04-30,30,NA,NA
2012-05-31,30,NA,NA
2012-06-30,30,NA,NA
2012-07-31,30,NA,NA
2012-08-31,30,NA,NA
2012-09-30,30,NA,NA
2012-10-31,30,NA,NA
2012-11-30,30,NA,NA
2012-12-31,30,NA,NA
2013-01-31,30,NA,NA
2013-02-28,30,NA,NA
2013-03-31,30,NA,NA
2013-04-30,30,NA,NA
2013-05-31,30,NA,NA
2013-06-30,30,NA,NA
2013-07-31,30,NA,NA
2013-08-31,30,NA,NA
2013-09-30,30,NA,NA
2013-10-31,26,NA,NA
2013-11-30,26,NA,NA
2013-12-31,26,NA,NA
2014-01-31,26,NA,NA
2014-02-28,26,NA,NA
