"Date","Troops","Police","Experts"
1992-04-30,20,NA,NA
1992-05-31,20,NA,NA
1992-06-30,20,NA,NA
1992-07-31,20,NA,NA
1992-09-30,783,NA,13
1993-01-31,748,75,17
1993-02-28,748,75,17
1993-03-31,742,75,17
1993-04-30,740,75,16
1993-05-31,808,74,16
1993-06-30,797,NA,17
1993-07-31,798,73,17
1993-08-31,41,NA,17
1993-09-30,5,NA,11
1993-10-31,5,NA,11
1995-05-31,NA,10,14
1995-06-30,NA,10,14
1995-07-31,NA,10,14
1995-08-31,NA,10,14
1995-09-30,NA,10,14
1995-10-31,NA,15,13
1995-11-30,NA,15,13
1995-12-31,NA,15,13
1996-01-31,NA,15,15
1996-02-29,NA,15,16
1996-03-31,NA,7,15
1996-04-30,NA,35,15
1996-05-31,NA,35,15
1996-06-30,NA,45,14
1996-07-31,NA,15,14
1996-08-31,NA,15,14
1996-09-30,NA,65,14
1996-10-31,NA,64,14
1996-11-30,NA,65,14
1996-12-31,NA,65,14
1997-01-31,NA,65,14
1997-02-28,NA,64,13
1997-03-31,NA,63,12
1997-04-30,NA,62,12
1997-05-31,NA,62,12
1997-06-30,NA,62,12
1997-07-31,NA,68,16
1997-08-31,NA,68,16
1997-09-30,NA,67,16
1997-10-31,NA,64,15
1997-11-30,NA,66,15
1997-12-31,NA,43,15
1998-01-31,NA,43,7
1998-02-28,NA,60,9
1998-03-31,NA,60,9
1998-04-30,NA,60,9
1998-05-31,NA,60,9
1998-06-30,NA,60,9
1998-07-31,NA,60,10
1998-08-31,NA,61,11
1998-09-30,NA,61,6
1998-10-31,NA,58,6
1998-11-30,NA,58,6
1998-12-31,NA,58,6
1999-01-31,NA,41,5
1999-02-28,1,49,3
1999-03-31,NA,46,3
1999-04-30,NA,45,3
1999-05-31,NA,44,3
1999-06-30,NA,46,3
1999-07-31,NA,45,3
1999-08-31,NA,65,3
1999-09-30,NA,65,3
1999-10-31,NA,64,3
1999-11-30,NA,64,3
1999-12-31,NA,84,3
2000-01-31,NA,84,3
2000-02-28,NA,95,2
2000-03-31,NA,95,2
2000-04-30,NA,97,2
2000-05-31,NA,97,1
2000-06-30,NA,96,1
2000-07-31,NA,96,1
2000-08-31,NA,118,1
2000-09-30,NA,118,1
2000-10-31,NA,118,1
2000-11-30,NA,111,1
2000-12-31,NA,111,1
2001-01-31,NA,148,1
2001-02-28,NA,148,1
2001-03-31,NA,144,5
2001-04-30,NA,143,5
2001-05-31,NA,142,5
2001-06-30,2,126,5
2001-07-31,2,133,5
2001-08-31,2,125,5
2001-09-30,2,143,5
2001-10-31,2,141,5
2001-11-30,2,141,5
2001-12-31,2,142,5
2002-01-31,2,140,6
2002-02-28,2,145,6
2002-03-31,2,145,6
2002-04-30,2,130,6
2002-05-31,2,130,6
2002-06-30,2,134,6
2002-07-31,2,133,6
2002-08-30,2,132,6
2002-09-30,2,134,6
2002-10-31,2,134,6
2002-11-30,2,134,6
2002-12-31,2,100,6
2003-01-31,2,99,6
2003-02-28,2,99,6
2003-03-30,2,99,6
2003-04-30,2,98,6
2003-05-31,2,96,6
2003-06-30,2,95,6
2003-07-31,2,95,6
2003-08-31,2,94,6
2003-09-30,2,86,6
2003-10-31,2,86,6
2003-11-30,2,78,6
2003-12-31,2,82,6
2004-01-31,2,82,6
2004-02-28,2,69,6
2004-03-31,2,69,6
2004-04-30,2,67,6
2004-05-31,2,67,8
2004-06-30,2,77,8
2004-07-31,2,76,8
2004-08-31,2,76,8
2004-09-30,2,54,8
2004-10-31,2,54,8
2004-11-30,2,68,8
2004-12-31,2,64,8
2005-01-31,2,64,8
2005-02-28,2,52,8
2005-03-31,2,51,8
2005-04-30,2,51,8
2005-05-31,2,51,8
2005-06-30,2,51,8
2005-07-31,2,50,8
2005-08-31,2,50,8
2005-09-30,2,49,8
2005-10-31,2,49,8
2005-11-30,2,43,8
2005-12-31,2,52,8
2006-01-31,2,52,8
2006-02-28,2,52,8
2006-03-31,2,51,8
2006-04-30,2,43,8
2006-05-31,2,40,7
2006-06-30,NA,33,8
2006-07-31,NA,33,8
2006-08-31,NA,45,8
2006-09-30,NA,45,8
2006-10-31,130,45,8
2006-11-30,130,47,8
2006-12-31,NA,59,8
2007-01-31,NA,53,8
2007-02-28,NA,53,7
2007-03-31,NA,52,7
2007-04-30,NA,52,7
2007-05-31,NA,52,7
2007-06-30,NA,51,7
2007-07-31,NA,51,7
2007-08-31,NA,50,7
2007-09-30,NA,50,7
2007-10-31,NA,50,7
2007-11-30,NA,49,7
2007-12-31,NA,49,7
2008-01-31,NA,47,7
2008-02-28,NA,46,7
2008-03-31,NA,46,5
2008-04-30,NA,46,5
2008-05-31,NA,46,5
2008-06-30,NA,60,5
2008-07-31,NA,59,3
2008-08-31,NA,48,3
2008-09-30,NA,48,1
2008-10-31,NA,45,3
2008-11-30,NA,14,3
2008-12-31,NA,8,3
2009-01-31,NA,3,3
2009-02-28,NA,1,3
2009-03-31,NA,NA,2
2009-04-30,NA,NA,2
2009-05-31,NA,NA,2
2009-06-30,NA,NA,1
2009-07-31,NA,NA,1
2009-08-31,NA,NA,2
2009-09-30,NA,NA,2
2009-10-31,NA,NA,2
2009-11-30,NA,NA,2
2009-12-31,NA,NA,1
2010-01-31,NA,NA,2
2010-02-28,NA,NA,2
2010-03-31,NA,NA,2
2010-04-30,NA,NA,2
2010-05-31,NA,NA,2
2010-06-30,NA,NA,2
2010-07-31,NA,NA,2
2010-08-31,NA,NA,2
2010-09-30,NA,NA,2
2010-10-31,NA,NA,2
2010-11-30,NA,NA,2
2010-12-31,NA,NA,2
2011-01-31,NA,NA,2
2011-02-28,NA,NA,2
2011-03-31,NA,NA,2
2011-04-30,NA,NA,2
2011-05-31,NA,NA,2
2011-06-30,NA,NA,2
2011-07-31,NA,NA,2
2011-08-31,NA,NA,2
2011-09-30,NA,NA,2
2011-10-31,NA,NA,2
2011-11-30,NA,NA,2
2011-12-31,NA,NA,2
2012-01-31,NA,NA,2
2012-02-28,NA,NA,2
2012-03-31,NA,NA,2
2012-04-30,2,NA,2
2012-05-31,NA,NA,2
2012-06-30,NA,NA,2
2012-07-31,NA,NA,2
2012-08-31,NA,NA,2
2012-09-30,NA,NA,2
2012-10-31,NA,NA,2
2012-11-30,NA,NA,2
2012-12-31,NA,NA,2
2013-01-31,NA,NA,2
2013-02-28,NA,NA,2
2013-03-31,NA,NA,2
2013-04-30,NA,NA,2
2013-05-31,NA,NA,2
2013-06-30,NA,NA,2
2013-07-31,NA,NA,4
2013-08-31,NA,NA,2
2013-09-30,NA,NA,2
2013-10-31,NA,NA,2
2013-11-30,NA,NA,2
2013-12-31,NA,NA,2
2014-01-31,NA,NA,2
2014-02-28,NA,NA,2
