"Date","Troops","Police","Experts"
1998-04-30,125,NA,NA
1998-05-31,125,NA,NA
1998-06-30,126,NA,NA
1998-07-31,126,NA,NA
1998-08-31,126,NA,NA
1998-09-30,126,NA,NA
1998-10-31,125,NA,NA
1998-11-30,125,NA,NA
1998-12-31,125,NA,NA
1999-01-31,125,NA,NA
1999-02-28,125,NA,NA
1999-03-31,126,NA,NA
1999-04-30,126,NA,NA
1999-05-31,126,NA,NA
1999-06-30,126,NA,NA
1999-07-31,126,NA,NA
1999-08-31,126,1,NA
1999-09-30,126,NA,NA
1999-10-31,126,NA,NA
1999-11-30,63,NA,NA
2000-05-31,NA,NA,2
2000-06-30,NA,NA,2
2000-07-31,NA,NA,2
2000-08-31,NA,NA,2
2000-09-30,NA,NA,2
2000-10-31,NA,NA,2
2000-11-30,NA,NA,2
2000-12-31,NA,NA,2
2001-01-31,NA,NA,2
2001-02-28,NA,NA,2
2001-03-31,NA,NA,2
2001-04-30,NA,NA,2
2001-05-31,NA,NA,10
2001-06-30,NA,NA,10
2001-07-31,NA,NA,11
2001-08-31,NA,NA,11
2001-09-30,NA,NA,11
2001-10-31,NA,NA,11
2001-11-30,NA,NA,11
2001-12-31,NA,NA,11
2002-01-31,NA,NA,11
2002-02-28,NA,NA,11
2002-03-31,NA,NA,11
2002-04-30,NA,NA,11
2002-05-31,NA,NA,11
2002-06-30,NA,NA,12
2002-07-31,1,2,12
2002-08-30,NA,2,12
2002-09-30,NA,2,12
2002-10-31,NA,2,12
2002-11-30,NA,2,12
2002-12-31,NA,2,12
2003-01-31,NA,2,12
2003-02-28,NA,2,12
2003-03-30,NA,2,12
2003-04-30,NA,2,11
2003-05-31,NA,2,13
2003-06-30,NA,2,12
2003-07-31,NA,2,12
2003-08-31,NA,2,12
2003-09-30,NA,2,12
2003-10-31,NA,2,12
2003-11-30,NA,2,12
2003-12-31,NA,10,13
2004-01-31,NA,10,12
2004-02-28,NA,10,12
2004-03-31,1,10,12
2004-04-30,1,10,12
2004-05-31,1,10,12
2004-06-30,3,22,19
2004-07-31,3,49,19
2004-08-31,3,49,19
2004-09-30,3,54,26
2004-10-31,3,65,26
2004-11-30,3,70,26
2004-12-31,3,70,19
2005-01-31,3,70,25
2005-02-28,3,70,24
2005-03-31,3,70,24
2005-04-30,3,70,24
2005-05-31,2,70,25
2005-06-30,1,70,25
2005-07-31,2,83,25
2005-08-31,2,83,25
2005-09-30,2,86,24
2005-10-31,2,177,24
2005-11-30,2,171,24
2005-12-31,2,169,23
2006-01-31,2,174,25
2006-02-28,2,163,25
2006-03-31,2,155,25
2006-04-30,2,153,25
2006-05-31,2,153,25
2006-06-30,2,148,24
2006-07-31,NA,130,23
2006-08-31,NA,140,25
2006-09-30,NA,165,26
2006-10-31,NA,106,25
2006-11-30,NA,106,25
2006-12-31,NA,104,19
2007-01-31,NA,122,12
2007-02-28,NA,123,11
2007-03-31,NA,121,12
2007-04-30,NA,111,13
2007-05-31,NA,109,6
2007-06-30,NA,104,11
2007-07-31,NA,97,11
2007-08-31,NA,85,15
2007-09-30,NA,66,14
2007-10-31,NA,59,16
2007-11-30,NA,79,15
2007-12-31,NA,66,15
2008-01-31,1,66,18
2008-02-28,1,66,18
2008-03-31,1,66,17
2008-04-30,NA,65,13
2008-05-31,2,72,17
2008-06-30,2,75,14
2008-07-31,3,87,7
2008-08-31,2,91,8
2008-09-30,3,65,19
2008-10-31,4,72,19
2008-11-30,4,70,19
2008-12-31,4,69,19
2009-01-31,4,76,19
2009-02-28,4,82,19
2009-03-31,4,77,19
2009-04-30,4,72,19
2009-05-31,4,132,18
2009-06-30,3,72,17
2009-07-31,10,73,19
2009-08-31,278,73,20
2009-09-30,279,69,8
2009-10-31,282,68,14
2009-11-30,283,60,16
2009-12-31,627,60,17
2010-01-31,808,71,21
2010-02-28,808,70,23
2010-03-31,808,70,23
2010-04-30,808,78,22
2010-05-31,808,71,20
2010-06-30,807,80,22
2010-07-31,807,76,22
2010-08-31,806,76,21
2010-09-30,804,102,21
2010-10-31,805,88,21
2010-11-30,803,78,20
2010-12-31,799,216,23
2011-01-31,803,215,19
2011-02-28,802,229,20
2011-03-31,800,228,20
2011-04-30,800,226,24
2011-05-31,798,236,24
2011-06-30,798,235,23
2011-07-31,798,229,17
2011-08-31,803,229,19
2011-09-30,803,241,19
2011-10-31,802,236,15
2011-11-30,801,236,15
2011-12-31,801,246,17
2012-01-31,802,242,22
2012-02-28,803,243,20
2012-03-31,802,231,20
2012-04-30,803,229,20
2012-05-31,803,234,23
2012-06-30,803,253,21
2012-07-31,803,261,20
2012-08-31,803,271,18
2012-09-30,805,290,18
2012-10-31,805,289,17
2012-11-30,806,287,15
2012-12-31,806,281,15
2013-01-31,806,281,13
2013-02-28,806,273,19
2013-03-31,804,300,18
2013-04-30,805,300,20
2013-05-31,806,289,18
2013-06-30,808,289,19
2013-07-31,1475,293,16
2013-08-31,1478,292,18
2013-09-30,1475,282,17
2013-10-31,1476,280,22
2013-11-30,1667,278,22
2013-12-31,1668,299,22
2014-01-31,1665,311,22
2014-02-28,1665,303,20
