"Date","Troops","Police","Experts"
2007-02-28,NA,13,NA
2007-03-31,NA,13,NA
2007-04-30,NA,13,NA
2007-05-31,NA,18,NA
2007-06-30,NA,18,NA
2007-07-31,NA,18,NA
2007-08-31,NA,18,NA
2007-09-30,NA,18,NA
2007-10-31,NA,18,NA
2007-11-30,NA,18,NA
2007-12-31,NA,16,NA
2008-01-31,3,16,7
2008-02-28,1,16,NA
2008-03-31,1,16,NA
2008-04-30,2,2,6
2008-05-31,2,11,6
2008-06-30,2,17,6
2008-07-31,2,6,7
2008-08-31,2,6,7
2008-09-30,2,24,7
2008-10-31,2,24,7
2008-11-30,2,24,7
2008-12-31,2,31,7
2009-01-31,2,31,7
2009-02-28,6,28,7
2009-03-31,4,28,7
2009-04-30,4,67,1
2009-05-31,2,10,1
2009-06-30,2,70,4
2009-07-31,3,70,7
2009-08-31,4,69,7
2009-09-30,4,69,7
2009-10-31,4,69,7
2009-11-30,4,67,7
2009-12-31,4,65,7
2010-01-31,4,65,7
2010-02-28,2,65,7
2010-03-31,2,66,6
2010-04-30,2,70,6
2010-05-31,2,69,3
2010-06-30,2,69,4
2010-07-31,2,65,4
2010-08-31,2,61,7
2010-09-30,2,57,7
2010-10-31,2,57,7
2010-11-30,3,83,7
2010-12-31,2,81,7
2011-01-31,2,81,7
2011-02-28,2,81,7
2011-03-31,2,81,7
2011-04-30,2,78,7
2011-05-31,2,96,7
2011-06-30,2,100,7
2011-07-31,2,100,7
2011-08-31,2,99,7
2011-09-30,4,116,2
2011-10-31,1,117,3
2011-11-30,NA,126,1
2011-12-31,NA,85,2
2012-01-31,NA,84,2
2012-02-28,NA,84,1
2012-03-31,NA,104,1
2012-04-30,NA,103,1
2012-05-31,NA,99,10
2012-06-30,NA,103,10
2012-07-31,NA,103,4
2012-08-31,NA,122,2
2012-09-30,2,118,9
2012-10-31,2,118,9
2012-11-30,2,104,9
2012-12-31,2,109,9
2013-01-31,2,114,9
2013-02-28,2,124,9
2013-03-31,2,127,10
2013-04-30,2,127,9
2013-05-31,2,114,9
2013-06-30,2,165,8
2013-07-31,2,167,8
2013-08-31,2,155,8
2013-09-30,2,140,9
2013-10-31,2,140,9
2013-11-30,2,135,9
2013-12-31,2,137,9
2014-01-31,2,135,9
2014-02-28,2,150,9
