"Date","Troops","Police","Experts"
2005-05-31,NA,NA,2
2005-06-30,NA,NA,5
2005-07-31,NA,NA,5
2005-08-31,NA,NA,5
2005-09-30,NA,NA,4
2005-10-31,NA,NA,4
2005-11-30,NA,NA,4
2005-12-31,NA,NA,4
2006-01-31,NA,NA,14
2006-02-28,10,NA,14
2006-03-31,27,NA,13
2006-04-30,136,NA,13
2006-05-31,136,NA,13
2006-06-30,136,NA,15
2006-07-31,136,NA,15
2006-08-31,136,NA,15
2006-09-30,136,NA,15
2006-10-31,135,NA,14
2006-11-30,136,NA,15
2006-12-31,136,NA,15
2007-01-31,136,NA,10
2007-02-28,136,NA,10
2007-03-31,136,NA,10
2007-04-30,135,NA,10
2007-05-31,136,NA,10
2007-06-30,136,NA,8
2007-07-31,136,NA,10
2007-08-31,136,NA,10
2007-09-30,136,NA,10
2007-10-31,136,NA,10
2007-11-30,136,NA,10
2007-12-31,136,NA,10
2008-01-31,136,NA,8
2008-02-28,136,NA,10
2008-03-31,135,NA,10
2008-04-30,136,NA,10
2008-05-31,136,NA,8
2008-06-30,136,NA,9
2008-07-31,136,NA,8
2008-08-31,136,NA,8
2008-09-30,136,NA,7
2008-10-31,136,NA,7
2008-11-30,136,NA,9
2008-12-31,136,NA,9
2009-01-31,136,NA,9
2009-02-28,136,NA,7
2009-03-31,136,NA,7
2009-04-30,136,NA,7
2009-05-31,136,NA,7
2009-06-30,53,NA,5
2009-07-31,53,NA,5
2009-08-31,53,NA,5
2009-09-30,53,NA,5
2009-10-31,53,NA,5
2009-11-30,94,NA,5
2009-12-31,93,NA,5
2010-01-31,91,NA,4
2010-02-28,91,NA,4
2010-03-31,91,NA,4
2010-04-30,90,NA,4
2010-05-31,90,27,2
2010-06-30,50,NA,4
2010-07-31,50,NA,3
2010-08-31,52,NA,3
2010-09-30,52,NA,3
2010-10-31,52,NA,5
2010-11-30,270,NA,5
2010-12-31,269,NA,4
2011-01-31,269,NA,5
2011-02-28,269,NA,5
2011-03-31,269,NA,6
2011-04-30,269,NA,6
2011-05-31,270,NA,6
2011-06-30,270,NA,4
2011-07-31,269,NA,NA
2011-08-31,267,NA,4
2011-09-30,218,NA,2
2011-10-31,217,NA,2
2011-11-30,220,NA,2
2011-12-31,220,NA,2
2012-01-31,220,NA,1
2012-02-28,220,NA,2
2012-03-31,220,NA,1
2012-04-30,363,NA,1
2012-05-31,363,NA,3
2012-06-30,363,NA,4
2012-07-31,363,NA,4
2012-08-31,363,NA,3
2012-09-30,361,NA,4
2012-10-31,362,NA,4
2012-11-30,382,NA,4
2012-12-31,364,NA,4
2013-01-31,364,NA,4
2013-02-28,364,NA,6
2013-03-31,364,NA,6
2013-04-30,363,NA,6
2013-05-31,363,NA,6
2013-06-30,364,NA,9
2013-07-31,364,NA,9
2013-08-31,368,NA,9
2013-09-30,368,NA,8
2013-10-31,367,NA,7
2013-11-30,367,NA,8
2013-12-31,333,NA,8
2014-01-31,333,NA,9
2014-02-28,410,NA,9
