"Date","Troops","Police","Experts"
1992-08-31,783,115,31
1992-09-30,NA,150,31
1992-10-31,762,150,31
1992-11-30,722,150,34
1992-12-31,729,150,34
1993-01-31,75,NA,14
1993-02-28,74,NA,14
1993-03-31,74,NA,14
1993-04-30,74,NA,14
1993-05-31,73,NA,14
1993-06-30,71,NA,14
1993-07-31,71,NA,14
1993-08-31,3,NA,14
1993-09-30,NA,NA,10
1993-10-31,NA,2,2
1999-03-31,126,1,NA
1999-04-30,126,1,NA
1999-05-31,NA,1,NA
1999-06-30,NA,1,NA
1999-07-31,NA,1,NA
1999-08-31,NA,1,NA
1999-09-30,126,1,NA
1999-10-31,126,1,NA
1999-11-30,126,1,NA
1999-12-31,NA,1,NA
2000-01-31,NA,1,NA
2000-02-28,NA,1,NA
2000-03-31,NA,1,NA
2000-04-30,NA,1,1
2000-05-31,NA,1,1
2000-06-30,NA,1,1
2000-07-31,NA,1,1
2000-08-31,NA,1,1
2000-12-31,NA,24,NA
2001-01-31,NA,23,2
2001-02-28,NA,23,2
2001-03-31,NA,23,NA
2001-04-30,NA,22,NA
2001-05-31,NA,22,NA
2001-06-30,NA,22,NA
2001-07-31,1,22,11
2001-08-31,NA,22,NA
2001-09-30,1,21,11
2001-10-31,1,21,11
2001-11-30,1,21,11
2001-12-31,1,21,11
2002-01-31,1,21,11
2002-02-28,1,22,11
2002-03-31,1,21,11
2002-04-30,1,20,11
2002-05-31,1,20,11
2002-06-30,1,20,12
2002-07-31,1,22,12
2002-08-30,1,20,NA
2002-09-30,1,20,NA
2002-10-31,1,20,NA
2002-11-30,1,20,NA
2002-12-31,2,1,NA
2003-01-31,2,1,NA
2003-02-28,2,1,NA
2003-03-30,2,1,NA
2003-04-30,2,22,NA
2003-05-31,2,26,NA
2003-06-30,2,25,2
2003-07-31,1,24,2
2003-08-31,1,24,2
2003-09-30,1,24,2
2003-10-31,1,24,2
2003-11-30,1,24,2
2003-12-31,1,24,2
2004-01-31,1,24,2
2004-02-28,1,24,2
2004-03-31,1,24,2
2004-04-30,1,25,4
2004-05-31,1,25,4
2004-06-30,1,25,4
2004-07-31,NA,93,4
2004-08-31,NA,93,4
2004-09-30,1,118,4
2004-10-31,1,118,4
2004-11-30,1,116,4
2004-12-31,1,116,4
2005-01-31,1,116,4
2005-02-28,1,116,4
2005-03-31,1,116,4
2005-04-30,1,107,4
2005-05-31,1,107,4
2005-06-30,1,107,4
2005-07-31,1,115,3
2005-08-31,1,115,3
2005-09-30,1,118,3
2005-10-31,NA,137,4
2005-11-30,NA,136,4
2005-12-31,NA,135,4
2006-01-31,NA,134,5
2006-02-28,NA,134,5
2006-03-31,NA,122,5
2006-04-30,NA,126,5
2006-05-31,NA,126,5
2006-06-30,NA,139,5
2006-07-31,NA,116,4
2006-08-31,NA,127,2
2006-09-30,NA,148,3
2006-10-31,NA,160,2
2006-11-30,NA,152,1
2006-12-31,NA,150,NA
2007-01-31,NA,139,NA
2007-02-28,NA,131,NA
2007-03-31,NA,165,NA
2007-04-30,NA,165,NA
2007-05-31,NA,158,5
2007-06-30,NA,156,5
2007-07-31,NA,151,5
2007-08-31,NA,140,5
2007-09-30,NA,136,5
2007-10-31,NA,115,5
2007-11-30,NA,115,5
2007-12-31,NA,203,5
2008-01-31,6,203,20
2008-02-28,7,206,28
2008-03-31,16,212,19
2008-04-30,15,210,19
2008-05-31,9,212,11
2008-06-30,9,211,11
2008-07-31,9,200,11
2008-08-31,3,182,8
2008-09-30,NA,164,NA
2008-10-31,NA,161,NA
2008-11-30,NA,160,NA
2008-12-31,NA,147,NA
2009-01-31,NA,154,1
2009-02-28,NA,158,8
2009-03-31,NA,142,9
2009-04-30,NA,156,10
2009-05-31,NA,114,10
2009-06-30,NA,109,10
2009-07-31,NA,111,10
2009-08-31,NA,155,10
2009-09-30,NA,167,10
2009-10-31,NA,137,10
2009-11-30,NA,133,10
2009-12-31,NA,145,9
2010-01-31,NA,145,9
2010-02-28,NA,141,8
2010-03-31,NA,131,5
2010-04-30,NA,131,8
2010-05-31,NA,129,8
2010-06-30,NA,125,8
2010-07-31,NA,123,8
2010-08-31,NA,123,8
2010-09-30,NA,107,8
2010-10-31,NA,110,8
2010-11-30,NA,108,8
2010-12-31,NA,110,8
2011-01-31,NA,115,8
2011-02-28,NA,117,7
2011-03-31,NA,104,6
2011-04-30,NA,109,3
2011-05-31,NA,101,3
2011-06-30,NA,102,3
2011-07-31,NA,112,8
2011-08-31,NA,112,8
2011-09-30,NA,103,8
2011-10-31,NA,106,8
2011-11-30,NA,105,8
2011-12-31,NA,116,8
2012-01-31,NA,103,8
2012-02-28,NA,104,8
2012-03-31,NA,107,8
2012-04-30,NA,108,7
2012-05-31,NA,114,6
2012-06-30,NA,113,5
2012-07-31,NA,120,5
2012-08-31,NA,145,5
2012-09-30,NA,145,5
2012-10-31,NA,144,5
2012-11-30,NA,143,5
2012-12-31,NA,101,5
2013-01-31,NA,89,NA
2013-02-28,NA,85,NA
2013-03-31,NA,91,NA
2013-04-30,NA,96,5
2013-05-31,NA,102,5
2013-06-30,NA,98,5
2013-07-31,NA,98,5
2013-08-31,NA,97,5
2013-09-30,NA,98,5
2013-10-31,NA,96,5
2013-11-30,NA,103,5
2013-12-31,NA,104,5
2014-01-31,NA,102,5
2014-02-28,NA,101,5
