"Date","Troops","Police","Experts"
1990-11-30,1002,NA,NA
1990-12-31,1002,NA,NA
1991-01-31,1002,NA,NA
1991-02-28,1002,NA,NA
1991-03-31,850,NA,NA
1991-04-30,1141,NA,NA
1991-05-31,1140,NA,NA
1991-06-30,1147,NA,NA
1991-07-31,1151,NA,NA
1991-08-31,1149,NA,NA
1991-09-30,1176,NA,NA
1991-10-31,978,NA,NA
1991-11-30,976,NA,NA
1991-12-31,956,NA,NA
1992-01-31,1024,NA,NA
1992-02-29,814,NA,NA
1992-03-31,1043,NA,NA
1992-04-30,2122,NA,NA
1992-05-31,2122,NA,NA
1992-06-30,2122,NA,NA
1992-07-31,2122,NA,NA
1992-08-31,2212,30,70
1992-09-30,2179,30,69
1992-10-31,2169,45,69
1992-11-30,3102,45,68
1992-12-31,3172,45,68
1993-01-31,3220,45,68
1993-02-28,3171,45,64
1993-03-31,3155,45,65
1993-04-30,3222,45,69
1993-05-31,3093,45,67
1993-06-30,2829,45,65
1993-07-31,2699,45,62
1993-08-31,2495,45,65
1993-09-30,2393,45,64
1993-10-31,2412,45,65
1993-11-30,2190,44,65
1993-12-31,1976,46,66
1994-01-31,2178,46,67
1994-02-28,2205,46,66
1994-03-31,2199,46,67
1994-04-30,2194,45,66
1994-05-31,2294,45,67
1994-06-30,2272,46,60
1994-07-31,2587,46,47
1994-08-31,2640,46,59
1994-09-30,2608,45,59
1994-10-31,2623,58,58
1994-11-30,2692,58,58
1994-12-31,2688,65,58
1995-01-31,2463,68,54
1995-02-28,2439,136,54
1995-03-31,2899,145,54
1995-04-30,2847,145,53
1995-05-31,2879,103,51
1995-06-30,2860,103,54
1995-07-31,2885,99,53
1995-08-31,2870,87,42
1995-09-30,2133,97,41
1995-10-31,2067,96,41
1995-11-30,1270,95,41
1995-12-31,1029,93,41
1996-01-31,831,93,32
1996-02-29,612,93,19
1996-03-31,626,50,19
1996-04-30,953,98,19
1996-05-31,944,98,19
1996-06-30,939,79,19
1996-07-31,912,103,19
1996-08-31,858,103,18
1996-09-30,915,101,18
1996-10-31,939,101,18
1996-11-30,944,98,18
1996-12-31,928,98,18
1997-01-31,936,106,18
1997-02-28,945,106,33
1997-03-31,928,106,33
1997-04-30,943,107,33
1997-05-31,953,119,18
1997-06-30,946,77,18
1997-07-31,934,75,18
1997-08-31,824,73,17
1997-09-30,781,73,17
1997-10-31,815,79,17
1997-11-30,841,31,17
1997-12-31,189,48,17
1998-01-31,189,48,17
1998-02-28,190,59,16
1998-03-31,190,59,17
1998-04-30,345,59,17
1998-05-31,352,59,17
1998-06-30,344,59,18
1998-07-31,343,58,18
1998-08-31,342,55,18
1998-09-30,345,64,18
1998-10-31,343,60,18
1998-11-30,350,54,18
1998-12-31,350,54,18
1999-01-31,343,55,18
1999-02-28,240,60,18
1999-03-31,238,50,17
1999-04-30,215,53,17
1999-05-31,368,54,17
1999-06-30,345,54,12
1999-07-31,349,56,17
1999-08-31,259,93,16
1999-09-30,248,109,19
1999-10-31,216,109,19
1999-11-30,216,109,19
1999-12-31,193,138,23
2000-01-31,192,138,26
2000-02-28,356,148,25
2000-03-31,189,126,26
2000-04-30,195,126,26
2000-05-31,187,118,26
2000-06-30,196,129,27
2000-07-31,191,131,27
2000-08-31,196,115,29
2000-09-30,189,116,27
2000-10-31,189,114,27
2000-11-30,245,123,33
2000-12-31,425,112,31
2001-01-31,436,105,30
2001-02-28,436,105,30
2001-03-31,429,96,31
2001-04-30,431,94,31
2001-05-31,417,102,30
2001-06-30,198,101,29
2001-07-31,196,99,28
2001-08-31,202,99,27
2001-09-30,193,100,24
2001-10-31,193,93,24
2001-11-30,205,86,23
2001-12-31,191,85,19
2002-01-31,190,95,20
2002-02-28,197,78,20
2002-03-31,197,66,21
2002-04-30,194,68,19
2002-05-31,196,48,18
2002-06-30,202,47,18
2002-07-31,200,49,18
2002-08-30,208,49,18
2002-09-30,199,49,18
2002-10-31,198,43,18
2002-11-30,198,43,19
2002-12-31,198,45,20
2003-01-31,198,44,20
2003-02-28,199,44,19
2003-03-30,199,49,20
2003-04-30,199,43,20
2003-05-31,199,43,20
2003-06-30,199,42,14
2003-07-31,198,38,14
2003-08-31,197,26,14
2003-09-30,197,28,14
2003-10-31,197,28,14
2003-11-30,198,27,14
2003-12-31,192,27,14
2004-01-31,193,24,14
2004-02-28,204,27,14
2004-03-31,204,17,14
2004-04-30,195,18,14
2004-05-31,205,19,6
2004-06-30,694,18,14
2004-07-31,504,45,15
2004-08-31,205,45,15
2004-09-30,196,73,15
2004-10-31,195,113,15
2004-11-30,207,109,14
2004-12-31,196,106,12
2005-01-31,196,106,12
2005-02-28,205,109,13
2005-03-31,205,109,13
2005-04-30,200,109,11
2005-05-31,202,108,12
2005-06-30,207,108,10
2005-07-31,208,91,NA
2005-08-31,213,91,NA
2005-09-30,207,112,5
2005-10-31,198,132,31
2005-11-30,212,134,28
2005-12-31,211,136,40
2006-01-31,198,129,43
2006-02-28,198,111,43
2006-03-31,18,110,41
2006-04-30,19,101,38
2006-05-31,17,76,34
2006-06-30,15,78,40
2006-07-31,20,77,35
2006-08-31,14,70,42
2006-09-30,13,69,42
2006-10-31,13,70,41
2006-11-30,17,84,41
2006-12-31,15,85,32
2007-01-31,15,85,41
2007-02-28,14,86,41
2007-03-31,14,85,40
2007-04-30,14,74,41
2007-05-31,15,76,40
2007-06-30,15,77,40
2007-07-31,15,70,40
2007-08-31,16,74,38
2007-09-30,16,75,40
2007-10-31,15,101,41
2007-11-30,15,107,42
2007-12-31,15,92,42
2008-01-31,20,109,39
2008-02-28,22,107,42
2008-03-31,22,104,43
2008-04-30,21,107,43
2008-05-31,18,108,42
2008-06-30,19,106,43
2008-07-31,16,112,39
2008-08-31,20,105,43
2008-09-30,21,96,43
2008-10-31,21,115,41
2008-11-30,19,112,44
2008-12-31,24,112,43
2009-01-31,25,112,42
2009-02-28,24,107,40
2009-03-31,24,127,41
2009-04-30,25,119,40
2009-05-31,22,121,40
2009-06-30,15,121,40
2009-07-31,16,127,39
2009-08-31,16,124,37
2009-09-30,16,123,39
2009-10-31,16,124,39
2009-11-30,17,120,39
2009-12-31,16,115,39
2010-01-31,17,86,39
2010-02-28,16,106,38
2010-03-31,26,106,36
2010-04-30,24,99,37
2010-05-31,25,126,35
2010-06-30,26,152,37
2010-07-31,24,125,37
2010-08-31,24,157,40
2010-09-30,23,139,38
2010-10-31,22,141,37
2010-11-30,21,139,37
2010-12-31,21,142,35
2011-01-31,24,161,39
2011-02-28,22,158,40
2011-03-31,23,159,39
2011-04-30,20,155,38
2011-05-31,21,154,38
2011-06-30,21,153,36
2011-07-31,14,142,16
2011-08-31,17,150,24
2011-09-30,22,155,20
2011-10-31,16,163,19
2011-11-30,15,156,17
2011-12-31,17,152,21
2012-01-31,18,160,21
2012-02-28,18,157,20
2012-03-31,17,130,21
2012-04-30,14,130,19
2012-05-31,15,119,24
2012-06-30,14,118,21
2012-07-31,15,116,22
2012-08-31,14,116,22
2012-09-30,11,116,21
2012-10-31,11,119,19
2012-11-30,11,119,19
2012-12-31,11,119,20
2013-01-31,11,99,20
2013-02-28,20,100,12
2013-03-31,20,100,12
2013-04-30,19,99,12
2013-05-31,19,92,12
2013-06-30,56,92,12
2013-07-31,53,92,12
2013-08-31,53,93,12
2013-09-30,53,91,13
