"Date","Troops","Police","Experts"
1993-02-28,NA,NA,10
1993-03-31,NA,NA,10
1993-04-30,NA,NA,15
1993-05-31,NA,NA,15
1993-06-30,NA,NA,15
1993-07-31,NA,NA,15
1993-08-31,NA,NA,15
1993-09-30,NA,NA,15
1993-10-31,NA,NA,15
1993-11-30,NA,NA,15
1993-12-31,NA,NA,18
1994-01-31,NA,NA,18
1994-02-28,NA,NA,18
1994-03-31,NA,NA,18
1994-04-30,NA,NA,18
1994-05-31,NA,NA,18
1994-06-30,NA,NA,18
1994-07-31,NA,NA,18
1994-08-31,NA,NA,18
1994-09-30,NA,NA,16
1994-10-31,NA,NA,14
1994-11-30,NA,NA,10
1994-12-31,NA,NA,10
2000-02-28,NA,2,NA
2000-03-31,NA,2,NA
2000-04-30,NA,2,NA
2000-05-31,NA,2,NA
2000-06-30,NA,2,NA
2000-07-31,NA,2,NA
2000-08-31,NA,2,NA
2000-09-30,NA,2,NA
2000-10-31,NA,2,NA
2000-11-30,NA,2,NA
2000-12-31,NA,2,NA
2001-01-31,NA,2,NA
2001-02-28,NA,2,NA
2001-03-31,NA,2,NA
2001-04-30,NA,2,NA
2001-05-31,NA,2,NA
2001-06-30,NA,2,NA
2001-07-31,NA,2,NA
2001-08-31,NA,2,NA
2001-09-30,NA,2,NA
