"Date","Troops","Police","Experts"
2005-07-31,NA,11,NA
2005-08-31,NA,11,NA
2005-09-30,NA,11,NA
2005-10-31,NA,11,NA
2005-11-30,NA,11,NA
2005-12-31,NA,11,NA
2006-01-31,NA,11,NA
2006-02-28,NA,11,NA
2006-03-31,NA,11,NA
2006-04-30,NA,11,NA
2006-05-31,NA,11,NA
2006-06-30,NA,11,NA
2006-07-31,NA,10,NA
2006-08-31,NA,14,NA
2006-09-30,NA,14,NA
2006-10-31,NA,14,NA
2006-11-30,NA,14,NA
2006-12-31,NA,14,NA
2007-01-31,NA,14,NA
2007-02-28,NA,14,NA
2007-03-31,NA,16,NA
2007-04-30,NA,14,NA
2007-05-31,NA,14,NA
2007-06-30,NA,11,NA
2007-07-31,NA,4,NA
2007-08-31,NA,5,NA
2007-09-30,NA,5,NA
2007-10-31,NA,12,NA
2007-11-30,NA,5,NA
2007-12-31,NA,9,NA
2008-01-31,NA,9,NA
2008-02-28,NA,9,NA
2008-03-31,NA,9,NA
2008-04-30,NA,9,NA
2008-05-31,NA,9,NA
2008-06-30,NA,9,NA
2008-07-31,NA,8,NA
2008-08-31,NA,18,NA
2008-09-30,NA,27,NA
2008-10-31,NA,27,NA
2008-11-30,NA,27,NA
2008-12-31,NA,27,NA
2009-01-31,NA,27,NA
2009-02-28,NA,28,NA
2009-03-31,NA,28,NA
2009-04-30,NA,28,NA
2009-05-31,NA,27,NA
2009-06-30,NA,26,NA
2009-07-31,NA,25,NA
2009-08-31,NA,23,NA
2009-09-30,NA,23,NA
2009-10-31,NA,16,NA
2009-11-30,NA,17,NA
2009-12-31,NA,17,NA
2010-01-31,NA,17,NA
2010-02-28,NA,19,NA
2010-03-31,NA,18,NA
2010-04-30,NA,18,NA
2010-05-31,NA,23,NA
2010-06-30,NA,34,NA
2010-07-31,NA,38,NA
2010-08-31,NA,28,NA
2010-09-30,NA,26,NA
2010-10-31,NA,37,NA
2010-11-30,NA,40,NA
2010-12-31,NA,45,NA
2011-01-31,NA,45,NA
2011-02-28,NA,47,NA
2011-03-31,NA,46,NA
2011-04-30,NA,49,NA
2011-05-31,NA,49,NA
2011-06-30,NA,48,NA
2011-07-31,NA,47,NA
2011-08-31,NA,46,NA
2011-09-30,NA,46,NA
2011-10-31,NA,42,NA
2011-11-30,NA,41,NA
2011-12-31,NA,40,NA
2012-01-31,NA,41,NA
2012-02-28,NA,39,NA
2012-03-31,NA,38,NA
2012-04-30,NA,38,NA
2012-05-31,NA,34,NA
2012-06-30,NA,25,NA
2012-07-31,NA,22,NA
2012-08-31,NA,22,NA
2012-09-30,NA,22,NA
2012-10-31,NA,17,NA
2012-11-30,NA,19,NA
2012-12-31,NA,21,NA
2013-01-31,NA,21,NA
2013-02-28,NA,18,NA
2013-03-31,NA,18,NA
2013-04-30,NA,18,NA
2013-05-31,NA,18,NA
2013-06-30,NA,18,NA
2013-07-31,NA,17,NA
2013-08-31,NA,17,NA
2013-09-30,NA,17,NA
2013-10-31,NA,13,NA
2013-11-30,NA,13,NA
2013-12-31,NA,13,NA
2014-01-31,NA,13,NA
2014-02-28,NA,13,NA
