"Date","Troops","Police","Experts"
1994-09-30,NA,NA,130
1994-10-31,NA,NA,131
1994-11-30,NA,NA,132
1994-12-31,NA,NA,132
1995-01-31,NA,NA,131
1995-02-28,NA,NA,131
1995-03-31,2,NA,NA
1995-04-30,2,NA,NA
1995-05-31,2,5,1
1995-06-30,2,6,NA
1995-07-31,2,5,NA
1995-08-31,2,5,NA
1995-09-30,2,5,NA
1995-10-31,NA,5,NA
1995-11-30,NA,5,NA
1995-12-31,NA,5,NA
1998-04-30,124,NA,NA
1998-05-31,125,NA,NA
1998-06-30,126,NA,NA
1998-07-31,126,NA,NA
1998-08-31,125,NA,NA
1998-09-30,125,NA,NA
1998-10-31,127,NA,NA
1998-11-30,127,NA,NA
1998-12-31,127,NA,NA
1999-01-31,126,NA,NA
1999-02-28,126,NA,NA
1999-03-31,126,NA,NA
1999-04-30,124,NA,NA
1999-05-31,124,NA,NA
1999-06-30,126,NA,NA
1999-07-31,126,NA,NA
1999-08-31,126,NA,NA
1999-09-30,126,NA,NA
1999-10-31,126,NA,NA
1999-11-30,126,NA,NA
1999-12-31,120,NA,NA
2004-04-30,NA,NA,3
2004-05-31,NA,1,3
2004-06-30,NA,1,3
2004-07-31,NA,1,3
2004-08-31,NA,1,10
2004-09-30,NA,12,8
2004-10-31,NA,30,11
2004-11-30,NA,30,11
2004-12-31,NA,30,11
2005-01-31,NA,30,11
2005-02-28,NA,29,11
2005-03-31,NA,29,11
2005-04-30,NA,29,8
2005-05-31,NA,29,11
2005-06-30,NA,29,11
2005-07-31,NA,30,11
2005-08-31,NA,30,4
2005-09-30,NA,30,4
2005-10-31,NA,34,12
2005-11-30,NA,34,12
2005-12-31,NA,34,12
2006-01-31,NA,34,12
2006-02-28,NA,36,12
2006-03-31,NA,33,11
2006-04-30,NA,32,11
2006-05-31,NA,31,8
2006-06-30,NA,31,8
2006-07-31,NA,31,11
2006-08-31,NA,31,11
2006-09-30,NA,27,11
2006-10-31,NA,15,11
2006-11-30,NA,15,11
2006-12-31,NA,15,3
2007-01-31,NA,15,3
2007-02-28,NA,20,3
2007-03-31,NA,20,3
2007-04-30,NA,18,3
2007-05-31,NA,16,3
2007-06-30,NA,15,3
2007-07-31,NA,12,3
2007-08-31,NA,10,3
2007-09-30,NA,10,3
2007-10-31,NA,10,3
2007-11-30,NA,12,3
2007-12-31,NA,8,3
2008-01-31,NA,8,4
2008-02-28,NA,8,3
2008-03-31,NA,8,4
2008-04-30,NA,7,4
2008-05-31,NA,7,4
2008-06-30,NA,8,3
2008-07-31,NA,8,3
2008-08-31,NA,23,3
2008-09-30,NA,25,2
2008-10-31,NA,24,2
2008-11-30,NA,26,2
2008-12-31,NA,26,3
2009-01-31,NA,49,2
2009-02-28,NA,40,2
2009-03-31,NA,43,3
2009-04-30,NA,48,3
2009-05-31,NA,48,3
2009-06-30,NA,47,3
2009-07-31,NA,53,3
2009-08-31,1,56,3
2009-09-30,1,56,1
2009-10-31,1,56,2
2009-11-30,1,54,3
2009-12-31,1,56,3
2010-01-31,1,55,3
2010-02-28,1,61,3
2010-03-31,1,68,3
2010-04-30,1,74,3
2010-05-31,1,79,3
2010-06-30,1,78,3
2010-07-31,1,74,3
2010-08-31,1,74,3
2010-09-30,1,74,3
2010-10-31,1,71,3
2010-11-30,1,69,3
2010-12-31,1,80,3
2011-01-31,1,64,3
2011-02-28,1,64,2
2011-03-31,1,67,3
2011-04-30,1,66,3
2011-05-31,1,58,3
2011-06-30,1,58,3
2011-07-31,1,66,3
2011-08-31,1,61,3
2011-09-30,1,66,3
2011-10-31,1,70,3
2011-11-30,1,70,3
2011-12-31,1,68,3
2012-01-31,1,68,3
2012-02-28,1,57,3
2012-03-31,1,58,4
2012-04-30,1,54,4
2012-05-31,1,54,11
2012-06-30,1,54,11
2012-07-31,1,51,6
2012-08-31,1,48,3
2012-09-30,1,50,4
2012-10-31,1,61,4
2012-11-30,1,61,4
2012-12-31,1,63,4
2013-01-31,1,64,4
2013-02-28,1,62,4
2013-03-31,1,54,4
2013-04-30,1,53,4
2013-05-31,1,52,4
2013-06-30,1,51,4
2013-07-31,1247,52,4
2013-08-31,1249,52,4
2013-09-30,1236,53,3
2013-10-31,1009,51,3
2013-11-30,1114,55,2
2013-12-31,1118,56,2
2014-01-31,1134,63,2
2014-02-28,1143,63,3
