"Date","Troops","Police","Experts"
1990-11-30,5,NA,NA
1990-12-31,5,NA,NA
1991-01-31,5,NA,NA
1991-02-28,5,NA,NA
1991-03-31,5,NA,NA
1991-04-30,21,NA,NA
1991-05-31,25,NA,NA
1991-06-30,25,NA,NA
1991-07-31,25,NA,NA
1991-08-31,25,NA,NA
1991-09-30,45,NA,NA
1991-10-31,43,NA,NA
1991-11-30,47,NA,NA
1991-12-31,44,NA,NA
1992-01-31,48,NA,NA
1992-02-29,48,NA,NA
1992-03-31,76,NA,NA
1992-04-30,458,NA,NA
1992-05-31,458,NA,NA
1992-06-30,458,NA,NA
1992-07-31,458,NA,NA
1992-08-31,NA,401,85
1992-09-30,401,NA,87
1992-10-31,401,NA,87
1992-11-30,401,NA,87
1992-12-31,401,NA,87
1993-01-31,401,NA,87
1993-02-28,401,NA,86
1993-03-31,402,NA,96
1993-04-30,402,NA,85
1993-05-31,402,NA,84
1993-06-30,400,NA,86
1993-07-31,400,NA,96
1993-08-31,400,NA,91
1993-09-30,5,NA,78
1993-10-31,2,NA,57
1993-11-30,NA,NA,65
1993-12-31,NA,NA,65
1994-01-31,NA,NA,65
1994-02-28,NA,NA,65
1994-03-31,NA,NA,64
1994-04-30,NA,NA,63
1994-05-31,NA,NA,61
1994-06-30,NA,NA,63
1994-07-31,NA,NA,65
1994-08-31,NA,NA,65
1994-09-30,NA,NA,65
1994-10-31,NA,NA,59
1994-11-30,NA,NA,60
1994-12-31,NA,NA,60
1995-01-31,NA,NA,45
1995-02-28,NA,NA,45
1995-03-31,NA,NA,44
1995-04-30,NA,NA,44
1995-05-31,NA,NA,44
1995-06-30,NA,NA,44
1995-07-31,NA,NA,44
1995-08-31,NA,NA,44
1995-09-30,NA,NA,45
1995-10-31,NA,NA,45
1995-11-30,NA,NA,45
1995-12-31,NA,NA,45
1996-01-31,NA,NA,47
1996-02-29,NA,NA,47
1996-03-31,NA,NA,50
1996-04-30,NA,NA,43
1996-05-31,NA,NA,40
1996-06-30,NA,NA,36
1996-07-31,NA,NA,36
1996-08-31,NA,NA,34
1996-09-30,NA,NA,34
1996-10-31,NA,NA,34
1996-11-30,NA,NA,35
1996-12-31,NA,NA,38
1997-01-31,NA,NA,37
1997-02-28,NA,NA,37
1997-03-31,NA,NA,43
1997-04-30,NA,NA,39
1997-05-31,NA,NA,39
1997-06-30,NA,NA,39
1997-07-31,NA,NA,38
1997-08-31,NA,NA,32
1997-09-30,NA,NA,32
1997-10-31,NA,NA,32
1997-11-30,NA,NA,32
1997-12-31,NA,NA,32
1998-01-31,NA,NA,32
1998-02-28,NA,NA,32
1998-03-31,NA,NA,32
1998-04-30,NA,NA,32
1998-05-31,NA,NA,33
1998-06-30,NA,NA,32
1998-07-31,NA,NA,32
1998-08-31,NA,NA,32
1998-09-30,NA,NA,32
1998-10-31,NA,NA,35
1998-11-30,NA,NA,35
1998-12-31,NA,NA,35
1999-01-31,NA,NA,32
1999-02-28,NA,NA,32
1999-03-31,NA,NA,32
1999-04-30,NA,29,33
1999-05-31,NA,NA,32
1999-06-30,NA,NA,22
1999-07-31,NA,NA,34
1999-08-31,NA,NA,34
1999-09-30,NA,NA,36
1999-10-31,NA,NA,37
1999-11-30,NA,NA,37
1999-12-31,NA,NA,37
2000-01-31,NA,15,37
2000-02-28,NA,15,37
2000-03-31,NA,15,38
2000-04-30,NA,15,37
2000-05-31,NA,15,37
2000-06-30,NA,15,38
2000-07-31,NA,15,37
2000-08-31,NA,15,38
2000-09-30,NA,55,40
2000-10-31,NA,55,41
2000-11-30,NA,55,43
2000-12-31,NA,55,43
2001-01-31,NA,60,43
2001-02-28,NA,60,43
2001-03-31,NA,55,41
2001-04-30,NA,55,46
2001-05-31,NA,60,52
2001-06-30,NA,60,53
2001-07-31,NA,60,51
2001-08-31,NA,59,52
2001-09-30,NA,59,52
2001-10-31,NA,75,52
2001-11-30,1,75,53
2001-12-31,1,75,53
2002-01-31,1,61,51
2002-02-28,1,65,51
2002-03-31,1,65,51
2002-04-30,1,59,50
