"Date","Troops","Police","Experts"
1990-11-30,12,NA,NA
1990-12-31,12,NA,NA
1991-01-31,12,NA,NA
1991-02-28,12,NA,NA
1991-03-31,8,NA,NA
1991-04-30,8,NA,NA
1991-05-31,8,NA,NA
1991-06-30,7,NA,NA
1991-07-31,7,NA,NA
1991-08-31,7,NA,NA
1991-09-30,7,NA,NA
1991-10-31,7,NA,NA
1991-11-30,8,NA,NA
1991-12-31,8,NA,NA
1992-01-31,16,NA,NA
1992-02-29,8,NA,NA
1992-03-31,8,NA,NA
1992-04-30,12,14,NA
1992-05-31,12,14,NA
1992-06-30,12,14,NA
1992-07-31,12,14,NA
1992-08-31,NA,131,12
1992-09-30,NA,206,12
1992-10-31,NA,198,12
1992-11-30,NA,199,10
1992-12-31,NA,199,9
1993-01-31,NA,196,9
1993-02-28,NA,194,9
1993-03-31,NA,194,9
1993-04-30,NA,192,9
1993-05-31,NA,204,9
1993-06-30,NA,203,6
1993-07-31,NA,203,6
1993-08-31,NA,59,6
1993-09-30,NA,58,6
1993-10-31,NA,58,6
1993-11-30,NA,57,6
1993-12-31,NA,57,5
1994-01-31,NA,57,5
1994-02-28,NA,57,5
1994-03-31,NA,57,5
1994-04-30,NA,57,4
1994-05-31,NA,50,4
1994-06-30,NA,40,2
1994-07-31,NA,39,2
1994-08-31,NA,39,2
1994-09-30,NA,33,2
1994-10-31,NA,33,2
1994-11-30,NA,14,NA
1994-12-31,NA,14,NA
1995-01-31,NA,14,NA
1995-02-28,NA,14,NA
1995-03-31,NA,14,NA
1995-04-30,NA,14,NA
1997-01-31,NA,3,NA
1997-02-28,NA,3,NA
1997-03-31,NA,3,NA
1997-04-30,NA,3,NA
1999-08-31,NA,3,NA
1999-09-30,NA,3,NA
1999-10-31,NA,3,NA
1999-11-30,NA,3,NA
2000-01-31,NA,3,NA
2000-02-28,NA,3,NA
2000-03-31,NA,2,NA
2000-04-30,NA,2,NA
2000-05-31,NA,3,NA
2000-06-30,NA,3,NA
2000-07-31,NA,3,NA
2000-08-31,NA,3,NA
2000-09-30,NA,3,NA
2000-10-31,NA,3,NA
2000-11-30,NA,3,NA
2000-12-31,NA,1,NA
2001-01-31,NA,1,NA
2001-02-28,NA,1,NA
2001-03-31,NA,1,NA
2001-04-30,NA,1,NA
2001-05-31,NA,1,NA
2001-06-30,NA,1,NA
2006-09-30,NA,2,NA
2006-10-31,NA,2,NA
2006-11-30,NA,2,NA
2006-12-31,NA,2,NA
2007-01-31,NA,2,NA
2007-02-28,NA,2,NA
2007-03-31,NA,2,NA
2007-04-30,NA,2,NA
2007-05-31,NA,2,NA
2007-06-30,NA,2,NA
2007-07-31,NA,2,NA
2007-08-31,NA,2,NA
2007-09-30,NA,2,NA
2007-10-31,NA,2,NA
2007-11-30,NA,2,NA
2007-12-31,NA,2,NA
2008-01-31,NA,2,NA
2008-02-28,NA,2,NA
2008-03-31,NA,2,NA
2008-04-30,NA,2,NA
2008-05-31,NA,2,NA
2008-06-30,NA,2,NA
2008-07-31,NA,2,NA
2008-08-31,NA,2,NA
2008-12-31,NA,7,NA
2009-01-31,NA,7,NA
2009-02-28,NA,7,NA
2009-03-31,NA,7,NA
2009-04-30,NA,7,NA
2009-05-31,NA,22,NA
2009-06-30,NA,22,NA
2009-07-31,NA,27,NA
2009-08-31,NA,27,NA
2009-09-30,NA,27,NA
2009-10-31,NA,27,NA
2009-11-30,NA,27,NA
2009-12-31,NA,26,NA
2010-01-31,NA,26,NA
2010-02-28,NA,26,NA
2010-03-31,NA,34,NA
2010-04-30,NA,34,NA
2010-05-31,NA,22,NA
2010-06-30,NA,23,NA
2010-07-31,NA,22,NA
2010-08-31,NA,21,NA
2010-09-30,NA,36,NA
2010-10-31,NA,35,NA
2010-11-30,NA,35,NA
2010-12-31,NA,33,NA
2011-01-31,NA,33,NA
2011-02-28,NA,32,NA
2011-03-31,NA,28,NA
2011-04-30,NA,28,NA
2011-05-31,NA,20,NA
2011-06-30,NA,20,NA
2011-07-31,NA,20,NA
2011-08-31,NA,20,NA
2011-09-30,NA,16,NA
2011-10-31,NA,16,NA
2011-11-30,NA,16,NA
2011-12-31,NA,35,NA
2012-01-31,NA,35,NA
2012-02-28,NA,32,NA
2012-03-31,NA,25,NA
2012-04-30,NA,25,NA
2012-05-31,NA,25,NA
2012-06-30,NA,25,NA
2012-07-31,NA,25,NA
2012-08-31,NA,25,NA
2012-09-30,NA,17,NA
2012-10-31,NA,17,NA
2012-11-30,NA,17,NA
2012-12-31,NA,12,NA
2013-01-31,NA,12,NA
2013-02-28,NA,12,NA
2013-03-31,NA,25,NA
2013-04-30,NA,25,NA
2013-05-31,NA,25,NA
2013-06-30,NA,21,NA
2013-07-31,NA,21,NA
2013-08-31,NA,21,NA
2013-09-30,NA,23,NA
2013-10-31,NA,23,NA
2013-11-30,NA,34,NA
2013-12-31,NA,27,NA
2014-01-31,NA,27,NA
2014-02-28,NA,27,NA
