"Date","Troops","Police","Experts"
1998-04-30,233,NA,NA
1998-05-31,232,NA,NA
1998-06-30,233,NA,NA
1998-07-31,233,NA,NA
1998-08-31,233,NA,NA
1998-09-30,233,NA,NA
1998-10-31,233,NA,NA
1998-11-30,233,NA,NA
1998-12-31,233,NA,NA
1999-01-31,233,1,NA
1999-02-28,233,1,NA
1999-03-31,233,1,NA
1999-04-30,133,1,NA
1999-05-31,233,1,NA
1999-06-30,235,1,NA
1999-07-31,235,1,NA
1999-08-31,235,1,NA
1999-09-30,235,1,NA
1999-10-31,234,1,NA
1999-11-30,234,1,NA
1999-12-31,234,NA,NA
2000-01-31,109,NA,NA
2000-04-30,NA,NA,1
2000-05-31,NA,NA,1
2000-06-30,NA,NA,1
2000-07-31,NA,NA,1
2000-08-31,NA,NA,1
2000-10-31,NA,1,NA
2000-11-30,NA,1,NA
2000-12-31,NA,1,NA
2001-03-31,NA,1,NA
2001-04-30,NA,1,NA
2001-05-31,NA,1,NA
2001-06-30,NA,1,NA
2001-07-31,NA,1,NA
2001-08-31,NA,1,NA
2001-09-30,NA,1,NA
2001-10-31,NA,1,NA
2001-11-30,NA,1,NA
2001-12-31,NA,1,NA
2002-01-31,NA,1,NA
2002-02-28,NA,1,NA
2002-03-31,NA,1,NA
2002-07-31,NA,4,NA
2002-08-30,NA,4,NA
2002-09-30,NA,4,NA
2002-10-31,NA,4,NA
2002-11-30,NA,4,NA
2002-12-31,NA,4,NA
2003-01-31,NA,4,NA
2003-02-28,NA,4,NA
2003-03-30,NA,4,NA
2003-04-30,NA,4,NA
2003-05-31,NA,4,NA
2003-06-30,NA,4,NA
2003-07-31,NA,4,NA
2003-08-31,NA,14,NA
2003-09-30,NA,14,NA
2003-10-31,NA,14,NA
2003-11-30,NA,14,NA
2003-12-31,NA,12,NA
2004-01-31,NA,10,NA
2004-02-28,NA,10,NA
2004-03-31,NA,11,NA
2004-04-30,NA,11,NA
2004-05-31,NA,11,NA
2004-06-30,NA,11,NA
2004-07-31,NA,11,NA
2004-08-31,NA,11,NA
2004-09-30,NA,10,NA
2004-10-31,NA,10,NA
2004-11-30,NA,10,NA
2004-12-31,NA,10,NA
2005-01-31,NA,10,NA
2005-02-28,NA,10,NA
2005-03-31,NA,10,NA
2005-04-30,NA,10,NA
2005-05-31,NA,9,NA
2005-06-30,NA,9,NA
2005-07-31,NA,9,NA
2005-08-31,NA,9,NA
2005-09-30,NA,7,NA
2005-10-31,NA,8,NA
2005-11-30,NA,8,NA
2005-12-31,NA,8,NA
2006-01-31,NA,8,NA
2006-02-28,NA,8,NA
2006-03-31,NA,1,NA
2006-04-30,NA,1,NA
2006-05-31,NA,1,NA
2006-06-30,NA,1,NA
2006-07-31,NA,1,NA
2006-08-31,NA,1,NA
2006-09-30,NA,1,NA
2006-10-31,NA,1,NA
2006-11-30,NA,1,NA
2006-12-31,NA,1,NA
2007-01-31,NA,1,NA
2007-02-28,NA,9,NA
2007-03-31,NA,9,NA
2007-04-30,NA,17,NA
2007-05-31,NA,17,NA
2007-06-30,NA,17,NA
2007-07-31,NA,27,NA
2007-08-31,NA,27,NA
2007-09-30,NA,27,NA
2007-10-31,NA,26,NA
2007-11-30,NA,27,NA
2007-12-31,NA,76,NA
2008-01-31,NA,101,NA
2008-02-28,NA,101,NA
2008-03-31,NA,100,NA
2008-04-30,NA,108,NA
2008-05-31,NA,108,NA
2008-06-30,NA,128,NA
2008-07-31,NA,128,NA
2008-08-31,NA,138,NA
2008-09-30,NA,160,NA
2008-10-31,NA,166,NA
2008-11-30,NA,166,NA
2008-12-31,NA,166,NA
2009-01-31,NA,171,NA
2009-02-28,NA,166,NA
2009-03-31,NA,167,NA
2009-04-30,NA,158,NA
2009-05-31,NA,159,NA
2009-06-30,NA,155,NA
2009-07-31,NA,153,NA
2009-08-31,NA,153,NA
2009-09-30,NA,153,NA
2009-10-31,NA,150,NA
2009-11-30,NA,154,NA
2009-12-31,NA,132,NA
2010-01-31,NA,130,NA
2010-02-28,NA,136,NA
2010-03-31,NA,136,NA
2010-04-30,NA,128,NA
2010-05-31,NA,150,NA
2010-06-30,NA,133,NA
2010-07-31,NA,163,NA
2010-08-31,NA,155,NA
2010-09-30,NA,148,NA
2010-10-31,NA,164,NA
2010-11-30,NA,164,NA
2010-12-31,NA,152,NA
2011-01-31,NA,159,NA
2011-02-28,NA,151,NA
2011-03-31,NA,157,NA
2011-04-30,NA,156,NA
2011-05-31,NA,153,NA
2011-06-30,NA,156,NA
2011-07-31,NA,155,NA
2011-08-31,NA,153,NA
2011-09-30,NA,154,NA
2011-10-31,NA,155,NA
2011-11-30,NA,163,NA
2011-12-31,NA,153,NA
2012-01-31,NA,149,NA
2012-02-28,NA,150,NA
2012-03-31,NA,142,NA
2012-04-30,NA,141,NA
2012-05-31,NA,137,NA
2012-06-30,NA,150,NA
2012-07-31,NA,122,NA
2012-08-31,NA,153,NA
2012-09-30,NA,165,NA
2012-10-31,NA,164,NA
2012-11-30,NA,163,NA
2012-12-31,NA,161,NA
2013-01-31,NA,158,NA
2013-02-28,NA,167,NA
2013-03-31,NA,158,NA
2013-04-30,NA,171,NA
2013-05-31,NA,167,NA
2013-06-30,NA,169,NA
2013-07-31,126,166,NA
2013-08-31,126,172,NA
2013-09-30,126,181,NA
2013-10-31,126,177,NA
2013-11-30,126,170,NA
2013-12-31,125,177,NA
2014-01-31,126,175,NA
2014-02-28,126,173,NA
