"Date","Troops","Police","Experts"
1999-09-30,NA,NA,10
1999-10-31,NA,NA,10
1999-11-30,NA,NA,10
1999-12-31,NA,NA,10
2000-01-31,NA,NA,10
2000-02-28,NA,NA,10
2000-03-31,NA,NA,10
2000-04-30,NA,NA,10
2000-05-31,NA,NA,10
2000-06-30,NA,NA,10
2000-07-31,NA,NA,10
2000-08-31,NA,NA,10
2000-09-30,NA,NA,10
2000-10-31,NA,NA,10
2000-11-30,NA,NA,10
2000-12-31,NA,NA,10
2001-01-31,NA,NA,10
2001-02-28,NA,NA,10
2001-03-31,NA,NA,15
2001-04-30,NA,NA,15
2001-05-31,NA,NA,15
2001-06-30,NA,NA,15
2001-07-31,NA,NA,15
2001-08-31,NA,NA,15
2001-09-30,NA,NA,15
2001-10-31,NA,NA,15
2001-11-30,NA,NA,15
2001-12-31,NA,NA,15
2002-01-31,NA,NA,15
2002-02-28,NA,NA,15
2002-03-31,NA,NA,15
2002-04-30,NA,NA,15
2002-05-31,NA,NA,15
2002-06-30,NA,NA,15
2002-07-31,NA,NA,15
2002-08-30,NA,NA,17
2002-09-30,NA,NA,7
2002-10-31,NA,NA,17
2002-11-30,NA,NA,17
2002-12-31,NA,NA,19
2003-01-31,NA,NA,19
2003-02-28,NA,NA,19
2003-03-30,NA,NA,19
2003-04-30,NA,NA,21
2003-05-31,NA,NA,23
2003-06-30,NA,NA,23
2003-07-31,NA,NA,23
2003-08-31,NA,NA,23
2003-09-30,NA,NA,23
2003-10-31,3,NA,23
2003-11-30,5,NA,23
2003-12-31,3,NA,23
2004-01-31,3,NA,24
2004-02-28,3,NA,24
2004-03-31,3,NA,24
2004-04-30,3,NA,24
2004-05-31,4,NA,22
2004-06-30,4,NA,22
2004-07-31,4,NA,24
2004-08-31,4,NA,26
2004-09-30,6,NA,23
2004-10-31,6,NA,23
2004-11-30,6,NA,23
2004-12-31,6,NA,23
2005-01-31,6,NA,24
2005-02-28,6,1,24
2005-03-31,6,1,25
2005-04-30,9,5,25
2005-05-31,9,4,25
2005-06-30,9,5,26
2005-07-31,7,5,26
2005-08-31,7,4,25
2005-09-30,7,5,21
2005-10-31,7,5,21
2005-11-30,9,5,21
2005-12-31,9,5,20
2006-01-31,7,5,20
2006-02-28,9,5,20
2006-03-31,9,5,20
2006-04-30,11,5,20
2006-05-31,12,5,23
2006-06-30,11,5,20
2006-07-31,11,6,23
2006-08-31,11,11,23
2006-09-30,11,11,20
2006-10-31,11,11,21
2006-11-30,11,12,21
2006-12-31,13,12,21
2007-01-31,14,12,21
2007-02-28,16,13,22
2007-03-31,16,14,22
2007-04-30,17,14,22
2007-05-31,17,14,22
2007-06-30,17,12,25
2007-07-31,18,12,26
2007-08-31,18,15,26
2007-09-30,14,15,26
2007-10-31,18,19,28
2007-11-30,18,19,28
2007-12-31,18,20,28
2008-01-31,18,21,28
2008-02-28,18,23,28
2008-03-31,16,24,28
2008-04-30,18,24,29
2008-05-31,19,24,28
2008-06-30,112,24,28
2008-07-31,112,24,23
2008-08-31,112,24,19
2008-09-30,112,23,21
2008-10-31,112,23,21
2008-11-30,112,20,21
2008-12-31,112,19,21
2009-01-31,113,10,21
2009-02-28,112,10,21
2009-03-31,128,9,21
2009-04-30,128,9,21
2009-05-31,128,11,20
2009-06-30,127,11,17
2009-07-31,127,12,20
2009-08-31,126,10,18
2009-09-30,126,12,16
2009-10-31,111,12,15
2009-11-30,112,12,16
2009-12-31,110,11,16
2010-01-31,106,11,16
2010-02-28,109,11,16
2010-03-31,108,11,14
2010-04-30,108,11,16
2010-05-31,108,11,16
2010-06-30,108,11,16
2010-07-31,107,12,16
2010-08-31,106,12,16
2010-09-30,103,11,16
2010-10-31,103,12,16
2010-11-30,108,10,15
2010-12-31,104,12,16
2011-01-31,104,12,15
2011-02-28,104,12,15
2011-03-31,104,10,16
2011-04-30,104,10,14
2011-05-31,104,11,16
2011-06-30,103,12,16
2011-07-31,100,12,16
2011-08-31,101,11,15
2011-09-30,100,13,16
2011-10-31,100,13,15
2011-11-30,100,14,16
2011-12-31,100,12,16
2012-01-31,101,13,16
2012-02-28,101,14,16
2012-03-31,101,14,15
2012-04-30,100,13,16
2012-05-31,103,13,17
2012-06-30,101,13,17
2012-07-31,101,13,14
2012-08-31,102,14,16
2012-09-30,100,13,15
2012-10-31,100,12,15
2012-11-30,102,10,15
2012-12-31,102,10,15
2013-01-31,102,10,16
2013-02-28,102,10,16
2013-03-31,5,9,16
2013-04-30,5,9,16
2013-05-31,5,10,16
2013-06-30,5,10,15
2013-07-31,5,8,14
2013-08-31,5,7,16
2013-09-30,5,7,16
2013-10-31,5,6,16
2013-11-30,5,6,16
2013-12-31,5,9,16
2014-01-31,5,9,16
2014-02-28,5,9,16
