"Date","Troops","Police","Experts"
1994-12-31,NA,NA,4
1995-01-31,NA,NA,4
1995-02-28,NA,NA,4
1995-03-31,NA,NA,4
1995-04-30,NA,NA,4
1995-05-31,NA,NA,4
1995-06-30,NA,NA,4
1995-07-31,NA,NA,4
1995-08-31,NA,NA,4
1995-09-30,NA,NA,4
1995-10-31,NA,NA,4
1995-11-30,NA,NA,4
1995-12-31,NA,NA,4
1996-01-31,NA,NA,4
1996-02-29,NA,NA,4
1996-03-31,NA,NA,4
1996-04-30,NA,NA,4
1996-05-31,NA,NA,4
1996-06-30,NA,NA,4
1996-07-31,NA,NA,3
1996-08-31,NA,NA,3
1996-09-30,NA,NA,3
1996-10-31,NA,NA,3
1996-11-30,NA,NA,4
1996-12-31,NA,NA,4
1997-01-31,NA,NA,4
1997-02-28,NA,NA,4
1997-03-31,NA,NA,4
1997-04-30,NA,NA,4
1997-05-31,NA,NA,4
1997-06-30,NA,NA,4
1997-07-31,NA,NA,1
1997-08-31,NA,NA,1
1997-09-30,NA,NA,1
1997-10-31,NA,NA,1
