"Date","Troops","Police","Experts"
1990-11-30,6,NA,NA
1990-12-31,6,NA,NA
1991-01-31,6,NA,NA
1991-02-28,6,NA,NA
1991-03-31,6,NA,NA
1991-04-30,6,NA,NA
1991-05-31,6,NA,NA
1991-06-30,6,NA,NA
1991-07-31,15,NA,NA
1991-08-31,15,NA,NA
1991-09-30,15,NA,NA
1991-10-31,15,NA,NA
1991-11-30,15,NA,NA
1991-12-31,15,NA,NA
1992-01-31,30,NA,NA
1992-02-29,31,NA,NA
1992-03-31,31,NA,NA
1992-04-30,531,NA,NA
1992-05-31,531,NA,NA
1992-06-30,531,NA,NA
1992-07-31,531,NA,NA
1992-08-31,500,NA,50
1992-09-30,499,NA,50
1992-10-31,499,NA,49
1992-11-30,496,NA,45
1992-12-31,499,NA,52
1993-01-31,490,NA,38
1993-02-28,504,NA,30
1993-03-31,504,NA,25
1993-04-30,469,NA,19
1993-05-31,492,NA,19
1993-06-30,492,NA,39
1993-07-31,492,NA,19
1993-08-31,502,NA,19
1993-09-30,496,NA,44
1993-10-31,485,NA,44
1993-11-30,514,NA,43
1993-12-31,505,NA,54
1994-01-31,537,NA,57
1994-02-28,624,NA,54
1994-03-31,847,NA,54
1994-04-30,911,NA,58
1994-05-31,921,NA,38
1994-06-30,918,NA,55
1994-07-31,928,NA,54
1994-08-31,911,NA,56
1994-09-30,902,NA,52
1994-10-31,927,NA,48
1994-11-30,971,NA,52
1994-12-31,976,NA,52
1995-01-31,972,NA,50
1995-02-28,960,NA,46
1995-03-31,949,NA,47
1995-04-30,975,NA,39
1995-05-31,914,NA,31
1995-06-30,906,NA,33
1995-07-31,921,NA,38
1995-08-31,899,NA,29
1995-09-30,876,NA,29
1995-10-31,621,NA,28
1995-11-30,470,NA,27
1995-12-31,161,NA,27
1996-01-31,95,NA,20
1996-02-29,33,NA,13
1996-03-31,37,NA,17
1996-04-30,36,NA,13
1996-05-31,40,NA,11
1996-06-30,40,NA,11
1996-07-31,39,NA,9
1996-08-31,40,NA,11
1996-09-30,38,NA,11
1996-10-31,37,NA,10
1996-11-30,37,NA,13
1996-12-31,37,NA,12
1997-01-31,37,NA,12
1997-02-28,37,NA,15
1997-03-31,37,NA,15
1997-04-30,38,NA,15
1997-05-31,40,NA,15
1997-06-30,39,NA,15
1997-07-31,39,NA,15
1997-08-31,39,NA,10
1997-09-30,41,NA,10
1997-10-31,26,NA,10
1997-11-30,26,NA,10
1997-12-31,25,NA,10
1998-01-31,NA,NA,6
1998-02-28,3,NA,6
1998-03-31,NA,NA,6
1998-04-30,NA,NA,6
1998-05-31,NA,NA,6
1998-06-30,NA,NA,9
1998-07-31,NA,NA,9
1998-08-31,NA,NA,9
1998-09-30,NA,NA,8
1998-10-31,NA,NA,8
1998-11-30,NA,NA,8
1998-12-31,NA,NA,8
1999-01-31,NA,NA,8
1999-02-28,NA,NA,7
1999-03-31,NA,NA,7
1999-04-30,NA,NA,7
1999-05-31,NA,NA,7
1999-06-30,NA,NA,7
1999-07-31,NA,NA,7
1999-08-31,NA,NA,8
1999-09-30,NA,10,8
1999-10-31,NA,6,23
1999-11-30,NA,6,23
1999-12-31,NA,3,22
2000-01-31,NA,6,12
2000-02-28,NA,3,23
2000-03-31,NA,6,23
2000-04-30,NA,6,22
2000-05-31,NA,6,15
2000-06-30,NA,8,15
2000-07-31,NA,6,15
2000-08-31,NA,9,15
2000-09-30,NA,7,14
2000-10-31,NA,12,15
2000-11-30,NA,27,15
2000-12-31,NA,29,15
2001-01-31,NA,29,17
2001-02-28,NA,29,17
2001-03-31,NA,28,17
2001-04-30,NA,28,17
2001-05-31,NA,29,21
2001-06-30,1,28,19
2001-07-31,1,29,19
2001-08-31,1,29,19
2001-09-30,1,27,19
2001-10-31,1,27,18
2001-11-30,1,27,18
2001-12-31,1,26,18
2002-01-31,1,24,18
2002-02-28,1,24,19
2002-03-31,1,24,18
2002-04-30,1,24,18
2002-05-31,1,30,18
2002-06-30,1,29,18
2002-07-31,1,29,18
2002-08-30,1,28,18
2002-09-30,1,22,18
2002-10-31,1,18,18
2002-11-30,1,18,18
2002-12-31,1,9,17
2003-01-31,1,9,17
2003-02-28,1,9,17
2003-03-30,1,9,18
2003-04-30,1,16,17
2003-05-31,1,16,19
2003-06-30,1,16,18
2003-07-31,1,15,18
2003-08-31,1,15,18
