"Date","Troops","Police","Experts"
1990-11-30,374,NA,NA
1990-12-31,374,NA,NA
1991-01-31,374,NA,NA
1991-02-28,374,NA,NA
1991-03-31,368,NA,NA
1991-04-30,398,NA,NA
1991-05-31,402,NA,NA
1991-06-30,401,NA,NA
1991-07-31,410,NA,NA
1991-08-31,403,NA,NA
1991-09-30,396,NA,NA
1991-10-31,421,NA,NA
1991-11-30,423,NA,NA
1991-12-31,421,NA,NA
1992-01-31,423,NA,NA
1992-02-29,416,NA,NA
1992-03-31,415,NA,NA
1992-04-30,1267,30,NA
1992-05-31,1267,30,NA
1992-06-30,1267,30,NA
1992-07-31,1267,30,NA
1992-08-31,1267,40,30
1992-09-30,1268,40,30
1992-10-31,1269,40,30
1992-11-30,1418,40,50
1992-12-31,1210,40,50
1993-01-31,1130,39,50
1993-02-28,1134,39,50
1993-03-31,1135,39,50
1993-04-30,1276,39,50
1993-05-31,1288,39,50
1993-06-30,1197,43,50
1993-07-31,1288,39,50
1993-08-31,1271,42,50
1993-09-30,1179,46,57
1993-10-31,1314,44,59
1993-11-30,1209,45,59
1993-12-31,1218,45,59
1994-01-31,1300,45,59
1994-02-28,1309,45,59
1994-03-31,1301,45,59
1994-04-30,1299,45,62
1994-05-31,1310,44,57
1994-06-30,1293,44,58
1994-07-31,1303,44,55
1994-08-31,1283,45,55
1994-09-30,1265,44,55
1994-10-31,1295,44,52
1994-11-30,1274,45,43
1994-12-31,1278,42,46
1995-01-31,1276,45,46
1995-02-28,1276,46,46
1995-03-31,1272,45,46
1995-04-30,1209,41,47
1995-05-31,1273,20,48
1995-06-30,1275,20,48
1995-07-31,944,20,53
1995-08-31,1243,3,49
1995-09-30,887,3,50
1995-10-31,488,27,46
1995-11-30,459,26,49
1995-12-31,255,26,44
1996-01-31,187,46,38
1996-02-29,98,45,34
1996-03-31,94,50,33
1996-04-30,83,45,33
1996-05-31,83,44,33
1996-06-30,83,44,33
1996-07-31,83,44,33
1996-08-31,48,45,33
1996-09-30,48,44,34
1996-10-31,46,45,35
1996-11-30,46,45,35
1996-12-31,46,45,34
1997-01-31,46,42,34
1997-02-28,45,45,32
1997-03-31,46,45,32
1997-04-30,46,45,31
1997-05-31,47,45,31
1997-06-30,48,45,28
1997-07-31,48,45,32
1997-08-31,47,46,30
1997-09-30,47,46,32
1997-10-31,47,46,31
1997-11-30,47,47,32
1997-12-31,47,46,31
1998-01-31,44,47,32
1998-02-28,49,45,31
1998-03-31,49,45,31
1998-04-30,47,43,32
1998-05-31,47,44,32
1998-06-30,47,44,32
1998-07-31,50,45,31
1998-08-31,52,46,33
1998-09-30,46,43,31
1998-10-31,45,22,33
1998-11-30,45,39,33
1998-12-31,45,39,33
1999-01-31,87,40,32
1999-02-28,87,39,27
1999-03-31,3,39,30
1999-04-30,NA,28,32
1999-05-31,NA,29,31
1999-06-30,NA,30,25
1999-07-31,1,34,34
1999-08-31,3,53,32
1999-09-30,NA,53,38
1999-10-31,NA,54,37
1999-11-30,NA,54,37
1999-12-31,NA,51,35
2000-01-31,NA,47,36
2000-02-28,2,56,35
2000-03-31,2,58,34
2000-04-30,2,57,35
2000-05-31,1,66,34
2000-06-30,2,57,33
2000-07-31,2,46,32
2000-08-31,2,49,33
2000-09-30,2,59,34
2000-10-31,2,59,35
2000-11-30,43,61,35
2000-12-31,210,61,35
2001-01-31,213,60,38
2001-02-28,213,60,38
2001-03-31,212,60,38
2001-04-30,213,59,39
2001-05-31,205,49,36
2001-06-30,5,58,38
2001-07-31,5,57,38
2001-08-31,5,59,38
2001-09-30,5,58,38
2001-10-31,5,59,38
2001-11-30,6,61,37
2001-12-31,4,61,38
2002-01-31,4,61,38
2002-02-28,4,58,39
2002-03-31,4,57,39
2002-04-30,4,57,39
2002-05-31,4,53,39
2002-06-30,4,53,38
2002-07-31,4,53,38
2002-08-30,4,48,39
2002-09-30,4,49,38
2002-10-31,4,48,39
2002-11-30,4,48,36
2002-12-31,4,29,34
2003-01-31,4,29,36
2003-02-28,3,34,37
2003-03-30,3,29,30
2003-04-30,3,29,31
2003-05-31,3,28,31
2003-06-30,2,28,30
2003-07-31,2,28,31
2003-08-31,2,26,30
2003-09-30,2,26,31
2003-10-31,2,25,33
2003-11-30,2,28,36
2003-12-31,2,28,35
2004-01-31,2,28,34
2004-02-28,2,22,34
2004-03-31,2,22,35
2004-04-30,2,21,35
2004-05-31,13,20,24
2004-06-30,2,20,34
2004-07-31,2,20,35
2004-08-31,2,20,35
2004-09-30,NA,20,34
2004-10-31,1,20,32
2004-11-30,1,22,34
2004-12-31,1,20,34
2005-01-31,1,20,33
2005-02-28,1,23,35
2005-03-31,3,23,35
2005-04-30,5,23,34
2005-05-31,15,21,21
2005-06-30,30,21,32
2005-07-31,41,21,20
2005-08-31,42,21,17
2005-09-30,44,23,18
2005-10-31,33,24,31
2005-11-30,32,25,22
2005-12-31,7,25,22
2006-01-31,7,25,33
2006-02-28,7,25,34
2006-03-31,6,25,40
2006-04-30,6,25,40
2006-05-31,6,24,40
2006-06-30,7,24,29
2006-07-31,18,23,29
2006-08-31,7,22,40
2006-09-30,9,21,51
2006-10-31,65,22,45
2006-11-30,87,26,53
2006-12-31,85,26,52
2007-01-31,55,25,52
2007-02-28,55,25,50
2007-03-31,55,24,46
2007-04-30,56,24,44
2007-05-31,55,25,46
2007-06-30,59,25,46
2007-07-31,57,25,46
2007-08-31,6,25,45
2007-09-30,5,25,46
2007-10-31,6,25,44
2007-11-30,4,26,45
2007-12-31,4,26,45
2008-01-31,4,26,45
2008-02-28,4,21,42
2008-03-31,2,29,40
2008-04-30,1,29,40
2008-05-31,82,22,39
2008-06-30,82,26,39
2008-07-31,3,26,39
2008-08-31,3,19,36
2008-09-30,3,19,34
2008-10-31,8,18,28
2008-11-30,3,8,37
2008-12-31,4,3,37
2009-01-31,5,1,36
2009-02-28,5,1,33
2009-03-31,4,1,35
2009-04-30,4,1,35
2009-05-31,4,NA,33
2009-06-30,4,NA,26
2009-07-31,3,NA,26
2009-08-31,4,NA,27
2009-09-30,4,NA,28
2009-10-31,4,NA,26
2009-11-30,147,NA,26
2009-12-31,148,NA,27
2010-01-31,144,NA,26
2010-02-28,149,NA,27
2010-03-31,151,NA,28
2010-04-30,149,NA,29
2010-05-31,150,NA,28
2010-06-30,151,NA,28
2010-07-31,148,NA,27
2010-08-31,152,NA,28
2010-09-30,148,NA,24
2010-10-31,153,NA,24
2010-11-30,153,NA,24
2010-12-31,152,NA,23
2011-01-31,153,NA,22
2011-02-28,151,NA,22
2011-03-31,150,NA,22
2011-04-30,151,NA,22
2011-05-31,153,NA,22
2011-06-30,149,NA,22
2011-07-31,193,NA,18
2011-08-31,150,NA,21
2011-09-30,153,NA,22
2011-10-31,149,NA,21
2011-11-30,2,NA,22
2011-12-31,2,NA,19
2012-01-31,12,NA,19
2012-02-28,12,NA,19
2012-03-31,12,NA,19
2012-04-30,12,NA,19
2012-05-31,12,NA,29
2012-06-30,12,NA,29
2012-07-31,12,NA,22
2012-08-31,12,NA,17
2012-09-30,12,NA,17
2012-10-31,13,NA,18
2012-11-30,14,NA,17
2012-12-31,14,NA,17
2013-01-31,14,NA,17
2013-02-28,14,NA,17
2013-03-31,14,NA,17
2013-04-30,14,NA,17
2013-05-31,13,NA,18
2013-06-30,14,NA,17
2013-07-31,14,NA,17
2013-08-31,14,NA,17
2013-09-30,15,NA,16
2013-10-31,14,NA,18
2013-11-30,14,NA,17
2013-12-31,14,NA,16
2014-01-31,15,NA,16
2014-02-28,15,NA,16
