"Date","Troops","Police","Experts"
1994-09-30,NA,NA,2
1994-10-31,NA,NA,2
1994-11-30,NA,15,2
1994-12-31,NA,15,2
1995-01-31,NA,15,2
1995-02-28,7,15,2
1995-03-31,7,22,2
1995-04-30,7,22,2
1995-05-31,7,22,NA
1995-06-30,6,22,NA
1995-07-31,6,22,NA
1995-08-31,16,20,NA
1995-09-30,204,20,NA
1995-10-31,202,22,NA
1995-11-30,202,14,NA
1995-12-31,201,19,NA
1996-01-31,201,19,NA
1996-02-29,186,14,NA
1996-03-31,197,14,NA
1996-04-30,8,19,NA
1996-05-31,NA,18,NA
1996-06-30,NA,19,NA
1996-07-31,NA,19,NA
1996-08-31,NA,19,NA
1996-09-30,NA,19,NA
1996-10-31,NA,19,NA
1996-11-30,NA,19,NA
2004-05-31,NA,1,NA
2004-06-30,NA,11,NA
2004-07-31,NA,24,NA
2004-08-31,NA,24,NA
2004-09-30,NA,24,NA
2004-10-31,NA,24,NA
2004-11-30,NA,24,NA
2004-12-31,NA,24,NA
2005-01-31,NA,24,NA
2005-02-28,NA,24,NA
2005-03-31,NA,24,NA
2005-04-30,NA,24,NA
2005-05-31,NA,24,NA
2005-06-30,NA,24,NA
2005-07-31,NA,24,NA
2005-08-31,NA,24,NA
2005-09-30,NA,22,NA
2005-10-31,NA,32,NA
2005-11-30,NA,40,NA
2005-12-31,NA,40,NA
2006-01-31,NA,40,NA
2006-02-28,NA,40,NA
2006-03-31,NA,40,NA
2006-04-30,NA,40,NA
2006-05-31,NA,40,NA
2006-06-30,NA,40,NA
2006-07-31,NA,40,NA
2006-08-31,NA,39,NA
2006-09-30,NA,39,NA
2006-10-31,NA,39,NA
2006-11-30,NA,39,NA
2006-12-31,NA,39,NA
2007-01-31,NA,18,NA
2007-02-28,NA,18,NA
2007-03-31,NA,25,NA
2007-04-30,NA,25,2
2007-05-31,NA,25,2
2007-06-30,NA,25,2
2007-07-31,NA,25,2
2007-08-31,NA,25,2
2007-09-30,NA,25,2
2007-10-31,NA,25,2
2007-11-30,NA,25,2
2007-12-31,NA,20,2
2008-01-31,NA,20,2
2008-02-28,NA,20,2
2008-03-31,NA,54,2
2008-04-30,NA,52,2
2008-05-31,NA,52,2
2008-06-30,NA,52,2
2008-07-31,NA,52,2
2008-08-31,NA,51,2
2008-09-30,NA,51,2
2008-10-31,NA,51,2
2008-11-30,NA,51,1
2008-12-31,NA,51,1
2009-01-31,NA,51,2
2009-02-28,NA,51,2
2009-03-31,NA,45,2
2009-04-30,NA,44,1
2009-05-31,NA,52,1
2009-06-30,NA,52,2
2009-07-31,NA,40,2
2009-08-31,NA,39,2
2009-09-30,NA,39,2
2009-10-31,NA,39,2
2009-11-30,NA,56,2
2009-12-31,NA,51,2
2010-01-31,NA,50,2
2010-02-28,NA,50,2
2010-03-31,NA,19,2
2010-04-30,NA,18,1
2010-05-31,NA,18,1
2010-06-30,NA,18,NA
2010-07-31,NA,18,NA
2010-08-31,NA,18,NA
2010-09-30,NA,35,2
2010-10-31,NA,35,2
2010-11-30,NA,40,2
2010-12-31,NA,40,2
2011-01-31,NA,40,2
2011-02-28,NA,40,2
2011-03-31,NA,40,2
2011-04-30,NA,40,2
2011-05-31,NA,38,2
2011-06-30,NA,31,2
2011-07-31,NA,31,2
2011-08-31,NA,40,2
2011-09-30,NA,40,1
2011-10-31,NA,42,2
2011-11-30,NA,36,2
2011-12-31,NA,36,2
2012-01-31,NA,36,2
2012-02-28,NA,36,2
2012-03-31,NA,36,2
2012-04-30,NA,36,2
2012-05-31,NA,50,2
2012-06-30,NA,53,2
2012-07-31,NA,53,2
2012-08-31,NA,52,2
2012-09-30,NA,46,1
2012-10-31,NA,46,1
2012-11-30,NA,42,1
2012-12-31,NA,42,2
2013-01-31,NA,42,2
2013-02-28,NA,69,2
2013-03-31,NA,60,1
2013-04-30,NA,60,1
2013-05-31,NA,56,NA
2013-06-30,NA,183,NA
2013-07-31,NA,181,NA
2013-08-31,NA,173,NA
2013-09-30,NA,177,NA
2013-10-31,NA,176,NA
2013-11-30,NA,176,NA
2013-12-31,NA,175,NA
2014-01-31,NA,174,NA
2014-02-28,NA,174,1
