"Date","Troops","Police","Experts"
2000-04-30,NA,16,NA
2000-05-31,NA,16,NA
2000-06-30,NA,16,NA
2000-07-31,NA,15,NA
2000-08-31,NA,15,NA
2000-09-30,NA,15,NA
2000-10-31,NA,15,NA
2000-11-30,NA,15,NA
2000-12-31,NA,15,NA
2001-01-31,NA,15,NA
2001-02-28,NA,15,NA
2001-03-31,NA,15,NA
2004-07-31,NA,NA,4
2004-08-31,NA,NA,4
2004-09-30,NA,NA,4
2004-10-31,NA,NA,4
2004-11-30,NA,NA,4
2004-12-31,NA,NA,4
2005-01-31,NA,NA,4
2005-02-28,NA,NA,4
2005-03-31,NA,NA,4
2005-04-30,NA,NA,4
2005-05-31,NA,NA,4
2005-06-30,NA,NA,4
2005-07-31,NA,NA,4
2005-08-31,NA,NA,4
2005-09-30,NA,NA,4
2005-10-31,NA,NA,4
2005-11-30,NA,NA,4
2005-12-31,NA,NA,4
2006-01-31,NA,NA,4
2006-02-28,NA,NA,4
2006-03-31,NA,NA,4
2006-04-30,NA,NA,4
2006-05-31,NA,NA,4
2006-06-30,NA,NA,4
2006-07-31,NA,NA,4
2006-08-31,NA,NA,4
2006-09-30,NA,NA,4
2006-10-31,NA,NA,4
2006-11-30,NA,NA,4
2006-12-31,NA,NA,4
2007-01-31,NA,NA,4
2007-02-28,NA,NA,4
2007-03-31,NA,NA,4
2007-04-30,NA,NA,4
2007-05-31,NA,NA,4
2007-06-30,NA,NA,4
2007-07-31,NA,NA,4
2007-08-31,NA,NA,4
2007-09-30,NA,NA,4
2007-10-31,NA,NA,4
2007-11-30,NA,NA,4
2007-12-31,NA,NA,4
2013-11-30,2,NA,NA
2013-12-31,2,NA,NA
2014-01-31,2,NA,NA
2014-02-28,2,NA,NA
