"Date","Troops","Police","Experts"
1990-11-30,21,NA,NA
1990-12-31,21,NA,NA
1991-01-31,21,NA,NA
1991-02-28,21,NA,NA
1991-03-31,12,NA,NA
1991-04-30,12,NA,NA
1991-05-31,10,NA,NA
1991-06-30,10,NA,NA
1991-07-31,10,NA,NA
1991-08-31,10,NA,NA
1991-09-30,13,NA,NA
1991-10-31,13,NA,NA
1991-11-30,4,NA,NA
1991-12-31,3,NA,NA
1992-01-31,45,NA,NA
1992-02-29,45,NA,NA
1992-03-31,42,NA,NA
1992-04-30,42,NA,NA
1992-05-31,42,NA,NA
1992-06-30,42,NA,NA
1992-07-31,42,NA,NA
1992-08-31,NA,NA,32
1992-09-30,NA,NA,3
1992-10-31,NA,NA,3
1992-11-30,NA,NA,3
1992-12-31,NA,NA,3
1993-01-31,NA,NA,5
1993-02-28,NA,NA,8
1993-03-31,NA,NA,8
1993-04-30,NA,NA,8
1993-05-31,NA,NA,8
1993-06-30,NA,NA,7
1993-07-31,NA,NA,8
1993-08-31,NA,NA,5
1993-09-30,NA,NA,5
1993-10-31,NA,NA,5
1993-11-30,NA,NA,5
1993-12-31,NA,NA,5
1994-01-31,NA,NA,5
1994-02-28,NA,NA,5
1997-02-28,NA,NA,3
1997-03-31,NA,NA,3
1997-04-30,NA,NA,3
2002-05-31,NA,1,NA
2002-06-30,NA,1,NA
2002-07-31,NA,1,NA
2002-08-30,NA,1,NA
2002-09-30,NA,1,NA
2003-11-30,1,NA,2
2003-12-31,1,NA,3
2004-01-31,1,NA,3
2004-02-28,1,NA,3
2004-03-31,1,NA,3
2004-04-30,1,NA,3
2004-05-31,1,NA,3
2004-06-30,1,NA,5
2004-07-31,1,NA,5
2004-08-31,1,NA,5
2004-09-30,1,NA,5
2004-10-31,1,NA,5
2004-11-30,65,NA,5
2004-12-31,67,NA,5
2005-01-31,67,NA,5
2005-02-28,67,NA,5
2005-03-31,68,NA,5
2005-04-30,68,NA,5
2005-05-31,68,NA,5
2005-06-30,68,NA,6
2005-07-31,68,NA,5
2005-08-31,68,NA,5
2005-09-30,68,NA,5
2005-10-31,67,NA,10
2005-11-30,68,NA,25
2005-12-31,68,NA,25
2006-01-31,68,NA,25
2006-02-28,68,NA,25
2006-03-31,68,NA,25
2006-04-30,68,NA,25
2006-05-31,68,NA,25
2006-06-30,68,NA,23
2006-07-31,68,NA,25
2006-08-31,68,NA,25
2006-09-30,68,NA,25
2006-10-31,68,NA,30
2006-11-30,75,NA,13
2006-12-31,68,NA,24
2007-01-31,68,NA,24
2007-02-28,68,NA,24
2007-03-31,68,NA,25
2007-04-30,68,NA,25
2007-05-31,68,NA,25
2007-06-30,68,NA,25
2007-07-31,68,NA,25
2007-08-31,68,NA,25
2007-09-30,68,NA,25
2007-10-31,68,NA,26
2007-11-30,73,NA,25
2007-12-31,68,NA,25
2008-01-31,68,NA,25
2008-02-28,68,NA,25
2008-03-31,68,NA,26
2008-04-30,68,NA,26
2008-05-31,72,NA,26
2008-06-30,68,NA,26
2008-07-31,68,NA,27
2008-08-31,68,NA,27
2008-09-30,68,NA,27
2008-10-31,68,NA,17
2008-11-30,69,NA,26
2008-12-31,68,NA,23
2009-01-31,68,NA,23
2009-02-28,68,NA,23
2009-03-31,68,NA,23
2009-04-30,68,NA,23
2009-05-31,68,NA,23
2009-06-30,72,1,23
2009-07-31,68,1,21
2009-08-31,68,1,21
2009-09-30,68,1,21
2009-10-31,68,1,21
2009-11-30,68,1,20
2009-12-31,68,NA,14
2010-01-31,68,NA,21
2010-02-28,68,NA,21
2010-03-31,68,NA,21
2010-04-30,68,NA,21
2010-05-31,68,NA,21
2010-06-30,72,NA,20
2010-07-31,68,NA,21
2010-08-31,68,NA,20
2010-09-30,68,NA,21
2010-10-31,68,NA,21
2010-11-30,68,NA,11
2010-12-31,68,NA,11
2011-01-31,68,NA,19
2011-02-28,68,NA,13
2011-03-31,68,NA,14
2011-04-30,67,NA,13
2011-05-31,68,NA,14
2011-06-30,68,NA,19
2011-07-31,68,NA,4
2011-08-31,68,NA,11
2011-09-30,68,NA,12
2011-10-31,68,NA,11
2011-11-30,68,NA,12
2011-12-31,68,NA,11
2012-01-31,68,NA,8
2012-02-28,68,NA,8
2012-03-31,68,NA,8
2012-04-30,67,NA,7
2012-05-31,67,NA,11
2012-06-30,68,NA,12
2012-07-31,68,NA,12
2012-08-31,68,NA,9
2012-09-30,68,NA,8
2012-10-31,68,NA,9
2012-11-30,68,NA,9
2012-12-31,67,NA,8
2013-01-31,68,NA,9
2013-02-28,68,NA,9
2013-03-31,68,NA,9
2013-04-30,69,NA,9
2013-05-31,68,NA,9
2013-06-30,69,NA,8
2013-07-31,69,NA,8
2013-08-31,69,NA,9
2013-09-30,69,NA,9
2013-10-31,70,NA,11
2013-11-30,70,NA,11
2013-12-31,70,NA,11
2014-01-31,75,NA,11
2014-02-28,56,NA,10
