"Date","Troops","Police","Experts"
1991-07-31,5,NA,NA
1991-08-31,5,NA,NA
1991-09-30,20,NA,NA
1991-10-31,21,NA,NA
1991-11-30,24,NA,NA
1991-12-31,24,NA,NA
1992-01-31,21,NA,NA
1992-02-29,20,NA,NA
1992-03-31,29,NA,NA
1992-04-30,27,2,NA
1992-05-31,27,2,NA
1992-06-30,27,2,NA
1992-07-31,27,2,NA
1992-08-31,401,92,38
1992-09-30,389,117,39
1992-10-31,389,117,38
1992-11-30,401,117,42
1992-12-31,415,117,40
1993-01-31,415,117,26
1993-02-28,413,117,36
1993-03-31,413,117,31
1993-04-30,414,117,41
1993-05-31,649,117,41
1993-06-30,988,117,34
1993-07-31,654,117,41
1993-08-31,966,16,42
1993-09-30,983,11,39
1993-10-31,985,11,35
1993-11-30,2108,11,39
1993-12-31,2137,10,51
1994-01-31,2024,10,62
1994-02-28,2093,10,62
1994-03-31,2092,31,62
1994-04-30,2095,31,66
1994-05-31,2112,68,65
1994-06-30,2121,68,66
1994-07-31,2094,67,71
1994-08-31,2113,56,71
1994-09-30,2116,56,71
1994-10-31,1603,71,53
1994-11-30,1603,71,53
1994-12-31,1605,90,51
1995-01-31,1597,17,46
1995-02-28,432,34,55
1995-03-31,446,44,54
1995-04-30,433,55,53
1995-05-31,434,54,46
1995-06-30,436,55,42
1995-07-31,445,54,45
1995-08-31,430,54,45
1995-09-30,421,59,46
1995-10-31,424,59,49
1995-11-30,427,59,49
1995-12-31,62,43,49
1996-01-31,2,43,48
1996-02-29,2,24,44
1996-03-31,2,24,44
1996-04-30,1,15,38
1996-05-31,1,49,35
1996-06-30,1,49,35
1996-07-31,1,49,34
1996-08-31,1,49,33
1996-09-30,1,49,34
1996-10-31,1,49,36
1996-11-30,1,49,44
1996-12-31,1,49,52
1997-01-31,1,48,52
1997-02-28,1,48,53
1997-03-31,1,49,53
1997-04-30,1,57,45
1997-05-31,1,65,54
1997-06-30,1,64,54
1997-07-31,1,60,53
1997-08-31,1,60,53
1997-09-30,NA,60,39
1997-10-31,NA,60,39
1997-11-30,NA,60,40
1997-12-31,NA,61,39
1998-01-31,NA,62,28
1998-02-28,NA,62,28
1998-03-31,NA,63,27
1998-04-30,NA,62,28
1998-05-31,1,62,27
1998-06-30,126,63,27
1998-07-31,126,60,26
1998-08-31,125,56,25
1998-09-30,125,52,30
1998-10-31,125,51,30
1998-11-30,125,50,30
1998-12-31,125,50,30
1999-01-31,125,44,25
1999-02-28,124,40,25
1999-03-31,205,36,23
1999-04-30,328,36,24
1999-05-31,328,35,24
1999-06-30,329,34,25
1999-07-31,328,35,24
1999-08-31,419,40,27
1999-09-30,419,37,27
1999-10-31,313,99,38
1999-11-30,313,99,38
1999-12-31,312,99,48
2000-01-31,185,99,45
2000-02-28,256,120,45
2000-03-31,72,120,50
2000-04-30,72,120,50
2000-05-31,73,88,53
2000-06-30,73,86,54
2000-07-31,73,128,54
2000-08-31,73,134,54
2000-09-30,73,133,54
2000-10-31,73,132,54
2000-11-30,73,132,41
2000-12-31,73,73,43
2001-01-31,73,135,43
2001-02-28,73,135,43
2001-03-31,73,117,54
2001-04-30,74,117,59
2001-05-31,73,129,57
2001-06-30,74,133,60
2001-07-31,75,133,60
2001-08-31,74,130,57
2001-09-30,74,130,60
2001-10-31,74,125,60
2001-11-30,75,125,59
2001-12-31,75,130,57
2002-01-31,75,127,57
