"Date","Troops","Police","Experts"
1994-11-30,NA,NA,2
1995-01-31,NA,NA,2
1995-02-28,NA,NA,2
1995-03-31,NA,NA,2
1995-04-30,NA,NA,2
1995-05-31,NA,NA,2
1995-06-30,NA,NA,2
1995-07-31,NA,NA,2
1995-08-31,NA,NA,2
1995-09-30,NA,NA,2
1995-10-31,NA,NA,2
1995-11-30,NA,NA,2
1995-12-31,NA,NA,2
1996-01-31,NA,NA,2
1996-02-29,NA,NA,2
1996-03-31,NA,NA,2
1996-04-30,NA,NA,2
1996-05-31,NA,NA,2
1996-06-30,NA,NA,2
1996-07-31,NA,NA,2
1996-08-31,NA,NA,2
1996-09-30,NA,NA,2
1996-10-31,NA,NA,2
1996-11-30,NA,NA,2
1996-12-31,NA,NA,2
1997-01-31,NA,NA,2
1997-02-28,NA,NA,2
1997-03-31,NA,NA,2
1997-04-30,NA,NA,2
1997-05-31,NA,NA,2
1997-06-30,NA,NA,2
1997-07-31,NA,NA,2
1997-08-31,NA,NA,2
1997-09-30,NA,NA,2
1997-10-31,NA,NA,2
1997-11-30,NA,NA,2
1997-12-31,NA,NA,2
1998-01-31,NA,NA,2
1998-02-28,NA,NA,2
1998-03-31,NA,NA,2
1998-04-30,NA,NA,2
1998-05-31,NA,NA,2
1998-06-30,NA,NA,2
1998-07-31,NA,NA,2
1998-08-31,NA,NA,2
1998-09-30,NA,NA,2
1998-10-31,NA,NA,2
1998-11-30,NA,NA,2
1998-12-31,NA,NA,2
1999-01-31,NA,NA,2
1999-02-28,NA,NA,2
1999-03-31,NA,NA,2
1999-04-30,NA,NA,2
1999-05-31,NA,NA,2
1999-06-30,NA,NA,2
1999-07-31,NA,NA,2
1999-08-31,NA,3,2
1999-09-30,NA,3,2
1999-10-31,NA,3,2
1999-11-30,NA,3,2
1999-12-31,NA,NA,2
2000-01-31,NA,3,2
2000-02-28,NA,3,2
2000-03-31,NA,3,2
2000-04-30,NA,3,2
2000-05-31,NA,3,2
2000-06-30,NA,3,2
2000-07-31,NA,3,2
2000-08-31,NA,3,2
2000-09-30,NA,3,2
2000-10-31,NA,3,2
2000-11-30,NA,3,2
2000-12-31,NA,1,2
2001-01-31,NA,1,2
2001-02-28,NA,1,2
2001-03-31,NA,1,2
2001-04-30,NA,1,2
2001-05-31,NA,1,2
2001-06-30,NA,1,2
2001-07-31,NA,1,2
2001-08-31,NA,1,2
2001-09-30,NA,1,2
2001-10-31,NA,1,2
2001-11-30,NA,1,2
2001-12-31,NA,1,2
2002-01-31,NA,1,4
2002-02-28,NA,1,4
2002-03-31,NA,1,4
2002-04-30,NA,1,4
2002-05-31,NA,1,4
2002-06-30,NA,1,4
2002-07-31,NA,1,4
2002-08-30,NA,1,4
2002-09-30,NA,1,4
2002-10-31,NA,NA,4
2002-11-30,NA,NA,4
2002-12-31,NA,NA,4
2003-01-31,NA,NA,5
2003-02-28,NA,NA,5
2003-03-30,NA,NA,5
2003-04-30,NA,NA,5
2003-05-31,NA,NA,5
2003-06-30,NA,NA,5
2003-07-31,NA,NA,4
2003-08-31,NA,NA,5
2003-09-30,NA,NA,5
2003-10-31,NA,NA,5
2003-11-30,NA,NA,5
2003-12-31,NA,NA,5
2004-01-31,NA,NA,5
2004-02-28,NA,NA,5
2004-03-31,NA,NA,8
2004-04-30,NA,NA,11
2004-05-31,NA,1,11
2004-06-30,NA,1,11
2004-07-31,NA,1,11
2004-08-31,NA,1,11
2004-09-30,NA,3,11
2004-10-31,NA,3,11
2004-11-30,NA,3,11
2004-12-31,NA,5,11
2005-01-31,NA,5,11
2005-02-28,NA,7,11
2005-03-31,NA,7,11
2005-04-30,NA,7,11
2005-05-31,NA,7,12
2005-06-30,NA,5,16
2005-07-31,NA,6,16
2005-08-31,NA,6,16
2005-09-30,NA,7,16
2005-10-31,NA,15,16
2005-11-30,NA,20,16
2005-12-31,NA,21,16
2006-01-31,NA,19,16
2006-02-28,NA,23,16
2006-03-31,NA,21,13
2006-04-30,NA,22,16
2006-05-31,NA,23,16
2006-06-30,NA,21,12
2006-07-31,NA,25,16
2006-08-31,NA,23,16
2006-09-30,NA,23,16
2006-10-31,NA,23,16
2006-11-30,NA,26,16
2006-12-31,NA,26,16
2007-01-31,NA,24,16
2007-02-28,NA,26,16
2007-03-31,NA,37,16
2007-04-30,NA,32,15
2007-05-31,NA,29,17
2007-06-30,NA,32,17
2007-07-31,NA,32,16
2007-08-31,NA,31,15
2007-09-30,NA,31,17
2007-10-31,NA,31,17
2007-11-30,NA,34,17
2007-12-31,NA,36,17
2008-01-31,NA,36,17
2008-02-28,NA,37,17
2008-03-31,NA,37,18
2008-04-30,NA,36,20
2008-05-31,NA,38,21
2008-06-30,NA,37,15
2008-07-31,NA,34,13
2008-08-31,46,33,16
2008-09-30,72,39,17
2008-10-31,46,40,17
2008-11-30,67,35,17
2008-12-31,51,41,17
2009-01-31,51,41,16
2009-02-28,51,43,17
2009-03-31,51,47,17
2009-04-30,52,47,11
2009-05-31,52,45,16
2009-06-30,52,48,16
2009-07-31,52,48,15
2009-08-31,52,53,12
2009-09-30,52,52,12
2009-10-31,52,53,15
2009-11-30,52,49,15
2009-12-31,52,47,15
2010-01-31,52,48,12
2010-02-28,51,47,15
2010-03-31,51,50,15
2010-04-30,52,56,14
2010-05-31,52,54,11
2010-06-30,52,49,14
2010-07-31,52,49,14
2010-08-31,52,48,14
2010-09-30,52,41,11
2010-10-31,52,41,8
2010-11-30,52,40,12
2010-12-31,52,40,12
2011-01-31,52,41,12
2011-02-28,52,36,12
2011-03-31,52,32,12
2011-04-30,52,34,12
2011-05-31,52,37,12
2011-06-30,52,33,9
2011-07-31,52,29,8
2011-08-31,52,32,12
2011-09-30,52,28,12
2011-10-31,52,29,12
2011-11-30,52,32,9
2011-12-31,52,34,10
2012-01-31,52,33,10
2012-02-28,52,32,9
2012-03-31,52,32,10
2012-04-30,52,25,10
2012-05-31,52,24,10
2012-06-30,52,23,11
2012-07-31,52,23,11
2012-08-31,52,25,11
2012-09-30,52,23,11
2012-10-31,52,20,11
2012-11-30,52,17,10
2012-12-31,52,11,10
2013-01-31,52,11,10
2013-02-28,86,10,10
2013-03-31,86,10,8
2013-04-30,86,10,9
2013-05-31,86,11,10
2013-06-30,86,11,10
2013-07-31,86,11,10
2013-08-31,86,10,10
2013-09-30,86,10,10
2013-10-31,87,10,10
2013-11-30,87,7,10
2013-12-31,87,4,10
2014-01-31,87,4,11
2014-02-28,86,4,11
