"Date","Troops","Police","Experts"
1994-08-31,800,NA,NA
1994-09-30,804,NA,NA
1994-10-31,805,NA,NA
1994-11-30,805,NA,NA
1994-12-31,805,NA,NA
1995-01-31,812,NA,NA
1995-02-28,812,NA,NA
1995-03-31,811,NA,NA
1995-04-30,834,NA,NA
1995-05-31,834,NA,NA
1995-06-30,834,NA,NA
1995-07-31,10,NA,NA
2003-10-31,6,NA,NA
2003-11-30,7,NA,6
2003-12-31,1058,NA,6
2004-01-31,1061,NA,6
2004-02-28,1065,NA,6
2004-03-31,1804,NA,8
2004-04-30,1805,NA,17
2004-05-31,1803,NA,17
2004-06-30,2655,NA,18
2004-07-31,2843,NA,20
2004-08-31,3425,NA,20
2004-09-30,3423,NA,22
2004-10-31,3412,NA,21
2004-11-30,3410,NA,22
2004-12-31,3410,NA,22
2005-01-31,3406,NA,22
2005-02-28,3403,NA,22
2005-03-31,3399,NA,22
2005-04-30,3395,NA,22
2005-05-31,3394,NA,22
2005-06-30,3404,NA,22
2005-07-31,3401,NA,18
2005-08-31,3400,NA,24
2005-09-30,3403,NA,22
2005-10-31,3396,NA,22
2005-11-30,3395,NA,17
2005-12-31,3388,NA,22
2006-01-31,3390,NA,22
2006-02-28,3387,NA,22
2006-03-31,2745,NA,27
2006-04-30,2738,NA,22
2006-05-31,2758,NA,21
2006-06-30,2750,NA,21
2006-07-31,2750,NA,21
2006-08-31,2553,NA,21
2006-09-30,2551,NA,20
2006-10-31,2545,NA,23
2006-11-30,2548,NA,21
2006-12-31,1592,NA,21
2007-01-31,1807,NA,21
2007-02-28,1808,NA,21
2007-03-31,1806,NA,24
2007-04-30,1805,NA,21
2007-05-31,1805,NA,21
2007-06-30,1816,NA,23
2007-07-31,1806,NA,21
2007-08-31,1806,NA,21
2007-09-30,1804,NA,21
2007-10-31,1804,NA,21
2007-11-30,1803,NA,19
2007-12-31,1818,NA,21
2008-01-31,1799,NA,21
2008-02-28,1793,NA,22
2008-03-31,1807,NA,21
2008-04-30,1812,15,19
2008-05-31,1815,15,23
2008-06-30,1819,15,33
2008-07-31,2275,15,32
2008-08-31,2150,15,22
2008-09-30,2142,15,21
2008-10-31,2147,15,26
2008-11-30,1472,15,24
2008-12-31,2452,15,24
2009-01-31,2451,15,30
2009-02-28,2350,15,23
2009-03-31,2351,15,23
2009-04-30,2359,15,24
2009-05-31,2354,15,24
2009-06-30,2355,15,24
2009-07-31,2355,15,24
2009-08-31,2705,15,24
2009-09-30,2648,15,23
2009-10-31,2601,17,21
2009-11-30,2446,2,21
2009-12-31,2143,10,19
2010-01-31,2061,10,19
2010-02-28,2382,10,20
2010-03-31,2379,10,19
2010-04-30,2379,10,20
2010-05-31,2373,10,21
2010-06-30,2372,10,21
2010-07-31,2359,10,20
2010-08-31,2360,10,18
2010-09-30,2362,10,19
2010-10-31,2368,10,22
2010-11-30,2260,10,22
2010-12-31,2268,10,23
2011-01-31,2274,10,27
2011-02-28,2392,10,32
2011-03-31,2391,10,30
2011-04-30,2390,8,28
2011-05-31,2391,8,28
2011-06-30,2391,1,26
2011-07-31,2393,NA,24
2011-08-31,4025,1,100
2011-09-30,4035,1,159
2011-10-31,5154,1,78
2011-11-30,5165,9,100
2011-12-31,6116,9,99
2012-01-31,6106,9,107
2012-02-28,6102,9,109
2012-03-31,6101,21,110
2012-04-30,6185,21,109
2012-05-31,6170,21,117
2012-06-30,6174,21,116
2012-07-31,6148,20,109
2012-08-31,5949,20,109
2012-09-30,5749,20,113
2012-10-31,5571,20,110
2012-11-30,5570,21,106
2012-12-31,5723,21,104
2013-01-31,6362,29,107
2013-02-28,6365,29,113
2013-03-31,6361,39,114
2013-04-30,6369,39,114
2013-05-31,6361,35,105
2013-06-30,6358,39,105
2013-07-31,6336,39,105
2013-08-31,6321,41,105
2013-09-30,6455,29,105
2013-10-31,6474,29,91
2013-11-30,6481,29,99
2013-12-31,6485,29,105
2014-01-31,6484,29,105
2014-02-28,6480,29,106
