"Date","Troops","Police","Experts"
1990-11-30,719,NA,NA
1990-12-31,719,NA,NA
1991-01-31,719,NA,NA
1991-02-28,719,NA,NA
1991-03-31,726,NA,NA
1991-04-30,728,NA,NA
1991-05-31,726,NA,NA
1991-06-30,728,NA,NA
1991-07-31,727,NA,NA
1991-08-31,727,NA,NA
1991-09-30,731,NA,NA
1991-10-31,734,NA,NA
1991-11-30,734,NA,NA
1991-12-31,731,NA,NA
1992-01-31,730,NA,NA
1992-02-29,726,NA,NA
1992-03-31,727,NA,NA
1992-04-30,730,NA,NA
1992-05-31,730,NA,NA
1992-06-30,730,NA,NA
1992-07-31,730,NA,NA
1992-08-31,728,49,11
1992-09-30,703,50,11
1992-10-31,724,50,11
1992-11-30,724,50,11
1992-12-31,649,50,11
1993-01-31,648,49,11
1993-02-28,648,52,11
1993-03-31,648,50,6
1993-04-30,647,50,2
1993-05-31,647,50,6
1993-06-30,645,50,6
1993-07-31,646,50,6
1993-08-31,651,4,6
1993-09-30,653,4,6
1993-10-31,666,4,6
1993-11-30,661,NA,7
1993-12-31,649,NA,7
1994-01-31,650,NA,7
1994-02-28,650,NA,7
1994-03-31,641,NA,7
1994-04-30,643,NA,7
1994-05-31,643,NA,8
1994-06-30,641,NA,7
1994-07-31,647,NA,8
1994-08-31,1450,NA,8
1994-09-30,1454,NA,8
1994-10-31,1456,NA,8
1994-11-30,1451,NA,7
1994-12-31,1450,NA,7
1995-01-31,1457,NA,7
1995-02-28,1457,NA,7
1995-03-31,1461,10,7
1995-04-30,1484,10,7
1995-05-31,1484,8,8
1995-06-30,1484,10,8
1995-07-31,660,10,8
1995-08-31,650,10,8
1995-09-30,650,10,8
1995-10-31,617,10,8
1995-11-30,617,10,8
1995-12-31,617,10,8
1996-01-31,617,10,8
1996-02-29,589,10,7
1996-03-31,585,52,7
1996-04-30,583,57,6
1996-05-31,580,57,6
1996-06-30,593,48,6
1996-07-31,590,48,6
1996-08-31,589,46,5
1996-09-30,618,46,5
1996-10-31,600,46,5
1996-11-30,601,46,5
1996-12-31,591,46,5
1997-01-31,587,46,5
1997-02-28,584,46,5
1997-03-31,582,46,5
1997-04-30,582,45,5
1997-05-31,582,45,5
1997-06-30,596,43,5
1997-07-31,591,43,5
1997-08-31,591,42,5
1997-09-30,587,42,5
1997-10-31,599,42,5
1997-11-30,597,42,5
1997-12-31,585,42,5
1998-01-31,582,42,5
1998-02-28,580,15,5
1998-03-31,579,8,5
1998-04-30,574,15,5
1998-05-31,570,15,5
1998-06-30,586,14,5
1998-07-31,582,15,5
1998-08-31,572,15,5
1998-09-30,571,15,5
1998-10-31,592,15,2
1998-11-30,587,20,4
1998-12-31,587,20,4
1999-01-31,587,20,4
1999-02-28,586,20,4
1999-03-31,585,20,5
1999-04-30,579,5,4
1999-05-31,575,5,4
1999-06-30,596,5,NA
1999-07-31,594,5,5
1999-08-31,594,40,5
1999-09-30,591,49,5
1999-10-31,591,48,5
1999-11-30,591,48,5
1999-12-31,595,50,5
2000-01-31,595,47,5
2000-02-28,787,47,8
2000-03-31,785,47,7
2000-04-30,764,47,8
2000-05-31,769,45,6
2000-06-30,775,45,7
2000-07-31,776,41,7
2000-08-31,790,40,7
2000-09-30,781,40,7
2000-10-31,793,49,7
2000-11-30,791,45,7
2000-12-31,785,51,7
2001-01-31,781,51,7
2001-02-28,781,51,7
2001-03-31,781,51,7
2001-04-30,792,50,7
2001-05-31,777,50,7
2001-06-30,781,50,7
2001-07-31,782,50,7
2001-08-31,783,50,7
2001-09-30,793,49,7
2001-10-31,793,48,7
2001-11-30,789,47,7
