"Date","Troops","Police","Experts"
1990-11-30,992,NA,NA
1990-12-31,992,NA,NA
1991-01-31,992,NA,NA
1991-02-28,992,NA,NA
1991-03-31,982,NA,NA
1991-04-30,1048,NA,NA
1991-05-31,986,NA,NA
1991-06-30,996,NA,NA
1991-07-31,1012,NA,NA
1991-08-31,1037,NA,NA
1991-09-30,998,NA,NA
1991-10-31,1008,NA,NA
1991-11-30,1006,NA,NA
1991-12-31,1006,NA,NA
1992-01-31,997,NA,NA
1992-02-29,996,9,NA
1992-03-31,996,NA,NA
1992-04-30,1309,NA,NA
1992-05-31,1309,NA,NA
1992-06-30,1309,NA,NA
1992-07-31,1309,NA,NA
1992-08-31,1241,NA,42
1992-09-30,1204,NA,42
1992-10-31,1203,NA,39
1992-11-30,1201,NA,41
1992-12-31,1197,NA,43
1993-01-31,1203,NA,42
1993-02-28,1368,NA,41
1993-03-31,1366,NA,36
1993-04-30,1434,NA,35
1993-05-31,1388,NA,36
1993-06-30,1082,NA,36
1993-07-31,1387,NA,36
1993-08-31,1159,NA,36
1993-09-30,1105,NA,37
1993-10-31,1104,NA,37
1993-11-30,1095,NA,37
1993-12-31,753,NA,37
1994-01-31,748,NA,37
1994-02-28,761,NA,37
1994-03-31,788,NA,37
1994-04-30,821,NA,38
1994-05-31,798,5,43
1994-06-30,795,10,42
1994-07-31,787,15,41
1994-08-31,887,15,42
1994-09-30,902,15,41
1994-10-31,1030,15,41
1994-11-30,989,10,41
1994-12-31,986,10,42
1995-01-31,985,10,42
1995-02-28,991,10,40
1995-03-31,992,10,42
1995-04-30,988,10,42
1995-05-31,996,9,42
1995-06-30,992,9,42
1995-07-31,988,3,46
1995-08-31,1011,8,45
1995-09-30,997,8,45
1995-10-31,987,8,44
1995-11-30,987,8,40
1995-12-31,985,8,39
1996-01-31,984,11,33
1996-02-29,968,10,32
1996-03-31,965,21,30
1996-04-30,929,20,32
1996-05-31,929,26,32
1996-06-30,927,26,32
1996-07-31,926,26,32
1996-08-31,923,26,31
1996-09-30,862,30,32
1996-10-31,855,30,30
1996-11-30,851,29,30
1996-12-31,865,29,30
1997-01-31,863,29,29
1997-02-28,850,28,29
1997-03-31,848,28,34
1997-04-30,903,41,28
1997-05-31,858,40,28
1997-06-30,855,39,32
1997-07-31,847,39,28
1997-08-31,862,39,28
1997-09-30,855,36,28
1997-10-31,861,44,28
1997-11-30,854,39,28
1997-12-31,712,40,28
1998-01-31,491,40,24
1998-02-28,706,38,24
1998-03-31,706,32,24
1998-04-30,713,38,24
1998-05-31,715,38,24
1998-06-30,705,43,24
1998-07-31,709,54,24
1998-08-31,709,44,24
1998-09-30,734,43,24
1998-10-31,735,33,24
1998-11-30,730,33,24
1998-12-31,730,33,24
1999-01-31,691,28,24
1999-02-28,693,28,25
1999-03-31,531,30,25
1999-04-30,504,21,24
1999-05-31,504,21,24
1999-06-30,504,18,24
1999-07-31,504,12,25
1999-08-31,502,12,25
1999-09-30,475,12,26
1999-10-31,502,8,26
1999-11-30,502,8,26
1999-12-31,499,8,26
2000-01-31,501,3,26
2000-02-28,501,31,25
2000-03-31,497,30,25
2000-04-30,509,30,25
2000-05-31,501,31,25
2000-06-30,645,37,25
2000-07-31,635,31,25
2000-08-31,645,31,27
2000-09-30,648,30,33
2000-10-31,657,31,33
2000-11-30,661,31,33
2000-12-31,659,31,33
