"Date","Troops","Police","Experts"
1990-11-30,525,NA,NA
1990-12-31,525,NA,NA
1991-01-31,525,NA,NA
1991-02-28,525,NA,NA
1991-03-31,558,NA,NA
1991-04-30,543,NA,NA
1991-05-31,544,NA,NA
1991-06-30,541,NA,NA
1991-07-31,541,NA,NA
1991-08-31,538,NA,NA
1991-09-30,602,8,NA
1991-10-31,574,NA,NA
1991-11-30,689,9,NA
1991-12-31,687,9,NA
1992-01-31,684,9,NA
1992-02-29,736,NA,NA
1992-03-31,811,92,NA
1992-04-30,2850,135,NA
1992-05-31,2850,135,NA
1992-06-30,2850,135,NA
1992-07-31,2850,135,NA
1992-08-31,4493,139,120
1992-09-30,4495,164,119
1992-10-31,4480,158,114
1992-11-30,5886,165,124
1992-12-31,6206,172,124
1993-01-31,6405,211,121
1993-02-28,6485,207,121
1993-03-31,6452,195,121
1993-04-30,6725,198,120
1993-05-31,7771,200,119
1993-06-30,8773,200,116
1993-07-31,8773,200,116
1993-08-31,9063,200,116
1993-09-30,8963,61,95
1993-10-31,8457,63,74
1993-11-30,7075,63,70
1993-12-31,6236,63,71
1994-01-31,6222,63,71
1994-02-28,6539,63,70
1994-03-31,6568,62,70
1994-04-30,7316,63,70
1994-05-31,6965,59,70
1994-06-30,6050,42,70
1994-07-31,6130,42,71
1994-08-31,6191,42,71
1994-09-30,6211,42,73
1994-10-31,4897,43,77
1994-11-30,4904,42,77
1994-12-31,5012,61,76
1995-01-31,4946,60,76
1995-02-28,4940,77,76
1995-03-31,4962,107,80
1995-04-30,4869,131,79
1995-05-31,4935,107,79
1995-06-30,7384,106,76
1995-07-31,6899,94,77
1995-08-31,7215,93,78
1995-09-30,7696,118,71
1995-10-31,7538,116,71
1995-11-30,7924,119,71
1995-12-31,286,117,72
1996-01-31,285,142,67
1996-02-29,272,197,68
1996-03-31,304,187,64
1996-04-30,260,190,65
1996-05-31,259,188,63
1996-06-30,258,189,62
1996-07-31,259,193,62
1996-08-31,259,191,58
1996-09-30,259,190,54
1996-10-31,258,189,54
1996-11-30,259,189,55
1996-12-31,260,189,53
1997-01-31,259,174,53
1997-02-28,258,168,54
1997-03-31,258,167,54
1997-04-30,260,150,54
1997-05-31,260,166,55
1997-06-30,262,166,54
1997-07-31,255,165,52
1997-08-31,255,160,52
1997-09-30,251,161,52
1997-10-31,248,160,48
1997-11-30,246,180,48
1997-12-31,248,155,48
1998-01-31,248,133,48
1998-02-28,248,156,48
1998-03-31,309,157,48
1998-04-30,447,155,44
1998-05-31,448,158,43
1998-06-30,448,164,45
1998-07-31,448,183,46
1998-08-31,449,163,50
1998-09-30,448,169,48
1998-10-31,449,175,48
1998-11-30,449,167,48
1998-12-31,449,167,48
1999-01-31,353,180,47
1999-02-28,274,159,36
1999-03-31,142,159,45
1999-04-30,247,148,45
1999-05-31,247,139,43
1999-06-30,247,167,44
1999-07-31,245,134,42
1999-08-31,250,144,42
1999-09-30,249,224,49
1999-10-31,244,227,51
1999-11-30,244,227,51
1999-12-31,246,221,49
2000-01-31,246,212,49
2000-02-28,250,213,49
2000-03-31,250,264,49
2000-04-30,254,266,49
2000-05-31,253,184,49
2000-06-30,257,183,48
2000-07-31,254,181,49
2000-08-31,254,190,49
2000-09-30,261,180,49
2000-10-31,253,181,47
2000-11-30,257,184,47
2000-12-31,260,191,47
2001-01-31,267,189,45
2001-02-28,267,189,45
2001-03-31,268,189,44
2001-04-30,248,194,45
2001-05-31,277,183,44
2001-06-30,417,183,44
2001-07-31,414,181,44
2001-08-31,431,180,46
2001-09-30,434,193,46
2001-10-31,435,182,45
2001-11-30,435,179,45
2001-12-31,242,196,45
2002-01-31,242,186,45
2002-02-28,241,186,45
2002-03-31,241,200,45
2002-04-30,240,190,45
2002-05-31,242,192,44
2002-06-30,243,207,46
2002-07-31,242,188,46
2002-08-30,214,188,44
2002-09-30,211,187,44
2002-10-31,211,161,44
2002-11-30,212,161,44
2002-12-31,212,91,44
2003-01-31,212,91,45
2003-02-28,232,92,44
2003-03-30,206,87,34
2003-04-30,210,85,33
2003-05-31,209,85,32
2003-06-30,207,78,21
2003-07-31,209,77,33
2003-08-31,208,75,32
2003-09-30,208,81,32
2003-10-31,208,79,32
2003-11-30,210,78,32
2003-12-31,209,76,32
2004-01-31,209,79,32
2004-02-28,213,77,32
2004-03-31,218,80,32
2004-04-30,394,81,34
2004-05-31,402,90,31
2004-06-30,398,116,26
2004-07-31,397,130,34
2004-08-31,400,130,33
2004-09-30,400,150,34
2004-10-31,398,175,34
2004-11-30,402,175,34
2004-12-31,402,171,34
2005-01-31,402,171,33
2005-02-28,403,169,34
2005-03-31,403,162,34
2005-04-30,404,128,34
2005-05-31,474,155,31
2005-06-30,401,155,31
2005-07-31,403,157,31
2005-08-31,409,157,31
2005-09-30,403,158,29
2005-10-31,394,154,39
2005-11-30,395,154,35
2005-12-31,392,152,34
2006-01-31,392,155,39
2006-02-28,396,151,39
2006-03-31,396,152,36
2006-04-30,400,152,36
2006-05-31,403,152,38
2006-06-30,400,151,32
2006-07-31,400,150,33
2006-08-31,623,149,31
2006-09-30,1719,148,33
2006-10-31,1841,156,29
2006-11-30,1784,151,32
2006-12-31,1805,150,33
2007-01-31,1868,148,33
2007-02-28,1846,144,33
2007-03-31,1800,143,32
2007-04-30,1804,144,32
2007-05-31,1904,141,29
2007-06-30,1820,139,27
2007-07-31,1761,139,28
2007-08-31,1774,140,29
2007-09-30,1777,143,30
2007-10-31,1774,140,28
2007-11-30,1774,134,28
2007-12-31,1775,142,27
2008-01-31,1640,137,26
2008-02-28,1793,136,26
2008-03-31,1785,113,26
2008-04-30,1784,140,28
2008-05-31,1918,146,26
2008-06-30,1812,136,26
2008-07-31,1826,129,26
2008-08-31,1810,142,25
2008-09-30,2363,131,26
2008-10-31,2109,134,23
2008-11-30,2106,123,25
2008-12-31,2053,118,27
2009-01-31,2175,108,25
2009-02-28,2038,111,25
2009-03-31,2408,110,26
2009-04-30,2297,109,25
2009-05-31,2126,101,26
2009-06-30,1761,98,20
2009-07-31,1761,98,24
2009-08-31,1755,95,22
2009-09-30,1904,95,22
2009-10-31,1762,93,22
2009-11-30,1666,103,22
2009-12-31,1485,99,26
2010-01-31,1593,94,22
2010-02-28,1481,170,22
2010-03-31,1507,239,22
2010-04-30,1442,243,21
2010-05-31,1772,243,21
2010-06-30,1433,247,21
