"Date","Troops","Police","Experts"
1998-04-30,128,NA,NA
1998-05-31,128,NA,NA
1998-06-30,142,NA,NA
1998-07-31,125,NA,NA
1998-08-31,127,NA,NA
1998-09-30,127,NA,NA
1998-10-31,127,NA,NA
1998-11-30,127,NA,NA
1998-12-31,127,NA,NA
1999-01-31,126,NA,NA
1999-02-28,241,NA,NA
1999-03-31,118,NA,NA
1999-04-30,129,NA,NA
1999-05-31,129,NA,NA
1999-06-30,129,NA,NA
1999-07-31,129,NA,NA
1999-08-31,128,NA,NA
1999-09-30,128,NA,NA
1999-10-31,128,NA,NA
1999-11-30,128,NA,NA
1999-12-31,6,NA,NA
2000-01-31,6,NA,NA
2004-06-30,NA,NA,6
2004-07-31,NA,NA,6
2004-08-31,NA,NA,6
2004-09-30,NA,NA,6
2004-10-31,NA,NA,6
2004-11-30,NA,NA,6
2004-12-31,NA,NA,12
2005-01-31,NA,NA,6
2005-02-28,NA,NA,6
2005-03-31,NA,NA,6
2005-04-30,NA,NA,6
2005-05-31,NA,NA,5
2005-06-30,NA,NA,5
2005-07-31,NA,NA,5
2005-08-31,NA,NA,5
2005-09-30,NA,NA,5
2005-10-31,NA,NA,5
2005-11-30,NA,NA,5
2005-12-31,NA,NA,5
2006-01-31,NA,NA,5
2006-02-28,NA,NA,5
2006-03-31,NA,NA,4
2006-04-30,NA,NA,4
2006-05-31,NA,NA,4
2006-06-30,NA,NA,10
2006-07-31,NA,NA,10
2006-08-31,NA,NA,10
2006-09-30,NA,NA,10
2006-10-31,NA,NA,10
2006-11-30,NA,NA,10
2006-12-31,NA,NA,6
2007-01-31,NA,NA,5
2007-02-28,NA,NA,6
2007-03-31,NA,NA,6
2007-04-30,NA,NA,8
2007-05-31,NA,NA,6
2007-06-30,1,NA,8
2007-07-31,NA,NA,8
2007-08-31,NA,NA,8
2007-09-30,NA,NA,8
2007-10-31,NA,NA,8
2007-11-30,NA,NA,8
2007-12-31,NA,NA,8
2008-01-31,1,NA,17
2008-02-28,1,NA,21
2008-03-31,4,NA,18
2008-04-30,4,NA,17
2008-05-31,4,NA,16
2008-06-30,4,NA,14
2008-07-31,4,NA,16
2008-08-31,1,NA,16
2008-09-30,NA,NA,16
2008-10-31,NA,NA,5
2008-11-30,NA,NA,5
2008-12-31,NA,NA,4
2009-01-31,NA,NA,4
2009-02-28,NA,NA,3
2009-03-31,NA,NA,3
2009-04-30,NA,NA,3
2009-05-31,NA,NA,3
2009-06-30,NA,NA,3
2009-07-31,NA,NA,2
2009-08-31,NA,NA,2
2009-09-30,NA,NA,1
2009-10-31,NA,NA,1
2009-11-30,NA,NA,1
2009-12-31,NA,NA,1
2010-01-31,NA,NA,1
