"Date","Troops","Police","Experts"
1998-06-30,NA,4,NA
1998-07-31,NA,4,NA
1998-08-31,NA,4,NA
1998-09-30,NA,4,NA
1998-10-31,NA,4,NA
1998-11-30,NA,4,NA
1998-12-31,NA,4,NA
1999-01-31,NA,4,NA
1999-02-28,NA,1,NA
1999-08-31,NA,NA,2
1999-09-30,NA,NA,2
1999-10-31,NA,NA,4
1999-11-30,NA,NA,4
1999-12-31,NA,NA,4
2000-01-31,NA,26,26
2000-02-28,NA,26,26
2000-03-31,NA,26,26
2000-04-30,NA,28,26
2000-05-31,NA,27,26
2000-06-30,NA,28,26
2000-07-31,NA,33,26
2000-08-31,NA,33,26
2000-09-30,NA,33,26
2000-10-31,NA,33,26
2000-11-30,NA,33,25
2000-12-31,NA,7,26
2001-01-31,NA,36,30
2001-02-28,NA,36,30
2001-03-31,NA,36,30
2001-04-30,NA,36,30
2001-05-31,2,35,30
2001-06-30,2,33,30
2001-07-31,2,33,28
2001-08-31,2,33,30
2001-09-30,2,42,30
2001-10-31,2,41,30
2001-11-30,2,41,30
2001-12-31,2,41,28
2002-01-31,2,37,19
2002-02-28,2,39,19
2002-03-31,2,39,19
2002-04-30,2,39,19
2002-05-31,NA,39,19
2002-06-30,2,39,19
2002-07-31,2,13,17
2002-08-30,2,11,19
2002-09-30,2,2,19
2002-10-31,2,2,19
2002-11-30,2,2,19
2002-12-31,2,2,19
2003-01-31,2,2,15
2003-02-28,2,2,19
2003-03-30,2,1,19
2003-04-30,2,2,18
2003-05-31,2,2,19
2003-06-30,2,2,19
2003-07-31,2,2,19
2003-08-31,2,2,17
2003-09-30,2,2,19
2003-10-31,153,2,19
2003-11-30,153,2,24
2003-12-31,153,2,37
2004-01-31,153,2,24
2004-02-28,153,2,25
2004-03-31,152,22,24
2004-04-30,153,22,24
2004-05-31,154,34,26
2004-06-30,152,34,26
2004-07-31,154,34,29
2004-08-31,153,34,31
2004-09-30,11,34,29
2004-10-31,3,34,31
2004-11-30,3,34,30
2004-12-31,3,32,17
2005-01-31,3,32,23
2005-02-28,3,32,20
2005-03-31,3,32,23
2005-04-30,3,32,24
2005-05-31,3,32,20
2005-06-30,3,32,19
2005-07-31,1,32,23
2005-08-31,3,32,24
2005-09-30,3,32,24
2005-10-31,3,32,22
2005-11-30,3,32,22
2005-12-31,3,30,16
2006-01-31,3,32,16
2006-02-28,3,32,16
2006-03-31,3,49,13
2006-04-30,3,50,12
2006-05-31,2,50,11
2006-06-30,2,50,11
2006-07-31,2,52,9
2006-08-31,NA,52,8
2006-09-30,NA,51,8
2006-10-31,NA,51,7
2006-11-30,1,51,7
2006-12-31,1,82,10
2007-01-31,1,82,9
2007-02-28,2,83,11
2007-03-31,2,70,11
2007-04-30,2,71,13
2007-05-31,2,86,13
2007-06-30,2,85,16
2007-07-31,2,83,15
2007-08-31,2,83,15
2007-09-30,2,83,13
2007-10-31,2,79,11
2007-11-30,2,61,11
2007-12-31,1,180,14
2008-01-31,197,179,13
2008-02-28,197,185,11
2008-03-31,198,185,10
2008-04-30,197,191,10
2008-05-31,203,192,8
2008-06-30,205,187,8
2008-07-31,216,159,7
2008-08-31,198,180,5
2008-09-30,189,179,5
2008-10-31,199,98,7
2008-11-30,200,84,9
2008-12-31,201,83,9
2009-01-31,201,83,9
2009-02-28,201,85,9
2009-03-31,200,70,9
2009-04-30,200,63,9
2009-05-31,202,69,10
2009-06-30,202,165,10
2009-07-31,201,165,10
2009-08-31,202,164,10
2009-09-30,201,143,6
2009-10-31,200,141,6
2009-11-30,198,129,6
2009-12-31,199,147,3
2010-01-31,199,148,6
2010-02-28,200,158,5
2010-03-31,200,159,5
2010-04-30,200,159,5
2010-05-31,199,162,5
2010-06-30,197,167,5
2010-07-31,198,223,6
2010-08-31,200,223,6
2010-09-30,200,316,6
2010-10-31,200,226,6
2010-11-30,200,225,6
2010-12-31,200,228,6
2011-01-31,199,226,2
2011-02-28,199,223,2
2011-03-31,199,210,6
2011-04-30,199,207,6
2011-05-31,198,216,5
2011-06-30,198,207,3
2011-07-31,198,186,5
2011-08-31,196,207,5
2011-09-30,196,211,5
2011-10-31,196,211,5
2011-11-30,198,211,5
2011-12-31,199,210,5
2012-01-31,199,270,5
2012-02-28,196,268,7
2012-03-31,201,269,4
2012-04-30,201,269,4
2012-05-31,201,254,5
2012-06-30,201,253,5
2012-07-31,201,111,6
2012-08-31,203,107,5
2012-09-30,202,107,5
2012-10-31,203,100,5
2012-11-30,203,102,5
2012-12-31,202,100,5
2013-01-31,213,98,5
2013-02-28,213,99,5
2013-03-31,213,97,5
2013-04-30,211,99,5
2013-05-31,211,99,4
2013-06-30,211,189,5
2013-07-31,211,199,5
2013-08-31,214,199,5
2013-09-30,213,196,5
2013-10-31,215,195,5
2013-11-30,213,151,5
2013-12-31,217,195,5
2014-01-31,217,180,5
2014-02-28,217,180,5
