"Date","Troops","Police","Experts"
1990-11-30,13,NA,NA
1990-12-31,13,NA,NA
1991-01-31,13,NA,NA
1991-02-28,13,NA,NA
1991-03-31,14,NA,NA
1991-04-30,14,NA,NA
1991-05-31,12,NA,NA
1991-06-30,12,NA,NA
1991-07-31,12,NA,NA
1991-08-31,12,NA,NA
1991-09-30,12,NA,NA
1991-10-31,12,NA,NA
1991-11-30,23,NA,NA
1991-12-31,6,NA,NA
1992-01-31,6,NA,NA
1992-02-29,14,NA,NA
1992-03-31,15,NA,NA
1992-04-30,13,76,NA
1992-05-31,13,76,NA
1992-06-30,13,76,NA
1992-07-31,13,76,NA
1992-08-31,148,76,NA
1992-09-30,143,76,NA
1992-10-31,145,76,NA
1992-11-30,141,76,NA
1992-12-31,145,76,NA
1993-01-31,149,76,NA
1993-02-28,137,76,NA
1993-03-31,134,77,NA
1993-04-30,138,75,NA
1993-05-31,147,74,NA
1993-06-30,900,58,NA
1993-07-31,926,58,NA
1993-08-31,1880,4,NA
1993-09-30,1875,4,NA
1993-10-31,1857,4,NA
1993-11-30,1616,5,NA
1993-12-31,1346,5,NA
1994-01-31,1384,5,NA
1994-02-28,1224,5,NA
1994-03-31,2,5,NA
1994-04-30,2,5,NA
1994-05-31,2,5,NA
1994-06-30,NA,5,2
1994-07-31,NA,5,6
1994-08-31,NA,5,8
1994-09-30,3,5,5
1994-10-31,NA,5,10
1994-11-30,NA,5,10
1994-12-31,NA,5,10
1995-01-31,NA,9,10
1995-02-28,NA,15,10
1995-03-31,NA,14,10
1995-04-30,NA,14,10
1995-05-31,NA,13,10
1995-06-30,NA,14,10
1995-07-31,NA,5,10
1995-08-31,540,5,12
1995-09-30,487,11,12
1995-10-31,476,11,12
1995-11-30,499,11,12
1995-12-31,15,11,7
1996-01-31,15,11,10
1996-02-29,14,13,10
1996-03-31,15,12,10
1996-04-30,14,88,10
1996-05-31,14,88,10
1996-06-30,14,88,9
1996-07-31,14,153,8
1996-08-31,14,150,8
1996-09-30,15,149,8
1996-10-31,14,150,10
1996-11-30,15,151,10
1996-12-31,13,150,10
1997-01-31,14,149,10
1997-02-28,14,151,17
1997-03-31,14,151,15
1997-04-30,14,166,15
1997-05-31,14,162,10
1997-06-30,26,165,10
1997-07-31,14,165,10
1997-08-31,14,166,13
1997-09-30,14,167,10
1997-10-31,14,163,10
1997-11-30,14,166,10
1997-12-31,14,164,10
1998-01-31,14,114,10
1998-02-28,14,164,10
1998-03-31,14,164,10
1998-04-30,14,165,11
1998-05-31,14,166,9
1998-06-30,28,165,9
1998-07-31,13,164,11
1998-08-31,14,161,11
1998-09-30,14,160,12
1998-10-31,14,165,11
1998-11-30,14,165,11
1998-12-31,14,165,11
1999-01-31,14,164,11
1999-02-28,14,164,10
1999-03-31,14,164,10
1999-04-30,14,113,11
1999-05-31,14,114,11
1999-06-30,15,114,10
1999-07-31,14,130,10
1999-08-31,14,244,10
1999-09-30,14,321,10
1999-10-31,14,362,10
1999-11-30,14,362,10
1999-12-31,14,376,10
2000-01-31,14,373,10
2000-02-28,14,405,10
2000-03-31,14,427,10
2000-04-30,13,421,10
2000-05-31,14,419,10
2000-06-30,28,440,11
2000-07-31,14,457,11
2000-08-31,14,447,11
2000-09-30,14,448,11
2000-10-31,14,450,11
2000-11-30,14,476,11
2000-12-31,14,455,12
2001-01-31,18,477,11
2001-02-28,18,477,11
2001-03-31,17,488,11
2001-04-30,18,518,11
2001-05-31,4,471,11
2001-06-30,18,492,11
2001-07-31,18,436,11
2001-08-31,14,472,11
2001-09-30,14,448,11
2001-10-31,14,454,11
2001-11-30,14,507,11
2001-12-31,17,487,11
2002-01-31,14,491,11
2002-02-28,14,488,10
2002-03-31,14,454,11
2002-04-30,14,510,11
2002-05-31,14,540,11
2002-06-30,14,535,11
2002-07-31,14,496,11
2002-08-30,26,518,11
2002-09-30,26,511,11
2002-10-31,26,476,11
2002-11-30,34,476,3
2002-12-31,26,362,11
2003-01-31,34,403,3
2003-02-28,38,387,3
2003-03-30,24,363,3
2003-04-30,24,362,3
2003-05-31,44,355,3
2003-06-30,16,356,11
2003-07-31,11,353,11
2003-08-31,16,333,11
2003-09-30,16,329,11
2003-10-31,16,328,11
2003-11-30,16,333,12
2003-12-31,14,330,12
2004-01-31,14,261,12
2004-02-28,12,259,13
2004-03-31,16,282,13
2004-04-30,14,282,13
2004-05-31,13,267,14
2004-06-30,15,267,14
2004-07-31,16,266,15
2004-08-31,14,266,13
2004-09-30,14,278,15
2004-10-31,14,270,15
2004-11-30,16,266,15
2004-12-31,11,270,15
2005-01-31,11,270,15
2005-02-28,10,269,14
2005-03-31,13,268,14
2005-04-30,16,265,14
2005-05-31,26,213,17
2005-06-30,18,213,17
2005-07-31,25,246,17
2005-08-31,28,246,16
2005-09-30,32,249,16
2005-10-31,34,244,16
2005-11-30,31,257,17
2005-12-31,24,252,17
2006-01-31,22,233,22
2006-02-28,21,233,36
2006-03-31,16,231,36
2006-04-30,13,230,36
2006-05-31,26,231,39
2006-06-30,16,202,48
2006-07-31,13,197,45
