"Date","Troops","Police","Experts"
1990-11-30,892,NA,NA
1990-12-31,892,NA,NA
1991-01-31,892,NA,NA
1991-02-28,892,NA,NA
1991-03-31,895,NA,NA
1991-04-30,903,NA,NA
1991-05-31,902,NA,NA
1991-06-30,902,NA,NA
1991-07-31,896,NA,NA
1991-08-31,896,NA,NA
1991-09-30,912,NA,NA
1991-10-31,898,NA,NA
1991-11-30,900,NA,NA
1991-12-31,900,NA,NA
1992-01-31,897,NA,NA
1992-02-29,904,NA,NA
1992-03-31,896,8,NA
1992-04-30,960,19,NA
1992-05-31,960,19,NA
1992-06-30,960,19,NA
1992-07-31,960,19,NA
1992-08-31,1773,150,34
1992-09-30,1674,149,35
1992-10-31,1702,224,33
1992-11-30,1700,224,40
1992-12-31,1668,224,40
1993-01-31,1685,224,41
1993-02-28,1664,221,44
1993-03-31,1656,220,44
1993-04-30,1671,217,53
1993-05-31,1673,218,44
1993-06-30,1663,218,38
1993-07-31,1661,218,44
1993-08-31,1658,1,41
1993-09-30,1657,1,39
1993-10-31,787,NA,32
1993-11-30,790,NA,32
1993-12-31,800,NA,55
1994-01-31,804,NA,56
1994-02-28,1254,NA,56
1994-03-31,1610,NA,56
1994-04-30,1116,NA,57
1994-05-31,1113,6,54
1994-06-30,1110,6,69
1994-07-31,1354,46,63
1994-08-31,1611,46,94
1994-09-30,1625,56,96
1994-10-31,1630,56,99
1994-11-30,1625,56,101
1994-12-31,1623,56,101
1995-01-31,1634,16,86
1995-02-28,1634,10,86
1995-03-31,1634,24,80
1995-04-30,1631,18,79
1995-05-31,1629,18,76
1995-06-30,1609,18,78
1995-07-31,1605,18,77
1995-08-31,1604,18,76
1995-09-30,1105,18,78
1995-10-31,1000,18,74
1995-11-30,1000,18,71
1995-12-31,991,8,62
1996-01-31,989,8,52
1996-02-29,826,8,45
1996-03-31,661,107,25
1996-04-30,653,92,22
1996-05-31,652,90,22
1996-06-30,649,89,23
1996-07-31,649,89,23
1996-08-31,648,89,22
1996-09-30,654,89,22
1996-10-31,655,89,22
1996-11-30,656,89,22
1996-12-31,655,89,22
1997-01-31,654,89,22
1997-02-28,668,89,22
1997-03-31,652,89,29
1997-04-30,658,87,22
1997-05-31,658,87,21
1997-06-30,658,87,21
1997-07-31,658,86,17
1997-08-31,665,86,20
1997-09-30,656,86,19
1997-10-31,656,86,20
1997-11-30,656,86,20
1997-12-31,656,96,24
1998-01-31,655,96,18
1998-02-28,668,96,18
1998-03-31,656,96,18
1998-04-30,656,96,18
1998-05-31,652,96,21
1998-06-30,651,96,22
1998-07-31,651,116,22
1998-08-31,650,116,22
1998-09-30,654,116,20
1998-10-31,654,116,20
1998-11-30,653,107,20
1998-12-31,653,107,20
1999-01-31,653,106,18
1999-02-28,652,110,18
1999-03-31,653,100,17
1999-04-30,656,100,11
1999-05-31,656,100,18
1999-06-30,657,100,15
1999-07-31,656,96,19
1999-08-31,655,141,19
1999-09-30,658,155,18
1999-10-31,658,170,15
1999-11-30,658,170,15
1999-12-31,1440,252,19
2000-01-31,1440,243,18
2000-02-28,1438,346,21
2000-03-31,1430,346,21
2000-04-30,1432,263,21
2000-05-31,1438,297,25
2000-06-30,1567,297,25
2000-07-31,1566,279,25
2000-08-31,1565,336,25
2000-09-30,1572,301,33
2000-10-31,1577,285,32
2000-11-30,1577,308,32
2000-12-31,1583,389,30
2001-01-31,1583,389,29
2001-02-28,1583,389,29
2001-03-31,1642,379,31
2001-04-30,1649,378,28
2001-05-31,1668,378,34
2001-06-30,1664,347,34
2001-07-31,1665,348,36
2001-08-31,1721,380,38
2001-09-30,1737,342,37
2001-10-31,1912,342,41
2001-11-30,2144,382,49
2001-12-31,2140,273,49
2002-01-31,2140,275,50
2002-02-28,2151,332,51
2002-03-31,2141,300,49
2002-04-30,2141,300,49
2002-05-31,2139,300,50
2002-06-30,2141,301,47
2002-07-31,2140,300,48
2002-08-30,2132,296,50
2002-09-30,2123,296,51
2002-10-31,1990,250,49
2002-11-30,1990,250,46
2002-12-31,1989,186,44
2003-01-31,1928,184,48
2003-02-28,1924,157,49
2003-03-30,1994,137,45
2003-04-30,1927,87,46
2003-05-31,1855,42,47
2003-06-30,1913,41,48
2003-07-31,1912,47,48
2003-08-31,1908,74,45
2003-09-30,1906,73,45
2003-10-31,2179,73,43
2003-11-30,2173,76,48
2003-12-31,2174,73,59
2004-01-31,2173,72,58
2004-02-28,2171,72,58
2004-03-31,2366,70,58
2004-04-30,2627,100,63
2004-05-31,3095,100,64
2004-06-30,3135,102,69
2004-07-31,3169,108,64
2004-08-31,3011,108,66
2004-09-30,3159,96,65
2004-10-31,3175,128,69
2004-11-30,3160,128,69
2004-12-31,3154,107,61
2005-01-31,3163,107,65
2005-02-28,3162,109,65
2005-03-31,3143,109,68
2005-04-30,3141,111,66
2005-05-31,3136,109,68
2005-06-30,3142,109,68
2005-07-31,3145,112,68
2005-08-31,3144,112,64
2005-09-30,2391,109,62
2005-10-31,2406,110,61
2005-11-30,2384,107,63
2005-12-31,2374,84,62
2006-01-31,2373,85,64
2006-02-28,2375,118,66
2006-03-31,2380,136,68
2006-04-30,2374,127,60
2006-05-31,2376,127,61
2006-06-30,2380,122,71
2006-07-31,2412,112,68
2006-08-31,2508,101,65
2006-09-30,2520,100,60
2006-10-31,2506,101,66
2006-11-30,2528,100,67
2006-12-31,2531,100,63
2007-01-31,2719,122,66
2007-02-28,2719,113,67
2007-03-31,2720,122,65
2007-04-30,2719,121,65
2007-05-31,2727,130,69
2007-06-30,2738,133,76
2007-07-31,2744,127,72
2007-08-31,2743,120,69
2007-09-30,2743,137,70
2007-10-31,2744,144,67
2007-11-30,2740,147,67
2007-12-31,2740,571,68
2008-01-31,2756,570,73
2008-02-28,2758,614,64
2008-03-31,2636,607,69
2008-04-30,2588,583,69
2008-05-31,2592,582,65
2008-06-30,2603,578,70
2008-07-31,2605,577,65
2008-08-31,2610,577,59
2008-09-30,2584,569,70
2008-10-31,2609,587,71
2008-11-30,2610,688,69
2008-12-31,2600,687,75
2009-01-31,2600,614,69
2009-02-28,2609,576,65
2009-03-31,2681,663,66
2009-04-30,2690,583,59
2009-05-31,2808,539,65
2009-06-30,2805,292,62
2009-07-31,2817,287,56
2009-08-31,2812,286,64
2009-09-30,2814,282,58
2009-10-31,2815,524,59
2009-11-30,2817,446,64
2009-12-31,3133,444,56
2010-01-31,3414,442,60
2010-02-28,3406,442,63
2010-03-31,3406,470,58
2010-04-30,3405,478,62
2010-05-31,3399,470,62
2010-06-30,3247,440,61
2010-07-31,3121,549,58
2010-08-31,3121,543,60
2010-09-30,3092,500,55
2010-10-31,2854,346,64
2010-11-30,2843,337,60
2010-12-31,2575,337,54
2011-01-31,2569,335,59
2011-02-28,2580,332,56
2011-03-31,2580,330,61
2011-04-30,2590,323,53
2011-05-31,2591,309,53
2011-06-30,2591,232,58
2011-07-31,2592,209,58
2011-08-31,2591,225,58
2011-09-30,2593,343,55
2011-10-31,2592,346,57
2011-11-30,2611,347,50
2011-12-31,2591,346,52
2012-01-31,2593,341,53
2012-02-28,2577,337,57
2012-03-31,2554,341,57
2012-04-30,2571,294,55
2012-05-31,2575,291,62
2012-06-30,2575,287,62
2012-07-31,2575,164,59
2012-08-31,2574,174,60
2012-09-30,2564,183,59
2012-10-31,2564,182,58
2012-11-30,2567,183,55
2012-12-31,2566,193,55
2013-01-31,2567,190,52
2013-02-28,2573,193,55
2013-03-31,2574,196,59
2013-04-30,2573,194,60
2013-05-31,2565,257,60
2013-06-30,2569,230,60
2013-07-31,2700,222,59
2013-08-31,2700,222,57
2013-09-30,2708,198,62
2013-10-31,2704,198,59
2013-11-30,2703,199,57
2013-12-31,2710,235,60
2014-01-31,2685,234,59
2014-02-28,2568,237,59
