"Date","Troops","Police","Experts"
1991-04-30,7,NA,NA
1991-05-31,7,NA,NA
1991-06-30,7,NA,NA
1991-07-31,7,NA,NA
1991-08-31,7,NA,NA
1991-09-30,8,NA,NA
1991-10-31,8,NA,NA
1991-11-30,8,NA,NA
1991-12-31,8,NA,NA
1992-01-31,8,NA,NA
1992-02-29,8,NA,NA
1992-03-31,8,NA,NA
1992-04-30,8,NA,NA
1992-05-31,8,NA,NA
1992-06-30,8,NA,NA
1992-07-31,8,NA,NA
1992-08-31,NA,NA,7
1992-09-30,NA,NA,7
1992-10-31,NA,NA,7
1992-11-30,NA,NA,7
1992-12-31,NA,NA,7
1993-01-31,NA,NA,6
1993-02-28,NA,NA,7
1993-03-31,NA,NA,7
1993-04-30,NA,NA,6
1993-05-31,82,NA,7
1993-06-30,110,NA,11
1993-07-31,100,NA,7
1993-08-31,176,NA,7
1993-09-30,123,NA,7
1993-10-31,101,NA,7
1993-11-30,96,NA,7
1993-12-31,87,NA,7
1994-01-31,45,NA,7
1994-02-28,45,NA,7
1994-03-31,2,NA,7
1994-04-30,NA,NA,7
1994-05-31,NA,NA,8
1994-06-30,NA,NA,8
1994-07-31,NA,NA,8
1994-08-31,NA,NA,13
1994-09-30,NA,NA,13
1994-10-31,NA,NA,12
1994-11-30,NA,NA,12
1994-12-31,NA,NA,13
1995-01-31,NA,NA,13
1995-02-28,NA,NA,13
1995-03-31,NA,NA,13
1995-04-30,NA,NA,13
1995-05-31,NA,NA,12
1995-06-30,NA,NA,12
1995-07-31,NA,NA,12
1995-08-31,NA,NA,16
1995-09-30,NA,NA,16
1995-10-31,NA,NA,16
1995-11-30,NA,NA,16
1995-12-31,NA,NA,12
1996-01-31,NA,NA,12
1996-02-29,NA,4,12
1996-03-31,NA,7,7
1996-04-30,NA,7,9
1996-05-31,NA,9,9
1996-06-30,NA,9,9
1996-07-31,NA,9,9
1996-08-31,NA,9,9
1996-09-30,NA,9,9
1996-10-31,NA,9,9
1996-11-30,NA,9,9
1996-12-31,NA,9,9
1997-01-31,NA,9,10
1997-02-28,NA,5,10
1997-03-31,NA,5,10
1997-04-30,NA,5,10
1997-05-31,NA,9,10
1997-06-30,NA,9,9
1997-07-31,NA,9,9
1997-08-31,NA,4,10
1997-09-30,NA,4,9
1997-10-31,NA,4,9
1997-11-30,NA,4,9
1997-12-31,NA,13,9
1998-01-31,NA,13,9
1998-02-28,NA,13,10
1998-03-31,NA,13,10
1998-04-30,NA,13,10
1998-05-31,NA,15,10
1998-06-30,NA,15,10
1998-07-31,NA,15,10
1998-08-31,NA,15,10
1998-09-30,NA,15,10
1998-10-31,NA,15,10
1998-11-30,NA,6,6
1998-12-31,NA,6,6
1999-01-31,NA,15,8
1999-02-28,NA,15,9
1999-03-31,NA,15,10
1999-04-30,NA,15,11
1999-05-31,NA,9,11
1999-06-30,NA,15,11
1999-07-31,NA,15,11
1999-08-31,NA,15,12
1999-09-30,NA,15,11
1999-10-31,NA,15,11
1999-11-30,NA,15,11
1999-12-31,NA,15,11
2000-01-31,NA,7,11
2000-02-28,NA,7,11
2000-03-31,NA,7,10
2000-04-30,NA,6,9
2000-05-31,NA,6,10
2000-06-30,NA,25,10
2000-07-31,NA,22,10
2000-08-31,NA,22,10
2000-09-30,NA,22,10
2000-10-31,NA,22,9
2000-11-30,NA,24,10
2000-12-31,NA,30,10
2001-01-31,NA,31,9
2001-02-28,NA,31,9
2001-03-31,NA,31,11
2001-04-30,NA,30,11
2001-05-31,NA,30,11
2001-06-30,NA,9,11
2001-07-31,NA,9,10
2001-08-31,NA,9,10
2001-09-30,NA,9,10
2001-10-31,NA,22,10
2001-11-30,NA,22,8
2001-12-31,NA,14,10
2002-01-31,NA,14,10
2002-02-28,NA,31,11
2002-03-31,NA,31,11
2002-04-30,NA,31,11
2002-05-31,NA,30,9
