"Date","Troops","Police","Experts"
2006-04-30,NA,1,NA
2006-05-31,NA,1,NA
2006-06-30,NA,1,NA
2006-07-31,NA,1,NA
2006-08-31,NA,1,NA
2006-09-30,NA,1,NA
2006-10-31,NA,1,NA
2006-11-30,NA,1,NA
2006-12-31,NA,1,NA
2007-01-31,NA,1,NA
2007-02-28,NA,1,NA
2007-03-31,NA,1,NA
2007-08-31,NA,2,NA
2007-09-30,NA,3,NA
2007-10-31,NA,3,NA
2007-11-30,NA,3,NA
2007-12-31,NA,3,NA
2008-01-31,NA,3,NA
2008-02-28,NA,3,NA
2008-03-31,NA,3,NA
2008-04-30,NA,3,NA
2008-05-31,NA,3,NA
2008-06-30,NA,3,NA
2008-07-31,NA,3,NA
2008-08-31,NA,3,NA
2008-09-30,NA,3,NA
2008-10-31,NA,3,NA
2008-11-30,NA,3,NA
2008-12-31,NA,3,NA
2009-01-31,NA,3,NA
2009-02-28,NA,3,NA
2009-03-31,NA,3,NA
2009-04-30,NA,3,NA
2009-05-31,NA,3,NA
2009-06-30,NA,3,NA
2009-07-31,NA,3,NA
2009-12-31,NA,1,NA
2010-01-31,NA,1,NA
2010-02-28,NA,1,NA
2010-03-31,NA,1,NA
2010-04-30,NA,1,NA
2010-05-31,NA,1,NA
2010-06-30,NA,3,NA
2010-07-31,NA,3,NA
2010-08-31,NA,3,NA
2010-09-30,NA,3,NA
2010-10-31,NA,3,NA
2010-11-30,NA,3,NA
2010-12-31,NA,3,NA
2011-01-31,NA,3,NA
2011-02-28,NA,3,NA
2011-03-31,NA,3,NA
2011-04-30,NA,3,NA
2011-05-31,NA,3,NA
2011-06-30,NA,3,NA
2011-07-31,NA,3,NA
2011-08-31,NA,3,NA
2011-09-30,NA,3,NA
2011-10-31,NA,3,NA
2011-11-30,NA,3,NA
2011-12-31,NA,2,NA
2012-01-31,NA,2,NA
2012-02-28,NA,2,NA
2012-03-31,NA,2,NA
2012-04-30,NA,1,NA
2012-05-31,NA,1,NA
2012-06-30,NA,1,NA
2013-08-31,NA,1,NA
2013-09-30,NA,1,NA
2013-10-31,NA,1,NA
2013-11-30,NA,2,NA
2013-12-31,NA,2,NA
2014-01-31,NA,2,NA
2014-02-28,NA,2,NA
