"Date","Troops","Police","Experts"
1992-08-31,NA,10,NA
1992-09-30,NA,10,NA
1995-05-31,124,NA,NA
1995-06-30,124,NA,NA
1995-07-31,124,NA,NA
1995-08-31,124,NA,NA
1995-09-30,124,NA,NA
1995-10-31,121,NA,NA
1995-11-30,120,NA,NA
1995-12-31,61,NA,NA
1996-01-31,4,NA,NA
2004-04-30,NA,NA,3
2004-05-31,NA,NA,3
2004-06-30,NA,NA,4
2004-07-31,NA,NA,6
2004-08-31,1,NA,6
2004-09-30,1,NA,6
2004-10-31,71,NA,6
2004-11-30,71,NA,6
2004-12-31,71,NA,8
2005-01-31,71,NA,6
2005-02-28,71,NA,6
2005-03-31,178,NA,8
2005-04-30,175,NA,12
2005-05-31,178,NA,12
2005-06-30,191,NA,18
2005-07-31,190,NA,19
2005-08-31,190,NA,19
2005-09-30,190,NA,19
2005-10-31,188,NA,21
2005-11-30,186,NA,24
2005-12-31,189,NA,26
2006-01-31,193,NA,26
2006-02-28,191,NA,26
2006-03-31,191,NA,26
2006-04-30,191,NA,26
2006-05-31,191,NA,26
2006-06-30,193,NA,23
2006-07-31,191,NA,26
2006-08-31,190,NA,26
2006-09-30,190,NA,25
2006-10-31,211,NA,25
2006-11-30,213,NA,25
2006-12-31,211,NA,22
2007-01-31,212,NA,22
2007-02-28,212,NA,24
2007-03-31,212,NA,24
2007-04-30,213,NA,24
2007-05-31,213,NA,18
2007-06-30,228,NA,26
2007-07-31,227,NA,26
2007-08-31,227,NA,25
2007-09-30,227,NA,26
2007-10-31,227,NA,25
2007-11-30,227,NA,25
2007-12-31,227,NA,26
2008-01-31,226,NA,24
2008-02-28,225,NA,25
2008-03-31,229,NA,20
2008-04-30,229,NA,19
2008-05-31,228,NA,18
2008-06-30,227,NA,14
2008-07-31,226,NA,14
2008-08-31,225,NA,16
2008-09-30,226,NA,18
2008-10-31,228,NA,19
2008-11-30,228,NA,19
2008-12-31,227,NA,17
2009-01-31,227,NA,18
2009-02-28,228,NA,18
2009-03-31,226,NA,18
2009-04-30,224,NA,17
2009-05-31,269,NA,18
2009-06-30,270,NA,18
2009-07-31,272,NA,18
2009-08-31,273,NA,17
2009-09-30,273,NA,12
2009-10-31,271,NA,12
2009-11-30,269,NA,14
2009-12-31,270,NA,14
2010-01-31,270,NA,20
2010-02-28,270,NA,20
2010-03-31,278,NA,21
2010-04-30,302,NA,20
2010-05-31,302,NA,19
2010-06-30,302,NA,22
2010-07-31,301,NA,21
2010-08-31,300,NA,19
2010-09-30,301,NA,19
2010-10-31,300,NA,20
2010-11-30,303,NA,21
2010-12-31,301,NA,21
2011-01-31,302,NA,22
2011-02-28,302,NA,20
2011-03-31,302,NA,20
2011-04-30,303,NA,16
2011-05-31,302,NA,20
2011-06-30,303,NA,22
2011-07-31,302,NA,15
2011-08-31,302,NA,20
2011-09-30,301,NA,20
2011-10-31,292,NA,19
2011-11-30,294,NA,20
2011-12-31,292,NA,20
2012-01-31,290,NA,15
2012-02-28,290,NA,14
2012-03-31,291,NA,13
2012-04-30,292,NA,13
2012-05-31,294,NA,12
2012-06-30,294,NA,12
2012-07-31,294,NA,12
2012-08-31,294,NA,12
2012-09-30,294,NA,11
2012-10-31,293,NA,10
2012-11-30,292,NA,10
2012-12-31,291,NA,12
2013-01-31,293,NA,12
2013-02-28,294,NA,11
2013-03-31,294,NA,11
2013-04-30,293,NA,9
2013-05-31,293,NA,10
2013-06-30,293,NA,10
2013-07-31,293,NA,10
2013-08-31,293,NA,10
2013-09-30,291,NA,10
2013-10-31,291,NA,9
2013-11-30,291,NA,8
2013-12-31,291,NA,8
2014-01-31,288,NA,8
2014-02-28,289,NA,9
