"Date","Troops","Police","Experts"
1991-07-31,5,NA,NA
1991-08-31,5,NA,NA
1991-09-30,5,NA,NA
1991-10-31,5,NA,NA
1991-11-30,15,NA,NA
1991-12-31,15,NA,NA
1992-04-30,15,NA,NA
1992-05-31,15,NA,NA
1992-06-30,15,NA,NA
1992-07-31,15,NA,NA
1992-09-30,NA,NA,15
1992-10-31,NA,NA,15
1992-11-30,NA,NA,15
1992-12-31,NA,NA,15
1993-01-31,NA,NA,15
1993-02-28,NA,NA,12
1993-03-31,NA,NA,12
1993-04-30,NA,6,6
1993-05-31,NA,6,6
1993-06-30,NA,20,2
1993-07-31,NA,6,2
1993-08-31,NA,20,2
1993-09-30,NA,20,7
1993-10-31,NA,20,27
1993-11-30,NA,20,23
1993-12-31,NA,23,23
1994-01-31,NA,10,65
1994-02-28,NA,10,64
1994-03-31,NA,25,64
1994-04-30,NA,25,59
1994-05-31,37,55,59
1994-06-30,NA,64,59
1994-07-31,NA,65,59
1994-08-31,35,65,59
1994-09-30,35,65,59
1994-10-31,35,85,47
1994-11-30,35,85,44
1994-12-31,35,85,30
1995-01-31,35,35,31
1995-02-28,35,35,31
1995-03-31,NA,31,40
1995-04-30,NA,31,40
1995-05-31,NA,31,41
1995-06-30,NA,12,41
1995-07-31,NA,10,41
1995-08-31,NA,10,41
1995-09-30,NA,9,46
1995-10-31,NA,8,46
1995-11-30,NA,9,43
1995-12-31,NA,3,43
1996-01-31,NA,3,42
1996-02-29,NA,4,41
1996-03-31,NA,4,16
1996-04-30,NA,4,15
1996-05-31,NA,4,14
1996-06-30,NA,4,24
1996-07-31,NA,4,22
1996-08-31,NA,3,19
1996-09-30,NA,3,18
1996-10-31,NA,3,18
1996-11-30,NA,3,20
1996-12-31,NA,3,19
1997-01-31,NA,4,19
1997-02-28,NA,4,18
1997-03-31,NA,4,18
1997-04-30,NA,4,18
1997-05-31,NA,4,14
1997-06-30,NA,4,4
1997-07-31,NA,4,4
1997-08-31,NA,4,3
1997-09-30,NA,4,3
1997-10-31,NA,4,3
1997-11-30,NA,4,3
1997-12-31,NA,4,3
1998-01-31,NA,4,3
1998-02-28,NA,4,3
1998-03-31,NA,4,3
1998-04-30,NA,4,3
1998-05-31,NA,4,2
1998-06-30,NA,4,2
1998-07-31,NA,4,2
1998-08-31,NA,4,2
1998-09-30,NA,4,2
1998-10-31,NA,4,2
1998-11-30,NA,4,2
1998-12-31,NA,4,2
1999-01-31,NA,4,2
1999-02-28,NA,4,1
1999-03-31,NA,4,1
2003-10-31,650,NA,NA
2003-11-30,650,NA,NA
2003-12-31,650,NA,NA
2004-01-31,649,NA,NA
2004-02-28,649,NA,NA
2004-03-31,649,NA,NA
2004-04-30,649,NA,NA
2004-05-31,650,NA,NA
2010-06-30,NA,7,NA
2010-07-31,NA,7,NA
2010-08-31,NA,7,NA
2010-09-30,NA,7,NA
2010-10-31,NA,7,NA
2010-11-30,NA,7,NA
2010-12-31,NA,7,NA
2011-01-31,NA,7,NA
2011-02-28,NA,7,NA
2011-03-31,NA,7,NA
2011-04-30,NA,7,NA
2011-05-31,NA,7,NA
2013-09-30,2,NA,NA
2013-10-31,2,NA,NA
2013-11-30,2,NA,NA
2013-12-31,2,NA,NA
2014-01-31,2,NA,NA
2014-02-28,2,NA,NA
