"Date","Troops","Police","Experts"
1991-09-30,1,NA,NA
1991-10-31,1,NA,NA
1991-11-30,1,NA,NA
1991-12-31,1,NA,NA
1992-01-31,1,NA,NA
1992-02-29,1,NA,NA
1992-03-31,1,NA,NA
1992-04-30,2,NA,NA
1992-05-31,2,NA,NA
1992-06-30,2,NA,NA
1992-07-31,2,NA,NA
1992-08-31,NA,NA,1
1992-09-30,NA,NA,1
1992-10-31,NA,NA,1
1992-11-30,NA,NA,1
1992-12-31,NA,NA,1
1993-01-31,NA,NA,1
1993-02-28,NA,NA,1
1993-03-31,NA,NA,1
1993-04-30,NA,NA,1
1993-05-31,NA,NA,1
1993-06-30,NA,NA,1
1993-07-31,NA,NA,1
1993-08-31,NA,NA,1
1993-09-30,NA,NA,4
1993-10-31,NA,NA,1
1993-11-30,NA,NA,1
1993-12-31,NA,NA,1
1994-01-31,NA,NA,1
1994-02-28,NA,NA,1
1994-03-31,NA,NA,1
1994-04-30,NA,NA,1
1994-05-31,NA,NA,1
1994-06-30,NA,NA,1
1994-07-31,NA,NA,1
1994-08-31,NA,NA,16
1994-09-30,NA,NA,16
1994-10-31,NA,NA,16
1994-11-30,NA,NA,16
1994-12-31,NA,NA,16
1995-01-31,NA,NA,1
1995-02-28,NA,NA,1
1995-03-31,NA,NA,1
1995-04-30,NA,NA,1
1995-05-31,NA,NA,1
1995-06-30,NA,NA,1
1995-07-31,NA,NA,1
1995-08-31,NA,NA,1
1995-09-30,NA,NA,1
1995-10-31,NA,NA,1
1995-11-30,NA,NA,1
1995-12-31,NA,NA,1
1996-01-31,NA,NA,3
1996-02-29,NA,NA,3
1996-03-31,NA,NA,3
1996-04-30,NA,NA,3
1996-05-31,NA,NA,3
1996-06-30,NA,NA,3
1996-07-31,NA,NA,3
1996-08-31,NA,NA,3
1996-09-30,NA,NA,3
1996-10-31,NA,NA,3
1996-11-30,NA,NA,3
1996-12-31,NA,NA,3
1997-01-31,NA,NA,3
1997-02-28,NA,NA,3
1997-03-31,NA,NA,3
1997-04-30,NA,NA,3
1997-05-31,NA,NA,3
