"Date","Troops","Police","Experts"
1992-04-30,NA,10,NA
1992-05-31,NA,10,NA
1992-06-30,NA,10,NA
1992-07-31,NA,10,NA
1992-10-31,NA,10,NA
1992-11-30,NA,10,NA
1992-12-31,NA,10,NA
1993-01-31,NA,10,NA
1993-02-28,NA,10,NA
1993-03-31,NA,10,NA
1993-04-30,NA,10,NA
1993-05-31,NA,10,NA
1993-06-30,NA,8,NA
1993-07-31,NA,10,NA
1993-08-31,NA,8,NA
1993-09-30,NA,8,NA
1993-10-31,NA,8,NA
1993-11-30,NA,8,NA
1993-12-31,NA,8,NA
1994-01-31,NA,10,NA
1994-02-28,NA,10,NA
1994-03-31,NA,9,NA
1994-04-30,NA,8,NA
1994-05-31,NA,6,NA
1994-06-30,NA,6,16
1994-07-31,NA,5,5
1994-08-31,NA,5,5
1994-09-30,NA,8,NA
1994-10-31,NA,8,NA
1994-11-30,NA,2,NA
1994-12-31,NA,2,NA
1995-01-31,NA,1,NA
1995-02-28,NA,1,NA
1995-03-31,50,1,NA
1995-04-30,51,1,NA
1995-05-31,51,NA,NA
1995-06-30,51,NA,NA
1995-07-31,51,NA,NA
1995-08-31,51,NA,NA
1995-09-30,63,NA,NA
1995-10-31,61,NA,NA
1995-11-30,61,NA,NA
1995-12-31,61,NA,NA
