"Date","Troops","Police","Experts"
1990-11-30,15,NA,NA
1990-12-31,15,NA,NA
1991-01-31,15,NA,NA
1991-02-28,15,NA,NA
1991-04-30,7,NA,NA
1991-05-31,7,NA,NA
1991-06-30,7,NA,NA
1991-07-31,12,NA,NA
1991-08-31,12,NA,NA
1991-09-30,22,NA,NA
1991-10-31,22,NA,NA
1991-11-30,22,NA,NA
1991-12-31,22,NA,NA
1992-01-31,37,NA,NA
1992-02-29,37,NA,NA
1992-03-31,37,NA,NA
1992-04-30,22,NA,NA
1992-05-31,22,NA,NA
1992-06-30,22,NA,NA
1992-07-31,22,NA,NA
1992-08-31,NA,100,36
1992-09-30,NA,99,21
1992-10-31,NA,100,13
1992-11-30,NA,100,13
1992-12-31,NA,100,13
1993-01-31,NA,100,24
1993-02-28,NA,117,12
1993-03-31,NA,118,NA
1993-04-30,NA,118,NA
1993-05-31,NA,115,11
1993-06-30,NA,97,29
1993-07-31,NA,115,11
1993-08-31,NA,97,32
1993-09-30,NA,NA,36
1993-10-31,NA,NA,38
1993-11-30,NA,NA,37
1993-12-31,NA,NA,42
1994-01-31,NA,7,46
1994-02-28,NA,10,46
1994-03-31,NA,10,46
1994-04-30,NA,10,46
1994-05-31,NA,20,46
1994-06-30,NA,20,45
1994-07-31,NA,20,45
1994-08-31,NA,20,41
1994-09-30,NA,20,40
1994-10-31,NA,20,40
1994-11-30,NA,18,40
1994-12-31,NA,23,47
1995-01-31,NA,15,24
1995-02-28,NA,28,38
1995-03-31,NA,28,24
1995-04-30,NA,15,24
1995-05-31,NA,28,25
1995-06-30,NA,26,25
1995-07-31,NA,24,24
1995-08-31,NA,24,25
1995-09-30,NA,24,25
1995-10-31,NA,24,24
1995-11-30,NA,21,23
1995-12-31,NA,21,23
1996-01-31,39,16,23
1996-02-29,39,21,23
1996-03-31,39,52,23
1996-04-30,39,52,23
1996-05-31,39,52,23
1996-06-30,39,45,37
1996-07-31,39,52,37
1996-08-31,39,52,34
1996-09-30,39,41,34
1996-10-31,39,41,34
1996-11-30,39,41,34
1996-12-31,39,41,34
1997-01-31,39,42,32
1997-02-28,39,42,33
1997-03-31,39,40,21
1997-04-30,39,39,32
1997-05-31,39,41,32
1997-06-30,39,40,32
1997-07-31,39,54,22
1997-08-31,39,54,21
1997-09-30,39,55,21
1997-10-31,105,44,20
1997-11-30,105,54,20
1997-12-31,105,43,14
1998-01-31,104,43,14
1998-02-28,104,43,15
1998-03-31,105,44,15
1998-04-30,107,44,13
1998-05-31,107,44,14
1998-06-30,107,44,14
1998-07-31,105,43,13
1998-08-31,105,43,13
1998-09-30,107,43,13
1998-10-31,107,45,13
1998-11-30,107,45,13
1998-12-31,107,45,13
1999-01-31,107,40,12
1999-02-28,107,38,11
1999-03-31,109,37,10
1999-04-30,109,37,10
1999-05-31,109,37,10
1999-06-30,109,37,11
1999-07-31,108,41,26
1999-08-31,109,41,21
1999-09-30,111,41,29
1999-10-31,111,53,27
1999-11-30,111,53,27
1999-12-31,110,50,17
2000-01-31,109,50,14
2000-02-28,109,50,26
2000-03-31,111,50,25
2000-04-30,111,47,25
2000-05-31,110,47,28
2000-06-30,111,49,28
2000-07-31,111,39,28
2000-08-31,111,39,28
2000-09-30,112,39,31
2000-10-31,112,21,31
2000-11-30,112,22,31
2000-12-31,113,22,31
2001-01-31,112,20,31
2001-02-28,112,20,31
2001-03-31,112,20,32
2001-04-30,114,16,32
2001-05-31,114,19,32
2001-06-30,116,19,33
2001-07-31,118,20,33
2001-08-31,118,19,33
2001-09-30,121,19,33
2001-10-31,121,14,32
2001-11-30,121,18,32
2001-12-31,121,18,32
2002-01-31,121,18,31
2002-02-28,121,18,31
2002-03-31,121,18,31
2002-04-30,121,18,31
2002-05-31,121,18,32
2002-06-30,119,18,30
2002-07-31,119,17,30
2002-08-30,118,17,20
2002-09-30,116,17,22
2002-10-31,115,17,19
2002-11-30,117,17,21
2002-12-31,116,5,21
2003-01-31,116,5,20
2003-02-28,116,5,22
2003-03-30,116,5,16
2003-04-30,116,5,17
2003-05-31,116,5,16
2003-06-30,116,5,15
2003-07-31,116,5,15
2003-08-31,116,5,16
2003-09-30,120,5,17
2003-10-31,120,5,16
2003-11-30,120,7,16
2003-12-31,120,7,15
2004-01-31,118,7,16
2004-02-28,121,7,16
2004-03-31,121,7,15
2004-04-30,122,7,16
2004-05-31,122,6,15
2004-06-30,122,6,16
2004-07-31,121,12,16
2004-08-31,121,12,16
2004-09-30,121,12,12
2004-10-31,121,12,16
2004-11-30,122,12,16
2004-12-31,122,12,16
2005-01-31,78,12,16
2005-02-28,78,12,16
2005-03-31,82,12,16
2005-04-30,82,12,15
2005-05-31,84,11,16
2005-06-30,84,11,15
2005-07-31,85,9,15
2005-08-31,83,9,13
2005-09-30,84,9,15
2005-10-31,83,11,15
2005-11-30,82,10,15
2005-12-31,82,10,14
2006-01-31,83,11,15
2006-02-28,84,11,15
2006-03-31,84,10,15
2006-04-30,84,10,15
2006-05-31,84,9,15
2006-06-30,84,9,15
2006-07-31,84,7,15
2006-08-31,84,7,17
2006-09-30,84,7,12
2006-10-31,84,6,8
2006-11-30,86,5,15
2006-12-31,88,5,15
2007-01-31,88,5,15
2007-02-28,88,15,15
2007-03-31,88,14,15
2007-04-30,88,12,15
2007-05-31,88,12,15
2007-06-30,88,15,15
2007-07-31,88,15,18
2007-08-31,87,15,15
2007-09-30,88,15,15
2007-10-31,88,15,14
2007-11-30,88,15,14
2007-12-31,88,15,15
2008-01-31,88,15,15
2008-02-28,88,15,15
2008-03-31,88,15,15
2008-04-30,88,15,15
2008-05-31,88,15,15
2008-06-30,88,14,15
2008-07-31,88,14,16
2008-08-31,88,12,13
2008-09-30,88,11,13
2008-10-31,81,10,20
2008-11-30,87,3,13
2008-12-31,87,2,14
2009-01-31,87,NA,13
2009-02-28,87,NA,13
2009-03-31,88,NA,12
2009-04-30,88,NA,10
2009-05-31,89,NA,12
2009-06-30,88,NA,5
2009-07-31,88,1,4
2009-08-31,88,1,7
2009-09-30,88,1,7
2009-10-31,88,1,7
2009-11-30,88,1,7
2009-12-31,88,NA,6
2010-01-31,88,NA,6
2010-02-28,88,NA,7
2010-03-31,88,NA,7
