"Date","Troops","Police","Experts"
1997-10-31,NA,3,NA
1997-11-30,NA,3,NA
1997-12-31,NA,3,NA
1998-01-31,NA,3,NA
1998-02-28,NA,3,NA
1998-03-31,NA,3,NA
1998-04-30,NA,2,NA
1998-05-31,NA,2,NA
1998-06-30,NA,2,NA
1998-07-31,NA,2,NA
1998-08-31,NA,3,NA
1998-09-30,NA,3,NA
1998-10-31,NA,3,NA
1998-11-30,NA,3,NA
1998-12-31,NA,3,NA
1999-01-31,NA,3,NA
1999-02-28,NA,3,NA
1999-03-31,NA,3,NA
1999-04-30,NA,3,NA
1999-05-31,NA,3,NA
1999-06-30,NA,3,NA
1999-07-31,NA,2,NA
1999-08-31,NA,2,NA
1999-09-30,NA,2,NA
1999-10-31,NA,5,NA
1999-11-30,NA,5,NA
1999-12-31,NA,4,NA
2000-01-31,NA,5,NA
2000-02-28,NA,5,NA
2000-03-31,NA,5,NA
2000-04-30,NA,5,NA
2000-05-31,NA,5,NA
2000-06-30,NA,5,NA
2000-07-31,NA,3,NA
2000-08-31,NA,5,NA
2000-09-30,NA,5,NA
2000-10-31,NA,5,NA
2000-11-30,NA,5,NA
2000-12-31,NA,5,NA
2001-01-31,NA,5,NA
2001-02-28,NA,5,NA
2001-03-31,NA,8,NA
2001-04-30,NA,8,NA
2001-05-31,NA,6,NA
2001-06-30,NA,6,NA
2001-07-31,NA,6,NA
2001-08-31,NA,5,NA
2001-09-30,NA,5,NA
2001-10-31,NA,5,NA
2001-11-30,NA,6,NA
2001-12-31,NA,6,NA
2002-01-31,NA,6,NA
2002-02-28,NA,6,NA
2002-03-31,NA,6,NA
2002-04-30,NA,6,NA
2002-05-31,NA,6,NA
2002-06-30,NA,6,NA
2002-07-31,NA,6,NA
2002-08-30,NA,5,NA
2002-09-30,NA,5,NA
2002-10-31,NA,5,NA
2002-11-30,NA,5,NA
2002-12-31,NA,1,NA
2003-01-31,NA,1,NA
2003-02-28,NA,1,NA
2003-03-30,NA,1,NA
2003-04-30,NA,1,NA
2003-05-31,NA,1,NA
2008-06-30,NA,2,NA
2008-07-31,NA,2,NA
2008-08-31,NA,1,NA
2008-09-30,NA,2,NA
2008-10-31,NA,2,NA
2008-11-30,NA,2,NA
2008-12-31,NA,1,NA
2009-01-31,NA,2,NA
2009-02-28,NA,2,NA
2009-03-31,NA,2,NA
2009-04-30,NA,2,NA
2009-05-31,NA,2,NA
2009-06-30,NA,2,NA
2009-07-31,NA,2,NA
2009-08-31,NA,2,NA
2009-09-30,NA,2,NA
2009-10-31,NA,2,NA
2009-11-30,NA,2,NA
2009-12-31,NA,2,NA
2010-01-31,NA,2,NA
2010-02-28,NA,2,NA
2010-03-31,NA,2,NA
2010-04-30,NA,2,NA
2010-05-31,NA,2,NA
2010-06-30,NA,2,NA
2010-07-31,NA,2,NA
2010-08-31,NA,2,NA
2010-09-30,NA,2,NA
2010-10-31,NA,2,NA
2010-11-30,NA,2,NA
