"Date","Troops","Police","Experts"
1990-11-30,40,NA,NA
1990-12-31,40,NA,NA
1991-01-31,40,NA,NA
1991-02-28,40,NA,NA
1991-03-31,18,NA,NA
1991-04-30,26,NA,NA
1991-05-31,24,NA,NA
1991-06-30,24,NA,NA
1991-07-31,33,NA,NA
1991-08-31,33,NA,NA
1991-09-30,33,NA,NA
1991-10-31,33,NA,NA
1991-11-30,35,NA,NA
1991-12-31,35,NA,NA
1992-01-31,47,NA,NA
1992-02-29,38,NA,NA
1992-03-31,65,NA,NA
1992-04-30,76,20,NA
1992-05-31,76,20,NA
1992-06-30,76,20,NA
1992-07-31,76,20,NA
1992-08-31,1350,60,45
1992-09-30,1319,197,43
1992-10-31,1347,366,40
1992-11-30,1346,366,37
1992-12-31,1348,366,36
1993-01-31,1342,429,28
1993-02-28,1338,428,28
1993-03-31,1333,425,28
1993-04-30,1339,423,31
1993-05-31,2178,421,46
1993-06-30,2227,413,47
1993-07-31,2192,417,55
1993-08-31,2420,4,49
1993-09-30,5016,1,47
1993-10-31,5901,2,32
1993-11-30,5854,NA,29
1993-12-31,5876,NA,26
1994-01-31,4954,NA,25
1994-02-28,5849,NA,48
1994-03-31,5843,NA,48
1994-04-30,5835,NA,31
1994-05-31,5885,NA,29
1994-06-30,5341,75,47
1994-07-31,5289,75,47
1994-08-31,5051,75,47
1994-09-30,5041,75,47
1994-10-31,4797,75,34
1994-11-30,5101,75,33
1994-12-31,432,75,33
1995-01-31,823,NA,33
1995-02-28,808,NA,49
1995-03-31,956,19,49
1995-04-30,1050,19,50
1995-05-31,1271,20,52
1995-06-30,1320,19,49
1995-07-31,2120,19,50
1995-08-31,2120,18,50
1995-09-30,2129,18,51
1995-10-31,2134,15,50
1995-11-30,2018,13,53
1995-12-31,2012,13,53
1996-01-31,1917,13,56
1996-02-29,1916,13,58
1996-03-31,1634,77,39
1996-04-30,1070,81,29
1996-05-31,1100,80,29
1996-06-30,1099,86,29
1996-07-31,1043,95,28
1996-08-31,1080,95,27
1996-09-30,1081,91,28
1996-10-31,1081,92,28
1996-11-30,1081,94,33
1996-12-31,1081,92,38
1997-01-31,1081,91,37
1997-02-28,1080,91,40
