"Date","Troops","Police","Experts"
1990-11-30,5,NA,NA
1990-12-31,5,NA,NA
1991-01-31,5,NA,NA
1991-02-28,5,NA,NA
1991-04-30,7,NA,NA
1991-05-31,7,NA,NA
1991-06-30,7,NA,NA
1991-07-31,7,NA,NA
1991-08-31,7,NA,NA
1991-09-30,7,NA,NA
1991-10-31,7,NA,NA
1991-11-30,9,NA,NA
1991-12-31,9,NA,NA
1992-01-31,9,NA,NA
1992-02-29,9,NA,NA
1992-03-31,859,8,NA
1992-04-30,887,75,NA
1992-05-31,887,75,NA
1992-06-30,887,75,NA
1992-07-31,887,75,NA
1992-08-31,1735,150,28
1992-09-30,1735,150,28
1992-10-31,1735,225,28
1992-11-30,1735,225,28
1992-12-31,1737,225,28
1993-01-31,1671,224,44
1993-02-28,1736,225,28
1993-03-31,1735,224,23
1993-04-30,1734,224,23
1993-05-31,1795,224,23
1993-06-30,1793,224,23
1993-07-31,1795,224,23
1993-08-31,1790,99,23
1993-09-30,1789,NA,19
1993-10-31,858,NA,33
1993-11-30,NA,NA,32
1993-12-31,NA,NA,32
1994-01-31,NA,NA,32
1994-02-28,NA,NA,32
1994-03-31,NA,NA,32
1994-04-30,NA,NA,32
1994-05-31,4,NA,6
1994-06-30,4,NA,41
1994-07-31,4,15,37
1994-08-31,7,NA,37
1994-09-30,227,NA,37
1994-10-31,226,33,16
1994-11-30,226,30,41
1994-12-31,225,30,41
1995-01-31,221,15,40
1995-02-28,220,15,40
1995-03-31,220,15,37
1995-04-30,220,15,37
1995-05-31,236,15,37
1995-06-30,237,15,37
1995-07-31,239,15,36
1995-08-31,241,15,36
1995-09-30,710,15,36
1995-10-31,707,15,36
1995-11-30,705,NA,38
1995-12-31,704,NA,38
1996-01-31,623,40,26
1996-02-29,533,33,22
1996-03-31,541,74,21
1996-04-30,541,59,21
1996-05-31,545,59,21
1996-06-30,388,59,22
1996-07-31,4,59,22
1996-08-31,127,59,22
1996-09-30,126,59,22
1996-10-31,127,59,24
1996-11-30,126,59,20
1996-12-31,126,59,20
1997-01-31,127,59,20
1997-02-28,126,31,20
1997-03-31,126,31,20
1997-04-30,126,45,20
1997-05-31,55,45,20
1997-06-30,51,45,20
1997-07-31,51,45,19
1997-08-31,51,45,19
1997-09-30,51,45,19
1997-10-31,51,45,23
1997-11-30,51,45,18
1997-12-31,51,45,22
1998-01-31,NA,45,17
1998-02-28,51,26,17
1998-03-31,51,26,17
1998-04-30,51,28,17
1998-05-31,51,28,17
1998-06-30,51,28,17
1998-07-31,51,28,16
1998-08-31,51,22,17
1998-09-30,51,22,15
1998-10-31,51,22,15
1998-11-30,51,22,15
1998-12-31,51,22,15
1999-01-31,51,22,15
1999-02-28,51,22,12
1999-03-31,NA,22,11
1999-04-30,NA,31,13
1999-05-31,NA,31,13
1999-06-30,NA,31,13
1999-07-31,NA,31,13
1999-08-31,NA,41,13
1999-09-30,NA,30,12
1999-10-31,NA,30,22
1999-11-30,NA,30,22
1999-12-31,NA,30,22
2000-01-31,NA,30,20
2000-02-28,NA,30,20
2000-03-31,NA,30,20
2000-04-30,NA,NA,20
2000-05-31,NA,NA,20
2000-06-30,NA,28,20
2000-07-31,NA,28,20
2000-08-31,NA,28,20
2000-09-30,NA,28,20
2000-10-31,NA,28,20
2000-11-30,NA,28,21
2000-12-31,NA,28,21
2001-01-31,NA,28,21
2001-02-28,NA,28,21
2001-03-31,NA,28,21
2001-04-30,NA,28,21
2001-05-31,3,28,24
2001-06-30,3,17,24
2001-07-31,3,27,24
2001-08-31,3,27,24
2001-09-30,3,27,24
2001-10-31,3,27,29
2001-11-30,3,27,29
2001-12-31,3,27,29
2002-01-31,7,27,25
2002-02-28,3,27,29
2002-03-31,3,27,29
2002-04-30,3,27,29
2002-05-31,7,21,25
2002-06-30,3,21,29
2002-07-31,4,19,29
2002-08-30,4,18,29
2002-09-30,4,18,29
2002-10-31,4,11,29
2002-11-30,4,11,28
2002-12-31,4,1,29
2003-01-31,4,1,29
2003-02-28,4,1,29
2003-03-30,4,NA,23
