"Date","Troops","Police","Experts"
1990-11-30,814,NA,NA
1990-12-31,814,NA,NA
1991-01-31,814,NA,NA
1991-02-28,814,NA,NA
1991-03-31,792,NA,NA
1991-04-30,813,NA,NA
1991-05-31,804,NA,NA
1991-06-30,810,NA,NA
1991-07-31,809,NA,NA
1991-08-31,804,NA,NA
1991-09-30,815,10,NA
1991-10-31,827,NA,NA
1991-11-30,831,10,NA
1991-12-31,824,10,NA
1992-01-31,827,10,NA
1992-02-29,813,10,NA
1992-03-31,802,10,NA
1992-04-30,836,64,NA
1992-05-31,836,64,NA
1992-06-30,836,64,NA
1992-07-31,836,64,NA
1992-08-31,750,72,73
1992-09-30,752,71,67
1992-10-31,753,72,55
1992-11-30,749,20,43
1992-12-31,686,20,54
1993-01-31,681,66,51
1993-02-28,681,46,45
1993-03-31,673,66,45
1993-04-30,764,60,56
1993-05-31,688,60,51
1993-06-30,687,20,50
1993-07-31,687,60,48
1993-08-31,690,20,52
1993-09-30,758,20,45
1993-10-31,783,36,46
1993-11-30,748,35,40
1993-12-31,769,35,43
1994-01-31,765,33,43
1994-02-28,783,35,42
1994-03-31,776,55,42
1994-04-30,847,55,43
1994-05-31,779,59,43
1994-06-30,780,59,45
1994-07-31,774,58,44
1994-08-31,773,55,46
1994-09-30,685,55,48
1994-10-31,678,41,44
1994-11-30,761,47,44
1994-12-31,690,35,44
1995-01-31,687,35,43
1995-02-28,689,35,43
1995-03-31,674,35,44
1995-04-30,674,35,44
1995-05-31,672,41,42
1995-06-30,674,41,42
1995-07-31,674,48,41
1995-08-31,674,48,41
1995-09-30,674,48,41
1995-10-31,660,47,40
1995-11-30,660,47,37
1995-12-31,660,46,38
1996-01-31,665,45,36
1996-02-29,655,61,34
1996-03-31,652,47,33
1996-04-30,744,53,34
1996-05-31,658,66,35
1996-06-30,654,61,35
1996-07-31,654,60,34
1996-08-31,650,60,33
1996-09-30,650,60,33
1996-10-31,657,60,32
1996-11-30,656,60,31
1996-12-31,654,60,31
1997-01-31,653,64,31
1997-02-28,651,61,31
1997-03-31,650,61,31
1997-04-30,722,60,31
1997-05-31,722,61,31
1997-06-30,644,61,32
1997-07-31,645,60,35
1997-08-31,635,60,32
1997-09-30,632,61,32
1997-10-31,756,60,32
1997-11-30,642,62,32
1997-12-31,640,60,33
1998-01-31,636,60,28
1998-02-28,630,60,28
1998-03-31,626,59,29
1998-04-30,704,60,29
1998-05-31,643,61,34
1998-06-30,638,59,28
1998-07-31,638,61,27
1998-08-31,638,61,28
1998-09-30,631,60,30
1998-10-31,744,49,27
1998-11-30,640,49,27
1998-12-31,640,49,27
1999-01-31,635,49,27
1999-02-28,626,50,29
1999-03-31,624,50,25
1999-04-30,719,42,25
1999-05-31,629,42,23
1999-06-30,627,50,23
1999-07-31,629,50,24
1999-08-31,628,60,24
1999-09-30,618,50,30
1999-10-31,685,50,30
1999-11-30,685,50,30
1999-12-31,614,50,30
2000-01-31,610,48,30
2000-02-28,635,50,29
2000-03-31,636,50,30
2000-04-30,712,48,30
2000-05-31,653,50,28
2000-06-30,703,50,30
2000-07-31,706,50,29
2000-08-31,702,53,30
2000-09-30,739,53,26
2000-10-31,728,53,26
2000-11-30,651,53,26
2000-12-31,703,53,26
2001-01-31,653,50,28
2001-02-28,653,50,28
2001-03-31,646,55,27
2001-04-30,653,50,27
2001-05-31,648,49,24
2001-06-30,603,49,25
2001-07-31,599,55,29
2001-08-31,601,55,29
2001-09-30,585,55,30
2001-10-31,584,55,29
2001-11-30,125,55,29
2001-12-31,271,55,29
2002-01-31,272,55,30
2002-02-28,271,55,30
2002-03-31,270,55,31
2002-04-30,269,54,30
2002-05-31,271,55,29
2002-06-30,267,55,30
2002-07-31,265,48,31
2002-08-30,263,48,31
2002-09-30,264,48,31
2002-10-31,225,48,31
2002-11-30,223,48,33
2002-12-31,226,20,31
2003-01-31,226,20,31
2003-02-28,227,20,32
2003-03-30,226,20,25
2003-04-30,227,20,24
2003-05-31,226,20,24
2003-06-30,15,20,27
2003-07-31,14,20,27
2003-08-31,14,20,27
2003-09-30,15,20,28
2003-10-31,17,20,28
2003-11-30,141,20,26
2003-12-31,486,20,28
2004-01-31,485,20,26
2004-02-28,445,20,26
2004-03-31,445,20,25
2004-04-30,440,20,25
2004-05-31,457,20,11
2004-06-30,441,20,25
2004-07-31,436,20,23
2004-08-31,445,20,24
2004-09-30,437,19,25
2004-10-31,437,19,25
2004-11-30,437,19,27
2004-12-31,441,19,25
2005-01-31,432,19,25
2005-02-28,437,19,27
2005-03-31,439,19,26
2005-04-30,423,18,25
2005-05-31,445,18,11
2005-06-30,446,18,11
2005-07-31,419,18,11
2005-08-31,431,18,13
2005-09-30,417,18,13
2005-10-31,408,18,26
2005-11-30,434,18,14
2005-12-31,429,18,13
2006-01-31,427,18,26
2006-02-28,437,18,25
2006-03-31,423,18,26
2006-04-30,423,18,26
2006-05-31,336,18,26
2006-06-30,336,18,13
2006-07-31,344,18,12
2006-08-31,360,18,12
2006-09-30,328,18,25
2006-10-31,363,18,24
2006-11-30,489,18,25
2006-12-31,489,18,24
2007-01-31,492,18,26
2007-02-28,498,18,25
2007-03-31,490,18,25
2007-04-30,496,18,26
2007-05-31,157,18,26
2007-06-30,166,18,26
2007-07-31,166,18,26
2007-08-31,171,18,26
2007-09-30,168,18,27
2007-10-31,168,18,26
2007-11-30,168,18,25
2007-12-31,167,21,25
2008-01-31,8,21,26
2008-02-28,7,21,25
2008-03-31,7,21,24
2008-04-30,7,21,26
2008-05-31,7,19,24
2008-06-30,7,19,24
2008-07-31,7,19,25
2008-08-31,7,19,24
2008-09-30,7,19,24
2008-10-31,13,19,20
2008-11-30,6,19,23
2008-12-31,8,19,24
2009-01-31,9,18,24
2009-02-28,9,18,23
2009-03-31,413,18,22
2009-04-30,426,18,23
2009-05-31,426,18,20
2009-06-30,426,19,20
2009-07-31,425,18,20
2009-08-31,422,18,20
2009-09-30,435,18,20
2009-10-31,427,18,20
2009-11-30,428,18,20
2009-12-31,426,18,20
2010-01-31,436,18,20
2010-02-28,427,18,20
2010-03-31,426,18,19
2010-04-30,426,18,20
2010-05-31,32,18,20
2010-06-30,22,18,22
2010-07-31,18,18,20
2010-08-31,18,18,20
2010-09-30,18,18,20
2010-10-31,19,32,20
2010-11-30,19,18,20
2010-12-31,9,18,20
2011-01-31,9,18,20
2011-02-28,9,18,20
2011-03-31,9,18,20
2011-04-30,9,18,21
2011-05-31,9,18,19
2011-06-30,445,18,19
2011-07-31,453,18,19
2011-08-31,443,18,19
2011-09-30,445,18,20
2011-10-31,453,18,22
2011-11-30,455,18,21
2011-12-31,455,18,20
2012-01-31,455,18,20
2012-02-28,454,18,20
2012-03-31,451,18,20
2012-04-30,452,18,22
2012-05-31,356,17,26
2012-06-30,355,17,28
2012-07-31,363,17,23
2012-08-31,355,12,20
2012-09-30,354,12,19
2012-10-31,353,12,19
2012-11-30,360,12,19
2012-12-31,360,12,20
2013-01-31,359,12,21
2013-02-28,362,12,17
2013-03-31,362,12,17
2013-04-30,359,12,17
2013-05-31,363,12,17
2013-06-30,366,12,17
2013-07-31,366,12,17
2013-08-31,366,12,18
2013-09-30,480,12,18
2013-10-31,479,12,17
2013-11-30,331,12,17
2013-12-31,330,12,17
2014-01-31,325,12,17
2014-02-28,325,12,17
