"Date","Troops","Police","Experts"
1990-11-30,79,NA,NA
1990-12-31,79,NA,NA
1991-01-31,79,NA,NA
1991-02-28,79,NA,NA
1991-03-31,63,NA,NA
1991-04-30,75,NA,NA
1991-05-31,82,NA,NA
1991-06-30,78,NA,NA
1991-07-31,73,NA,NA
1991-08-31,66,NA,NA
1991-09-30,80,10,NA
1991-10-31,79,NA,NA
1991-11-30,85,10,NA
1991-12-31,79,10,NA
1992-01-31,80,10,NA
1992-02-29,79,10,NA
1992-03-31,79,8,NA
1992-04-30,27,9,NA
1992-05-31,27,9,NA
1992-06-30,27,9,NA
1992-07-31,27,9,NA
1992-08-31,50,84,25
1992-09-30,51,84,24
1992-10-31,56,84,25
1992-11-30,56,85,25
1992-12-31,49,85,25
1993-01-31,50,85,25
1993-02-28,82,85,25
1993-03-31,991,85,25
1993-04-30,1103,72,25
1993-05-31,3329,85,25
1993-06-30,3549,84,24
1993-07-31,3549,84,24
1993-08-31,4241,10,26
1993-09-30,3749,12,25
1993-10-31,3699,12,25
1993-11-30,3515,10,26
1993-12-31,3398,10,26
1994-01-31,3231,10,26
1994-02-28,2703,10,26
1994-03-31,1014,10,25
1994-04-30,264,10,24
1994-05-31,264,14,25
1994-06-30,287,5,28
1994-07-31,277,5,27
1994-08-31,284,5,32
1994-09-30,281,13,27
1994-10-31,276,8,27
1994-11-30,251,3,25
1994-12-31,250,3,25
1995-01-31,47,3,25
1995-02-28,44,3,25
1995-03-31,44,3,25
1995-04-30,44,3,27
1995-05-31,44,NA,27
1995-06-30,44,NA,27
1995-07-31,44,NA,27
1995-08-31,44,NA,25
1995-09-30,44,NA,26
1995-10-31,45,NA,26
1995-11-30,49,NA,28
1995-12-31,49,NA,29
1996-01-31,49,NA,29
1996-02-29,49,NA,29
1996-03-31,52,NA,28
1996-04-30,52,NA,28
1996-05-31,54,NA,28
1996-06-30,49,NA,28
1996-07-31,50,NA,28
1996-08-31,49,NA,27
1996-09-30,49,NA,28
1996-10-31,49,NA,26
1996-11-30,50,NA,27
1996-12-31,45,NA,26
1997-01-31,46,NA,26
1997-02-28,46,NA,26
1997-03-31,68,NA,25
1997-04-30,68,NA,25
1997-05-31,68,23,25
1997-06-30,46,23,25
1997-07-31,46,23,26
1997-08-31,42,23,25
1997-09-30,46,23,26
1997-10-31,50,23,26
1997-11-30,49,23,25
1997-12-31,46,23,25
1998-01-31,46,23,25
1998-02-28,49,23,25
1998-03-31,46,23,25
1998-04-30,46,23,25
1998-05-31,46,23,24
1998-06-30,52,22,24
1998-07-31,46,23,24
1998-08-31,47,23,22
1998-09-30,46,22,26
1998-10-31,47,23,24
1998-11-30,46,23,25
1998-12-31,46,23,25
1999-01-31,46,23,25
1999-02-28,48,23,20
1999-03-31,46,22,25
1999-04-30,46,22,25
1999-05-31,46,22,25
1999-06-30,47,23,24
1999-07-31,48,23,26
1999-08-31,48,32,25
1999-09-30,48,84,24
1999-10-31,47,75,25
1999-11-30,47,75,25
1999-12-31,46,67,20
2000-01-31,50,72,27
2000-02-28,46,71,22
2000-03-31,46,71,27
2000-04-30,46,72,26
2000-05-31,46,85,27
2000-06-30,46,87,27
2000-07-31,59,85,28
2000-08-31,66,84,29
2000-09-30,62,75,32
2000-10-31,60,75,32
2000-11-30,159,91,32
2000-12-31,159,84,32
2001-01-31,219,84,33
2001-02-28,219,84,33
2001-03-31,210,81,34
2001-04-30,212,87,33
2001-05-31,212,80,30
2001-06-30,203,80,32
2001-07-31,192,75,29
2001-08-31,194,81,31
2001-09-30,199,78,31
2001-10-31,214,73,30
2001-11-30,200,78,32
2001-12-31,199,89,32
2002-01-31,259,94,31
2002-02-28,239,94,30
2002-03-31,200,90,30
2002-04-30,204,91,31
2002-05-31,260,94,30
2002-06-30,206,93,30
2002-07-31,189,96,29
2002-08-30,191,93,31
2002-09-30,187,84,34
2002-10-31,187,76,31
2002-11-30,173,76,28
2002-12-31,114,59,27
2003-01-31,113,57,29
2003-02-28,97,57,30
2003-03-30,97,58,24
2003-04-30,100,57,26
2003-05-31,89,57,25
2003-06-30,100,56,25
2003-07-31,99,55,24
2003-08-31,96,53,24
2003-09-30,92,53,24
2003-10-31,100,50,24
2003-11-30,99,39,22
2003-12-31,96,46,20
2004-01-31,94,47,20
2004-02-28,95,49,20
2004-03-31,95,51,20
2004-04-30,99,52,20
2004-05-31,103,52,13
2004-06-30,96,59,19
2004-07-31,96,56,18
2004-08-31,97,56,19
2004-09-30,96,57,20
2004-10-31,115,67,20
2004-11-30,109,65,20
2004-12-31,112,55,20
2005-01-31,109,55,20
2005-02-28,98,58,20
2005-03-31,108,66,20
2005-04-30,98,60,20
2005-05-31,98,59,13
2005-06-30,200,59,13
2005-07-31,267,36,13
2005-08-31,269,36,13
2005-09-30,271,45,15
2005-10-31,264,44,20
2005-11-30,263,36,13
2005-12-31,53,38,14
2006-01-31,52,39,23
2006-02-28,51,38,23
2006-03-31,52,32,24
2006-04-30,54,35,24
2006-05-31,52,34,22
2006-06-30,53,31,14
2006-07-31,53,33,13
2006-08-31,53,32,12
2006-09-30,1074,31,18
2006-10-31,1512,30,17
2006-11-30,2206,29,16
2006-12-31,2415,30,17
2007-01-31,2427,32,20
2007-02-28,2417,31,19
2007-03-31,2488,32,19
2007-04-30,2501,33,20
2007-05-31,2533,35,20
2007-06-30,2452,34,19
2007-07-31,2402,34,19
2007-08-31,2394,36,19
2007-09-30,2380,34,18
2007-10-31,2380,34,18
2007-11-30,2380,34,18
2007-12-31,2380,33,18
2008-01-31,2500,46,19
2008-02-28,2849,47,20
2008-03-31,2800,54,19
2008-04-30,2800,52,19
2008-05-31,2793,52,19
2008-06-30,2710,50,19
2008-07-31,2747,50,19
2008-08-31,2741,51,19
2008-09-30,2420,52,19
2008-10-31,2608,50,14
2008-11-30,2602,33,19
2008-12-31,2447,30,20
2009-01-31,2523,22,20
2009-02-28,2484,11,20
2009-03-31,2695,12,20
2009-04-30,2846,12,20
2009-05-31,2730,12,20
2009-06-30,2663,7,20
2009-07-31,2674,7,20
2009-08-31,2586,6,21
2009-09-30,2577,6,19
2009-10-31,2639,6,21
2009-11-30,2260,6,21
2009-12-31,2425,5,21
2010-01-31,2471,5,21
2010-02-28,2237,8,20
2010-03-31,2120,8,21
2010-04-30,2383,7,20
2010-05-31,1937,133,20
2010-06-30,1793,133,21
2010-07-31,1883,131,21
2010-08-31,1779,119,20
2010-09-30,1721,110,20
2010-10-31,1905,120,18
2010-11-30,1723,117,18
2010-12-31,1706,15,20
2011-01-31,1706,4,20
2011-02-28,1684,5,20
2011-03-31,1719,5,20
2011-04-30,1808,5,18
2011-05-31,1683,5,21
2011-06-30,1720,5,20
2011-07-31,1683,5,17
2011-08-31,1673,5,16
2011-09-30,1687,5,17
2011-10-31,1811,5,17
2011-11-30,1211,5,17
2011-12-31,1086,5,17
2012-01-31,1116,5,17
2012-02-28,1116,5,16
2012-03-31,1159,5,17
2012-04-30,1299,5,18
2012-05-31,1103,5,23
2012-06-30,1109,5,22
2012-07-31,1108,5,20
2012-08-31,1121,5,17
2012-09-30,1150,5,17
2012-10-31,1336,5,16
2012-11-30,1102,5,17
2012-12-31,1105,5,17
2013-01-31,1097,5,19
2013-02-28,1090,5,18
2013-03-31,1113,5,19
2013-04-30,1315,5,19
2013-05-31,1174,5,19
2013-06-30,1104,5,19
2013-07-31,1107,6,19
2013-08-31,1097,6,19
2013-09-30,1137,5,18
2013-10-31,1555,5,18
2013-11-30,1337,5,17
2013-12-31,1096,4,18
2014-01-31,1101,4,15
2014-02-28,1095,4,15
