"Date","Troops","Police","Experts"
1992-09-30,29,NA,8
1992-10-31,600,75,8
1992-11-30,600,75,8
1992-12-31,600,75,8
1993-01-31,600,75,8
1993-02-28,599,75,8
1993-03-31,598,75,8
1993-04-30,598,75,8
1993-05-31,655,66,8
1993-06-30,653,NA,8
1993-07-31,653,66,8
1993-08-31,653,NA,8
1993-09-30,53,NA,NA
1993-10-31,53,NA,NA
1993-11-30,101,NA,NA
1993-12-31,53,NA,NA
1994-01-31,53,NA,NA
1994-02-28,53,NA,NA
1994-03-31,53,NA,NA
1994-04-30,53,NA,NA
1994-05-31,56,NA,NA
1994-06-30,52,NA,NA
1994-07-31,53,NA,NA
1994-08-31,53,NA,NA
1994-09-30,53,NA,NA
1994-10-31,53,NA,NA
1994-11-30,53,NA,NA
1994-12-31,53,NA,NA
1996-02-29,45,NA,NA
1996-03-31,45,NA,NA
1996-04-30,45,NA,NA
1996-05-31,45,NA,NA
1996-06-30,45,NA,NA
1996-07-31,45,NA,NA
1996-08-31,43,NA,NA
1996-09-30,45,NA,NA
1996-10-31,45,NA,NA
1996-11-30,45,NA,NA
1996-12-31,45,NA,NA
1997-01-31,44,NA,NA
1997-02-28,43,NA,NA
1997-03-31,30,NA,NA
1997-04-30,44,NA,NA
1997-05-31,45,NA,NA
1997-06-30,45,NA,NA
1997-07-31,45,NA,NA
1997-08-31,46,NA,NA
1997-09-30,45,NA,NA
1997-10-31,45,NA,NA
1997-11-30,45,NA,NA
1997-12-31,45,NA,NA
1998-01-31,48,NA,NA
1998-02-28,49,NA,NA
1998-03-31,30,NA,NA
1998-04-30,30,NA,NA
1998-05-31,45,NA,NA
1998-06-30,45,NA,NA
1998-07-31,45,NA,NA
1998-08-31,45,NA,NA
1998-09-30,45,NA,NA
1998-10-31,30,NA,NA
1998-11-30,44,NA,NA
1998-12-31,44,NA,NA
1999-01-31,45,NA,NA
1999-02-28,31,NA,NA
1999-03-31,30,NA,NA
1999-04-30,29,NA,NA
1999-05-31,29,NA,NA
1999-06-30,30,NA,NA
1999-07-31,30,NA,NA
1999-08-31,30,3,NA
1999-09-30,30,NA,NA
1999-10-31,30,NA,NA
1999-11-30,30,NA,NA
1999-12-31,30,NA,NA
2000-01-31,30,NA,NA
2000-02-28,31,NA,NA
2000-03-31,30,NA,NA
2000-04-30,30,NA,NA
2000-05-31,30,NA,NA
2000-06-30,30,NA,NA
2000-07-31,30,NA,NA
2000-08-31,30,NA,NA
2000-09-30,30,NA,NA
2000-10-31,30,NA,NA
2000-11-30,30,NA,NA
2000-12-31,30,NA,NA
2001-01-31,31,NA,NA
2001-02-28,31,NA,NA
2001-03-31,30,NA,NA
2001-04-30,30,NA,NA
2001-05-31,30,NA,NA
2001-06-30,30,NA,NA
2001-07-31,30,NA,NA
2001-08-31,30,NA,NA
2001-09-30,30,NA,NA
2001-10-31,30,NA,NA
2001-11-30,30,NA,NA
2001-12-31,30,NA,NA
2002-01-31,30,NA,NA
2002-02-28,36,NA,NA
2002-03-31,467,NA,NA
2002-04-30,718,NA,NA
2002-05-31,720,NA,NA
2002-06-30,679,NA,NA
2002-07-31,680,NA,NA
2002-08-30,680,NA,NA
2002-09-30,679,NA,NA
2002-10-31,680,NA,NA
2002-11-30,680,NA,NA
2002-12-31,680,NA,NA
2003-01-31,680,NA,NA
2003-02-28,680,NA,NA
2003-03-30,528,NA,NA
2003-04-30,526,NA,NA
2003-05-31,525,NA,NA
2003-06-30,524,NA,NA
2003-07-31,524,NA,NA
2003-08-31,525,NA,NA
2003-09-30,525,NA,NA
2003-10-31,408,NA,NA
2003-11-30,442,NA,NA
2003-12-31,406,NA,NA
2004-01-31,407,NA,NA
2004-02-28,408,NA,NA
2004-03-31,408,NA,NA
2004-04-30,408,NA,NA
2004-05-31,405,NA,NA
2004-06-30,30,NA,NA
2004-07-31,30,NA,NA
2004-08-31,30,NA,NA
2004-09-30,30,NA,NA
2004-10-31,30,NA,NA
2004-11-30,30,NA,NA
2004-12-31,30,NA,NA
2005-01-31,30,NA,NA
2005-02-28,30,NA,NA
2005-03-31,30,NA,NA
2005-04-30,30,NA,NA
2005-05-31,30,NA,NA
2005-06-30,30,NA,NA
2005-07-31,30,NA,NA
2005-08-31,30,NA,NA
2005-09-30,30,NA,NA
2005-10-31,30,NA,NA
2005-11-30,30,NA,NA
2005-12-31,30,NA,NA
2006-01-31,30,NA,NA
2006-02-28,30,NA,NA
2006-03-31,30,NA,NA
2006-04-30,30,NA,NA
2006-05-31,30,NA,NA
2006-06-30,30,NA,NA
2006-07-31,30,NA,NA
2006-08-31,30,NA,NA
2006-09-30,31,NA,NA
2006-10-31,30,NA,NA
2006-11-30,31,NA,NA
2006-12-31,31,NA,NA
2007-01-31,31,2,NA
2007-02-28,30,2,NA
2007-03-31,30,2,6
2007-04-30,30,2,6
2007-05-31,30,2,6
2007-06-30,30,2,6
2007-07-31,30,2,6
2007-08-31,29,2,6
2007-09-30,30,2,6
2007-10-31,30,2,6
2007-11-30,30,2,6
2007-12-31,30,2,6
2008-01-31,30,2,6
2008-02-28,30,NA,6
2008-03-31,30,NA,6
2008-04-30,30,NA,6
2008-05-31,30,NA,6
2008-06-30,30,NA,6
2008-07-31,30,NA,6
2008-08-31,29,NA,6
2008-09-30,29,NA,6
2008-10-31,32,NA,6
2008-11-30,32,NA,6
2008-12-31,32,NA,6
2009-01-31,32,NA,6
2009-02-28,34,NA,6
2009-03-31,33,NA,6
2009-04-30,33,NA,6
2009-05-31,33,NA,6
2009-06-30,33,NA,6
2009-07-31,33,NA,6
2009-08-31,30,NA,6
2009-09-30,33,NA,6
2009-10-31,33,NA,6
2009-11-30,33,NA,6
2009-12-31,33,NA,6
2010-01-31,33,NA,6
2010-02-28,32,NA,6
2010-03-31,225,NA,6
2010-04-30,223,NA,6
2010-05-31,225,NA,6
2010-06-30,225,NA,6
2010-07-31,224,NA,6
2010-08-31,255,NA,6
2010-09-30,258,NA,8
2010-10-31,258,NA,6
2010-11-30,258,NA,8
2010-12-31,258,NA,8
2011-01-31,266,NA,2
2011-02-28,260,NA,2
2011-03-31,258,NA,2
2011-04-30,258,NA,2
2011-05-31,257,NA,2
2011-06-30,258,NA,2
2011-07-31,255,NA,2
2011-08-31,255,NA,2
2011-09-30,256,NA,2
2011-10-31,256,NA,2
2011-11-30,256,NA,2
2011-12-31,258,NA,2
2012-01-31,345,NA,2
2012-02-28,465,NA,2
