"Date","Troops","Police","Experts"
1990-11-30,6,NA,NA
1990-12-31,6,NA,NA
1991-01-31,6,NA,NA
1991-02-28,6,NA,NA
1991-03-31,6,NA,NA
1991-04-30,6,NA,NA
1991-06-30,6,NA,NA
1991-07-31,11,NA,NA
1991-08-31,11,NA,NA
1991-09-30,15,NA,NA
1991-10-31,15,NA,NA
1991-11-30,15,NA,NA
1991-12-31,15,NA,NA
1992-01-31,15,NA,NA
1992-02-29,15,NA,NA
1992-03-31,15,NA,NA
1992-04-30,875,14,NA
1992-05-31,875,14,NA
1992-06-30,875,14,NA
1992-07-31,875,14,NA
1992-08-31,854,130,35
1992-09-30,853,129,35
1992-10-31,853,129,32
1992-11-30,867,129,37
1992-12-31,883,129,38
1993-01-31,882,130,44
1993-02-28,884,130,42
1993-03-31,884,129,37
1993-04-30,886,129,37
1993-05-31,931,129,39
1993-06-30,918,132,36
1993-07-31,931,128,33
1993-08-31,919,20,10
1993-09-30,919,55,47
1993-10-31,1800,55,68
1993-11-30,1801,55,67
1993-12-31,1819,55,88
1994-01-31,1816,55,88
1994-02-28,3038,55,88
1994-03-31,3037,55,88
1994-04-30,3085,100,88
1994-05-31,3346,116,88
1994-06-30,3338,120,88
1994-07-31,3322,116,95
1994-08-31,3360,116,95
1994-09-30,3410,151,95
1994-10-31,3474,156,74
1994-11-30,3420,156,66
1994-12-31,3429,161,77
1995-01-31,3414,96,88
1995-02-28,3513,96,89
1995-03-31,3385,240,91
1995-04-30,3381,240,92
1995-05-31,3383,228,82
1995-06-30,2655,223,92
1995-07-31,2389,219,90
1995-08-31,2369,204,91
1995-09-30,451,204,90
1995-10-31,282,196,90
1995-11-30,115,53,73
1995-12-31,4,50,77
1996-01-31,NA,86,59
1996-02-29,NA,105,51
1996-03-31,190,122,51
1996-04-30,867,161,46
1996-05-31,875,161,42
1996-06-30,874,162,42
1996-07-31,880,160,39
1996-08-31,923,161,39
1996-09-30,924,161,41
1996-10-31,929,161,41
1996-11-30,925,161,41
1996-12-31,925,161,41
1997-01-31,925,157,38
1997-02-28,926,137,38
1997-03-31,925,138,38
1997-04-30,923,167,37
1997-05-31,923,200,25
1997-06-30,923,199,35
1997-07-31,83,199,37
1997-08-31,46,238,37
1997-09-30,45,217,37
1997-10-31,45,224,39
1997-11-30,45,244,35
1997-12-31,NA,223,24
1998-01-31,NA,223,17
1998-02-28,NA,191,17
1998-03-31,NA,194,17
1998-04-30,NA,194,20
1998-05-31,NA,194,20
1998-06-30,NA,195,22
1998-07-31,NA,191,20
1998-08-31,NA,187,18
1998-09-30,NA,179,13
1998-10-31,NA,175,13
1998-11-30,NA,170,14
1998-12-31,NA,170,14
1999-01-31,NA,154,15
1999-02-28,NA,150,13
1999-03-31,NA,150,12
1999-04-30,NA,94,12
1999-05-31,NA,191,13
1999-06-30,NA,139,12
1999-07-31,1,139,14
1999-08-31,1,53,18
1999-09-30,NA,162,24
1999-10-31,NA,181,25
1999-11-30,NA,181,25
1999-12-31,NA,181,24
2000-01-31,NA,181,25
2000-02-28,715,230,25
2000-03-31,714,461,25
2000-04-30,834,678,22
2000-05-31,2237,676,24
2000-06-30,2549,773,20
2000-07-31,2541,852,20
2000-08-31,2549,825,20
2000-09-30,2531,850,19
2000-10-31,2531,850,19
2000-11-30,2553,849,23
2000-12-31,976,848,24
2001-01-31,1830,840,30
2001-02-28,1830,840,30
2001-03-31,1862,700,39
2001-04-30,1550,728,39
2001-05-31,1849,764,46
2001-06-30,1853,794,50
2001-07-31,1840,834,50
2001-08-31,1865,794,50
2001-09-30,1862,816,50
2001-10-31,1864,827,49
2001-11-30,1863,809,48
2001-12-31,1864,808,48
2002-01-31,1096,806,45
2002-02-28,1096,790,47
2002-03-31,1095,726,46
2002-04-30,1095,729,46
2002-05-31,1092,603,49
2002-06-30,1091,638,44
2002-07-31,1088,637,44
2002-08-30,1087,635,44
2002-09-30,1088,633,45
2002-10-31,1088,532,49
2002-11-30,1087,532,50
2002-12-31,1087,483,50
2003-01-31,1089,483,50
2003-02-28,1085,483,50
2003-03-30,1087,477,53
2003-04-30,1079,477,55
2003-05-31,1080,450,53
2003-06-30,1078,454,56
2003-07-31,1088,446,56
2003-08-31,1088,434,57
2003-09-30,1088,396,56
2003-10-31,1091,431,56
2003-11-30,1136,22,59
2003-12-31,1208,551,59
