"Date","Troops","Police","Experts"
2007-05-31,NA,NA,1
2007-06-30,NA,NA,1
2007-07-31,NA,NA,1
2007-08-31,NA,NA,1
2007-09-30,NA,NA,1
2007-10-31,NA,NA,1
2007-11-30,NA,NA,1
2007-12-31,NA,NA,1
2008-01-31,NA,NA,1
2008-02-28,NA,NA,1
2008-03-31,NA,NA,2
2008-04-30,NA,NA,2
2008-05-31,NA,NA,1
2008-06-30,NA,NA,1
2008-07-31,NA,NA,1
2008-08-31,NA,NA,1
2008-09-30,NA,NA,1
2008-10-31,NA,NA,1
2008-11-30,NA,NA,1
2008-12-31,NA,NA,1
2009-01-31,NA,NA,1
2009-02-28,NA,NA,1
2009-03-31,NA,NA,1
2009-04-30,NA,NA,1
2009-05-31,NA,NA,1
2009-06-30,NA,NA,1
2009-07-31,NA,NA,1
2010-06-30,NA,6,NA
2010-07-31,NA,8,NA
2010-08-31,NA,7,NA
2010-09-30,NA,9,NA
2010-11-30,NA,7,NA
2010-12-31,NA,7,NA
2011-01-31,NA,2,NA
2011-02-28,NA,2,NA
2011-08-31,NA,NA,4
2012-02-28,NA,5,NA
2012-12-31,NA,4,NA
