"Date","Troops","Police","Experts"
1990-11-30,7,NA,NA
1990-12-31,7,NA,NA
1991-01-31,7,NA,NA
1991-02-28,7,NA,NA
1991-04-30,8,NA,NA
1991-05-31,8,NA,NA
1991-06-30,8,NA,NA
1991-07-31,8,NA,NA
1991-08-31,8,NA,NA
1991-09-30,18,NA,NA
1991-10-31,18,NA,NA
1991-11-30,18,NA,NA
1991-12-31,17,NA,NA
1992-01-31,15,NA,NA
1992-02-29,18,NA,NA
1992-03-31,18,NA,NA
1992-04-30,20,NA,NA
1992-05-31,20,NA,NA
1992-06-30,20,NA,NA
1992-07-31,20,NA,NA
1992-08-31,909,145,31
1992-09-30,909,145,16
1992-10-31,909,145,32
1992-11-30,902,145,32
1992-12-31,902,145,32
1993-01-31,917,144,36
1993-02-28,913,144,36
1993-03-31,913,144,36
1993-04-30,908,144,36
1993-05-31,906,144,36
1993-06-30,962,149,35
1993-07-31,906,144,36
1993-08-31,956,149,35
1993-09-30,955,50,45
1993-10-31,956,51,56
1993-11-30,949,49,68
1993-12-31,955,49,56
1994-01-31,981,49,66
1994-02-28,950,49,66
1994-03-31,948,49,66
1994-04-30,947,49,67
1994-05-31,950,48,66
1994-06-30,980,49,82
1994-07-31,982,50,84
1994-08-31,980,35,77
1994-09-30,878,50,84
1994-10-31,976,50,72
1994-11-30,967,50,71
1994-12-31,978,50,71
1995-01-31,974,50,73
1995-02-28,977,50,73
1995-03-31,981,50,73
1995-04-30,981,38,72
1995-05-31,974,34,80
1995-06-30,967,28,81
1995-07-31,985,28,80
1995-08-31,985,28,80
1995-09-30,164,16,79
1995-10-31,3,14,81
1995-11-30,8,13,61
1995-12-31,1,13,61
1996-01-31,NA,13,54
1996-02-29,NA,42,47
1996-03-31,NA,38,46
1996-04-30,NA,38,38
1996-05-31,NA,25,37
1996-06-30,NA,50,37
1996-07-31,NA,59,37
1996-08-31,NA,59,37
1996-09-30,NA,58,38
1996-10-31,NA,58,38
1996-11-30,NA,58,40
1996-12-31,NA,58,46
1997-01-31,NA,58,46
1997-02-28,NA,33,48
1997-03-31,NA,33,57
1997-04-30,NA,58,47
1997-05-31,NA,58,47
1997-06-30,NA,33,47
1997-07-31,NA,58,47
1997-08-31,NA,58,35
1997-09-30,NA,58,34
1997-10-31,NA,58,34
1997-11-30,NA,58,34
1997-12-31,NA,58,33
1998-01-31,NA,7,28
1998-02-28,NA,7,20
1998-03-31,3,7,20
1998-04-30,3,7,20
1998-05-31,3,7,20
1998-06-30,3,7,19
1998-07-31,5,9,19
1998-08-31,3,11,19
1998-09-30,NA,20,23
1998-10-31,NA,19,23
1998-11-30,NA,18,22
1998-12-31,NA,18,22
