"Date","Troops","Police","Experts"
1998-08-31,NA,NA,1
1998-09-30,NA,NA,1
1998-10-31,NA,NA,1
1998-11-30,NA,NA,1
1998-12-31,NA,NA,1
1999-02-28,NA,NA,1
1999-03-31,NA,NA,2
1999-04-30,NA,NA,2
1999-05-31,NA,NA,3
1999-06-30,NA,NA,1
1999-07-31,NA,NA,1
1999-08-31,NA,NA,1
1999-09-30,NA,4,1
1999-10-31,NA,2,2
1999-11-30,NA,2,2
1999-12-31,NA,2,2
2000-01-31,NA,2,2
2000-02-28,NA,2,2
2000-03-31,NA,2,2
2000-04-30,NA,2,2
2000-05-31,NA,2,2
2000-06-30,NA,5,2
2000-07-31,NA,5,2
2000-08-31,NA,5,2
2000-09-30,NA,5,2
2000-10-31,NA,4,2
2000-11-30,NA,4,2
2000-12-31,NA,4,2
2001-01-31,NA,4,2
2001-02-28,NA,4,2
2001-03-31,NA,4,2
2001-04-30,NA,4,2
2001-05-31,NA,4,2
2001-06-30,NA,3,2
2001-07-31,NA,NA,2
2001-08-31,NA,NA,2
2001-09-30,NA,NA,2
2001-10-31,NA,NA,2
2001-11-30,NA,NA,2
2001-12-31,NA,NA,2
2002-01-31,NA,NA,1
2002-02-28,NA,NA,1
2002-03-31,NA,NA,1
2002-04-30,NA,NA,2
2002-05-31,NA,NA,2
2002-06-30,NA,NA,2
2002-07-31,NA,NA,2
2002-08-30,NA,3,2
2002-09-30,NA,4,2
2002-10-31,NA,4,2
2002-11-30,NA,4,2
2002-12-31,NA,4,2
2003-01-31,NA,4,2
2003-02-28,NA,4,2
2003-03-30,NA,4,3
2003-04-30,NA,4,2
2003-05-31,NA,4,2
2003-06-30,NA,4,2
2003-07-31,NA,4,2
2003-08-31,NA,4,2
2003-09-30,NA,4,2
2003-10-31,NA,4,2
2003-11-30,NA,4,2
2003-12-31,NA,4,2
2004-01-31,NA,4,2
2004-02-28,NA,4,2
2004-03-31,NA,4,1
2004-04-30,NA,4,2
2004-05-31,NA,7,2
2004-06-30,NA,7,6
2004-07-31,NA,4,6
2004-08-31,NA,4,6
2004-09-30,NA,3,6
2004-10-31,NA,7,6
2004-11-30,NA,7,6
2004-12-31,NA,7,6
2005-01-31,NA,7,6
2005-02-28,NA,8,7
2005-03-31,NA,8,7
2005-04-30,NA,8,7
2005-05-31,NA,8,10
2005-06-30,NA,8,14
2005-07-31,NA,4,14
2005-08-31,NA,4,13
2005-09-30,NA,7,13
2005-10-31,NA,7,12
2005-11-30,NA,5,13
2005-12-31,NA,5,14
2006-01-31,NA,6,15
2006-02-28,NA,8,14
2006-03-31,NA,8,14
2006-04-30,NA,8,11
2006-05-31,NA,8,14
2006-06-30,NA,8,13
2006-07-31,NA,6,14
2006-08-31,NA,8,14
2006-09-30,NA,9,14
2006-10-31,NA,9,14
2006-11-30,NA,8,15
2006-12-31,NA,8,15
2007-01-31,NA,12,16
2007-02-28,NA,12,16
2007-03-31,NA,12,16
2007-04-30,NA,15,16
2007-05-31,NA,15,16
2007-06-30,NA,15,16
2007-07-31,NA,14,16
2007-08-31,NA,13,15
2007-09-30,NA,15,16
2007-10-31,NA,15,16
2007-11-30,NA,15,14
2007-12-31,NA,16,14
2008-01-31,NA,16,16
2008-02-28,NA,15,16
2008-03-31,NA,15,14
2008-04-30,NA,13,14
2008-05-31,NA,12,13
2008-06-30,NA,14,14
2008-07-31,NA,13,15
2008-08-31,NA,12,14
2008-09-30,NA,15,17
2008-10-31,NA,16,17
2008-11-30,NA,16,17
2008-12-31,NA,15,15
2009-01-31,NA,10,14
2009-02-28,NA,10,14
2009-03-31,NA,7,15
2009-04-30,NA,6,15
2009-05-31,NA,6,14
2009-06-30,NA,14,10
2009-07-31,NA,14,10
2009-08-31,NA,15,11
2009-09-30,NA,14,8
2009-10-31,NA,16,8
2009-11-30,NA,16,8
2009-12-31,NA,15,9
2010-01-31,NA,14,8
2010-02-28,NA,16,8
2010-03-31,NA,21,7
2010-04-30,NA,21,7
2010-05-31,NA,22,9
2010-06-30,NA,9,8
2010-07-31,NA,11,9
2010-08-31,NA,11,7
2010-09-30,NA,8,10
2010-10-31,NA,10,10
2010-11-30,NA,10,10
2010-12-31,NA,10,9
2011-01-31,NA,15,9
2011-02-28,NA,14,8
2011-03-31,NA,15,7
2011-04-30,NA,14,8
2011-05-31,NA,12,8
2011-06-30,NA,12,8
2011-07-31,NA,11,2
2011-08-31,NA,11,5
2011-09-30,NA,12,6
2011-10-31,NA,12,5
2011-11-30,NA,11,5
2011-12-31,NA,15,5
2012-01-31,NA,15,6
2012-02-28,NA,10,6
2012-03-31,NA,17,6
2012-04-30,NA,18,6
2012-05-31,NA,18,13
2012-06-30,NA,15,13
2012-07-31,NA,15,8
2012-08-31,NA,16,5
2012-09-30,NA,15,6
2012-10-31,NA,14,5
2012-11-30,NA,15,5
2012-12-31,NA,11,5
2013-01-31,NA,15,8
2013-02-28,NA,17,8
2013-03-31,NA,17,8
2013-04-30,NA,18,8
2013-05-31,NA,18,8
2013-06-30,NA,20,8
2013-07-31,NA,19,8
2013-08-31,NA,19,7
2013-09-30,NA,18,7
2013-10-31,NA,19,8
2013-11-30,NA,18,8
2013-12-31,NA,17,8
2014-01-31,NA,18,8
2014-02-28,NA,18,8
