"Date","Troops","Police","Experts"
2000-01-31,NA,NA,1
2000-02-28,NA,NA,3
2000-03-31,NA,NA,3
2000-04-30,NA,NA,3
2000-05-31,NA,NA,3
2000-06-30,NA,NA,4
2000-07-31,NA,NA,4
2000-08-31,NA,NA,4
2000-09-30,NA,NA,4
2000-10-31,NA,NA,4
2000-11-30,NA,NA,3
2000-12-31,NA,NA,3
2001-01-31,NA,NA,3
2001-02-28,NA,NA,3
2001-03-31,NA,NA,1
2001-04-30,NA,NA,1
2001-05-31,NA,NA,1
2001-06-30,NA,NA,1
2007-12-31,NA,2,NA
2008-01-31,1,2,5
2008-02-28,NA,2,9
2008-03-31,4,2,5
2008-04-30,4,2,5
2008-05-31,4,2,5
2008-06-30,4,2,5
2008-07-31,4,2,5
2008-08-31,NA,2,9
2008-09-30,NA,2,5
2008-10-31,NA,2,NA
2008-11-30,NA,2,NA
2008-12-31,NA,2,NA
2009-01-31,NA,2,NA
2009-02-28,NA,5,NA
2009-03-31,NA,5,NA
2009-04-30,NA,5,NA
2009-05-31,NA,5,NA
2009-06-30,NA,5,NA
2009-07-31,NA,5,NA
2009-08-31,NA,5,NA
2009-09-30,NA,5,NA
2009-10-31,NA,5,NA
2009-11-30,NA,3,NA
2009-12-31,NA,3,NA
2010-01-31,NA,3,NA
