"Date","Troops","Police","Experts"
2004-09-30,NA,1,NA
2004-10-31,NA,1,NA
2004-11-30,NA,1,NA
2004-12-31,NA,1,NA
2005-01-31,NA,1,NA
2005-02-28,NA,1,NA
2005-03-31,NA,1,NA
2005-04-30,NA,1,NA
2005-05-31,NA,3,NA
2005-06-30,NA,3,NA
2005-07-31,NA,4,NA
2005-08-31,NA,4,NA
2005-09-30,NA,6,NA
2005-10-31,NA,6,NA
2005-11-30,NA,6,NA
2005-12-31,NA,6,NA
2006-01-31,NA,6,NA
2006-02-28,NA,6,NA
2006-03-31,NA,6,NA
2006-04-30,NA,6,NA
2006-05-31,NA,6,NA
2006-06-30,NA,15,NA
2006-07-31,NA,15,NA
2006-08-31,NA,15,NA
2006-09-30,NA,15,NA
2006-10-31,NA,15,NA
2006-11-30,NA,15,NA
2006-12-31,NA,14,NA
2007-01-31,NA,14,NA
2007-02-28,NA,20,NA
2007-03-31,NA,19,NA
2007-04-30,NA,20,NA
2007-05-31,NA,21,NA
2007-06-30,NA,20,NA
2007-07-31,NA,21,NA
2007-08-31,NA,21,NA
2007-09-30,NA,21,NA
2007-10-31,NA,21,NA
2007-11-30,NA,28,NA
2007-12-31,NA,26,NA
2008-01-31,NA,26,NA
2008-02-28,NA,26,NA
2008-03-31,NA,34,NA
2008-04-30,NA,32,NA
2008-05-31,NA,40,NA
2008-06-30,NA,41,NA
2008-07-31,NA,37,NA
2008-08-31,NA,37,NA
2008-09-30,NA,37,NA
2008-10-31,NA,47,NA
2008-11-30,NA,47,NA
2008-12-31,NA,48,NA
2009-01-31,NA,47,NA
2009-02-28,NA,42,NA
2009-03-31,NA,41,NA
2009-04-30,NA,40,NA
2009-05-31,NA,40,NA
2009-06-30,NA,39,NA
2009-07-31,NA,39,NA
2009-08-31,NA,46,NA
2009-09-30,NA,46,NA
2009-10-31,NA,45,NA
2009-11-30,NA,44,NA
2009-12-31,NA,50,NA
2010-01-31,NA,50,NA
2010-02-28,NA,59,NA
2010-03-31,NA,51,NA
2010-04-30,NA,55,NA
2010-05-31,NA,67,NA
2010-06-30,NA,67,NA
2010-07-31,NA,64,NA
2010-08-31,NA,63,NA
2010-09-30,NA,65,NA
2010-10-31,NA,57,NA
2010-11-30,NA,56,NA
2010-12-31,NA,53,NA
2011-01-31,NA,53,NA
2011-02-28,NA,53,NA
2011-03-31,NA,54,NA
2011-04-30,NA,54,NA
2011-05-31,NA,53,NA
2011-06-30,NA,55,NA
2011-07-31,NA,55,NA
2011-08-31,NA,54,NA
2011-09-30,NA,49,NA
2011-10-31,NA,49,NA
2011-11-30,NA,61,NA
2011-12-31,NA,57,NA
2012-01-31,NA,56,NA
2012-02-28,NA,48,NA
2012-03-31,NA,57,NA
2012-04-30,NA,53,NA
2012-05-31,NA,37,NA
2012-06-30,NA,37,NA
2012-07-31,NA,44,NA
2012-08-31,NA,43,NA
2012-09-30,NA,44,NA
2012-10-31,NA,43,NA
2012-11-30,NA,68,NA
2012-12-31,NA,68,NA
2013-01-31,NA,68,NA
2013-02-28,NA,66,NA
2013-03-31,NA,65,NA
2013-04-30,NA,69,NA
2013-05-31,NA,69,NA
2013-06-30,NA,69,NA
2013-07-31,NA,71,NA
2013-08-31,NA,71,NA
2013-09-30,NA,69,NA
2013-10-31,NA,69,NA
2013-11-30,NA,53,NA
2013-12-31,NA,57,NA
2014-01-31,NA,57,NA
2014-02-28,NA,55,NA
