"Date","Troops","Police","Experts"
1994-03-31,NA,NA,5
1994-04-30,NA,NA,5
1994-05-31,NA,NA,5
1994-06-30,NA,NA,5
1994-07-31,NA,NA,5
1994-08-31,133,NA,10
1994-09-30,167,NA,10
1994-10-31,169,NA,10
1994-11-30,170,NA,10
1994-12-31,170,NA,10
1995-01-31,173,NA,14
1995-02-28,173,NA,14
1995-03-31,185,NA,14
1995-04-30,184,NA,14
1995-05-31,183,NA,14
1995-06-30,183,NA,14
1995-07-31,182,NA,14
1995-08-31,141,NA,14
1995-09-30,136,NA,14
1995-10-31,133,NA,14
1995-11-30,133,NA,14
1995-12-31,133,NA,14
1996-01-31,85,NA,8
1996-02-29,84,NA,8
1996-03-31,83,NA,NA
1999-07-31,1,NA,NA
1999-08-31,1,10,NA
1999-09-30,NA,9,1
1999-10-31,NA,9,1
1999-11-30,NA,9,1
1999-12-31,NA,9,1
2000-01-31,NA,NA,1
2000-02-28,NA,9,1
2000-03-31,NA,9,1
2000-04-30,NA,9,1
2000-05-31,NA,9,1
2000-06-30,NA,9,1
2000-07-31,NA,9,1
2000-08-31,NA,9,1
2000-09-30,NA,9,1
2000-10-31,NA,9,1
2000-11-30,NA,28,1
2000-12-31,NA,28,1
2001-01-31,NA,28,1
2001-02-28,NA,28,1
2001-03-31,NA,28,1
2001-04-30,NA,19,14
2001-05-31,NA,19,18
2001-06-30,NA,19,18
2001-07-31,NA,19,18
2001-08-31,NA,19,18
2001-09-30,NA,19,18
2001-10-31,NA,19,17
2001-11-30,NA,19,17
2001-12-31,NA,19,17
2002-01-31,NA,19,17
2002-02-28,NA,19,17
2002-03-31,NA,19,17
2002-04-30,NA,19,17
2002-05-31,NA,21,18
2002-06-30,NA,21,18
2002-07-31,NA,21,18
2002-08-30,NA,21,18
2002-09-30,NA,21,18
2002-10-31,NA,21,18
2002-11-30,NA,21,18
2002-12-31,NA,21,18
2003-01-31,NA,21,18
2003-02-28,NA,21,13
2003-03-30,NA,22,20
2003-04-30,NA,22,21
2003-05-31,NA,22,20
2003-06-30,NA,22,20
2003-07-31,NA,23,21
2003-08-31,NA,19,22
2003-09-30,NA,19,22
2003-10-31,2,20,22
2003-11-30,2,20,22
2003-12-31,2,21,22
2004-01-31,2,36,22
2004-02-28,2,36,22
2004-03-31,2,35,25
2004-04-30,2,35,22
2004-05-31,2,40,25
2004-06-30,2,40,26
2004-07-31,2,40,29
2004-08-31,2,40,28
2004-09-30,2,38,25
2004-10-31,2,38,25
2004-11-30,2,38,28
2004-12-31,2,36,28
2005-01-31,2,36,28
2005-02-28,2,25,28
2005-03-31,2,25,28
2005-04-30,3,33,28
2005-05-31,2,33,30
2005-06-30,2,33,35
2005-07-31,2,30,36
2005-08-31,2,30,34
2005-09-30,112,30,34
2005-10-31,112,30,37
2005-11-30,112,27,37
2005-12-31,112,27,37
2006-01-31,112,12,37
2006-02-28,112,12,36
2006-03-31,112,9,36
2006-04-30,113,23,37
2006-05-31,112,23,40
2006-06-30,112,23,35
2006-07-31,112,23,35
2006-08-31,112,19,36
2006-09-30,113,18,35
2006-10-31,113,18,36
2006-11-30,112,19,35
2006-12-31,112,19,33
2007-01-31,112,24,33
2007-02-28,112,23,33
2007-03-31,114,23,33
2007-04-30,112,24,33
2007-05-31,112,24,32
2007-06-30,112,24,33
2007-07-31,111,24,34
2007-08-31,113,21,32
2007-09-30,113,18,30
2007-10-31,113,26,32
2007-11-30,113,26,32
2007-12-31,113,26,32
2008-01-31,124,26,41
2008-02-28,119,18,40
2008-03-31,121,14,37
2008-04-30,120,14,37
2008-05-31,119,14,34
2008-06-30,120,9,37
2008-07-31,121,13,30
2008-08-31,113,11,34
2008-09-30,118,27,33
2008-10-31,118,23,31
2008-11-30,119,23,31
2008-12-31,118,23,31
2009-01-31,118,19,28
2009-02-28,117,19,30
2009-03-31,118,19,33
2009-04-30,126,16,33
2009-05-31,125,16,28
2009-06-30,126,16,26
2009-07-31,126,52,25
2009-08-31,126,52,23
2009-09-30,121,52,25
2009-10-31,125,52,30
2009-11-30,124,52,27
2009-12-31,124,52,26
2010-01-31,124,52,25
2010-02-28,124,50,25
2010-03-31,121,37,25
2010-04-30,151,36,27
2010-05-31,151,35,25
2010-06-30,151,35,28
2010-07-31,151,35,27
2010-08-31,56,35,27
2010-09-30,57,34,26
2010-10-31,8,34,23
2010-11-30,3,33,22
2010-12-31,3,32,23
2011-01-31,3,32,25
2011-02-28,3,32,25
2011-03-31,3,32,23
2011-04-30,376,32,23
2011-05-31,381,32,25
2011-06-30,859,32,22
2011-07-31,857,32,26
2011-08-31,855,32,21
2011-09-30,855,32,25
2011-10-31,852,32,28
2011-11-30,852,32,26
2011-12-31,856,2,25
2012-01-31,861,62,23
2012-02-28,861,62,21
2012-03-31,861,62,25
2012-04-30,861,62,24
2012-05-31,861,62,22
2012-06-30,860,61,22
2012-07-31,861,60,21
2012-08-31,861,59,23
2012-09-30,861,59,18
2012-10-31,861,59,15
2012-11-30,861,59,18
2012-12-31,861,59,18
2013-01-31,861,59,17
2013-02-28,862,59,16
2013-03-31,860,59,12
2013-04-30,860,59,16
2013-05-31,36,59,16
2013-06-30,12,59,16
2013-07-31,125,58,11
2013-08-31,125,58,14
2013-09-30,125,58,15
2013-10-31,863,28,15
2013-11-30,862,28,15
2013-12-31,862,28,15
2014-01-31,857,3,15
2014-02-28,857,3,15
