"Date","Troops","Police","Experts"
1990-11-30,15,NA,NA
1990-12-31,15,NA,NA
1991-01-31,15,NA,NA
1991-02-28,15,NA,NA
1991-04-30,8,NA,NA
1991-05-31,8,NA,NA
1991-06-30,8,NA,NA
1991-07-31,13,NA,NA
1991-08-31,13,NA,NA
1991-09-30,19,5,NA
1991-10-31,24,NA,NA
1991-11-30,26,11,NA
1991-12-31,26,11,NA
1992-01-31,23,11,NA
1992-02-29,72,9,NA
1992-03-31,884,17,NA
1992-04-30,880,29,NA
1992-05-31,880,29,NA
1992-06-30,880,29,NA
1992-07-31,880,29,NA
1992-08-31,879,162,51
1992-09-30,879,162,51
1992-10-31,881,162,50
1992-11-30,879,162,44
1992-12-31,879,162,43
1993-01-31,940,225,37
1993-02-28,958,225,57
1993-03-31,958,225,56
1993-04-30,955,224,57
1993-05-31,1063,223,57
1993-06-30,1830,227,57
1993-07-31,1052,228,45
1993-08-31,1831,227,51
1993-09-30,1825,5,68
1993-10-31,1571,5,69
1993-11-30,876,5,64
1993-12-31,1729,8,68
1994-01-31,2445,43,68
1994-02-28,2540,43,71
1994-03-31,2442,43,73
1994-04-30,2447,43,82
1994-05-31,2578,48,81
1994-06-30,2696,83,81
1994-07-31,2611,93,82
1994-08-31,2648,93,84
1994-09-30,2682,88,84
1994-10-31,2580,111,76
1994-11-30,2685,79,80
1994-12-31,2679,81,88
1995-01-31,1637,45,66
1995-02-28,1542,60,75
1995-03-31,1543,60,69
1995-04-30,1543,60,77
1995-05-31,1547,59,76
1995-06-30,1542,61,58
1995-07-31,1539,61,58
1995-08-31,1565,44,49
1995-09-30,1562,44,49
1995-10-31,1559,20,49
1995-11-30,1020,20,49
1995-12-31,5,17,59
1996-01-31,4,5,50
1996-02-29,3,70,50
1996-03-31,3,63,50
1996-04-30,3,63,44
1996-05-31,3,63,43
1996-06-30,3,70,41
1996-07-31,4,70,41
1996-08-31,4,70,40
1996-09-30,4,69,39
1996-10-31,4,69,40
1996-11-30,3,70,41
1996-12-31,3,70,49
1997-01-31,3,70,51
1997-02-28,3,28,49
1997-03-31,3,28,41
1997-04-30,NA,67,41
1997-05-31,NA,67,39
1997-06-30,NA,58,40
1997-07-31,NA,58,39
1997-08-31,NA,58,37
1997-09-30,NA,56,37
1997-10-31,NA,58,37
1997-11-30,NA,63,37
1997-12-31,NA,80,22
1998-01-31,NA,80,22
1998-02-28,NA,80,22
1998-03-31,NA,80,22
1998-04-30,NA,80,22
1998-05-31,NA,80,22
1998-06-30,NA,82,22
1998-07-31,NA,82,22
1998-08-31,NA,82,23
1998-09-30,NA,82,23
1998-10-31,NA,80,23
1998-11-30,NA,66,23
1998-12-31,NA,66,23
1999-01-31,NA,62,20
1999-02-28,NA,64,20
1999-03-31,NA,50,19
1999-04-30,NA,50,19
1999-05-31,NA,47,19
1999-06-30,NA,47,21
1999-07-31,1,57,23
1999-08-31,8,83,24
1999-09-30,NA,130,44
1999-10-31,NA,130,49
1999-11-30,NA,130,49
1999-12-31,NA,125,49
2000-01-31,NA,121,49
2000-02-28,NA,121,49
2000-03-31,NA,121,49
2000-04-30,NA,94,52
2000-05-31,21,93,56
2000-06-30,20,75,50
2000-07-31,20,98,50
2000-08-31,20,118,53
2000-09-30,20,72,53
2000-10-31,25,141,48
2000-11-30,25,143,52
2000-12-31,30,143,52
2001-01-31,32,132,52
2001-02-28,32,132,52
2001-03-31,38,138,58
2001-04-30,38,137,59
2001-05-31,30,137,42
2001-06-30,36,137,59
2001-07-31,36,115,57
2001-08-31,36,135,62
2001-09-30,36,136,60
2001-10-31,36,105,60
2001-11-30,36,107,71
2001-12-31,36,102,60
2002-01-31,36,81,60
2002-02-28,36,95,60
2002-03-31,36,126,60
2002-04-30,36,126,59
2002-05-31,37,106,60
2002-06-30,43,121,61
2002-07-31,43,121,59
2002-08-30,43,120,60
2002-09-30,43,120,60
2002-10-31,36,93,61
2002-11-30,16,93,57
2002-12-31,14,98,62
2003-01-31,15,101,62
2003-02-28,15,94,62
2003-03-30,15,84,55
2003-04-30,15,84,55
2003-05-31,16,85,54
2003-06-30,16,70,54
2003-07-31,16,70,53
2003-08-31,22,67,52
2003-09-30,22,182,54
2003-10-31,22,183,53
2003-11-30,22,182,47
2003-12-31,22,181,50
2004-01-31,22,186,52
2004-02-28,22,178,53
2004-03-31,22,178,53
2004-04-30,22,178,61
2004-05-31,22,52,59
2004-06-30,21,45,57
2004-07-31,21,48,58
2004-08-31,21,48,58
2004-09-30,21,57,58
2004-10-31,21,57,52
2004-11-30,21,57,49
2004-12-31,18,27,55
2005-01-31,20,27,53
2005-02-28,20,28,50
2005-03-31,29,29,49
2005-04-30,29,29,49
2005-05-31,18,15,45
2005-06-30,19,15,44
2005-07-31,19,16,46
2005-08-31,18,14,43
2005-09-30,19,16,44
2005-10-31,7,16,56
2005-11-30,7,16,56
2005-12-31,7,16,52
2006-01-31,6,15,59
2006-02-28,8,15,61
2006-03-31,7,24,64
2006-04-30,7,25,57
2006-05-31,7,19,57
2006-06-30,24,13,60
2006-07-31,26,13,59
2006-08-31,26,263,63
2006-09-30,26,180,60
2006-10-31,26,177,61
2006-11-30,26,177,55
2006-12-31,128,210,59
2007-01-31,389,210,52
2007-02-28,389,217,60
2007-03-31,387,227,65
2007-04-30,388,220,61
2007-05-31,387,221,64
2007-06-30,389,222,63
2007-07-31,390,218,63
2007-08-31,389,195,61
2007-09-30,389,218,64
2007-10-31,389,218,64
2007-11-30,409,222,64
2007-12-31,389,219,64
2008-01-31,394,218,54
2008-02-28,394,221,59
2008-03-31,394,231,55
2008-04-30,391,221,54
2008-05-31,392,216,57
2008-06-30,390,250,57
2008-07-31,400,245,52
2008-08-31,403,251,54
2008-09-30,392,260,54
2008-10-31,628,265,54
2008-11-30,627,260,54
2008-12-31,627,259,50
2009-01-31,632,259,50
2009-02-28,629,259,45
2009-03-31,629,259,49
2009-04-30,624,261,49
2009-05-31,632,261,51
2009-06-30,629,232,52
2009-07-31,633,236,54
2009-08-31,777,234,51
2009-09-30,778,234,54
2009-10-31,778,244,54
2009-11-30,785,244,54
2009-12-31,776,243,48
2010-01-31,780,265,53
2010-02-28,777,265,48
2010-03-31,777,265,43
